Time_s,plane_moving_state,TAS_mps,alt_agl_m,MLG_NR,FLG_NR,lat,lon,alt_msl,phi,theta,psi,p,q,r,V_b_tas_0,V_b_tas_1,V_b_tas_2,pos_ned_0,pos_ned_1,pos_ned_2,p_dot,q_dot,r_dot,Accel_b_0,Accel_b_1,Accel_b_2,ArduPlane_Mode,delta_e,delta_aL,delta_aR,delta_r,delta_f,delta_a,pwm_ailL,pwm_ailR,pwm_elev,pwm_rud,pwm_flap,pwm_nlg,pwm_mot0,mot0_thr_cmd,mot1_thr_cmd,total_rotor_force,Lift_Coeff,Moment_Coeff
0.10079,0,0.00000,0.10001,393.04852,203.13225,0.00000,0.00000,0.00000,0.00000,0.00000,-1.30900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.10001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,16,-0.34907,0.34907,-0.34907,-0.34907,0.34907,-0.34907,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.00000,0.00000,0.00000,0.00000,0.00000
0.20159,0,0.00000,0.10001,393.04852,203.13225,0.00000,0.00000,0.00000,0.00000,0.00000,-1.30900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.10001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,16,-0.34907,0.34907,-0.34907,-0.34907,0.34907,-0.34907,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.00000,0.00000,0.00000,0.00000,0.00000
0.30238,0,0.00000,0.10001,393.04852,203.13225,0.00000,0.00000,0.00000,0.00000,0.00000,-1.30900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.10001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,16,-0.34907,0.34907,-0.34907,-0.34907,0.34907,-0.34907,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.00000,0.00000,0.00000,0.00000,0.00000
0.40317,0,0.00000,0.10001,393.04852,203.13225,0.00000,0.00000,0.00000,0.00000,0.00000,-1.30900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.10001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,16,-0.34907,0.34907,-0.34907,-0.34907,0.34907,-0.34907,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.00000,0.00000,0.00000,0.00000,0.00000
0.50397,0,0.00000,0.10001,393.04852,203.13225,0.00000,0.00000,0.00000,0.00000,0.00000,-1.30900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.10001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,16,-0.34907,0.34907,-0.34907,-0.34907,0.34907,-0.34907,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.00000,0.00000,0.00000,0.00000,0.00000
0.60476,0,0.00000,0.10001,393.04852,203.13225,0.00000,0.00000,0.00000,0.00000,0.00000,-1.30900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.10001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,16,-0.34907,0.34907,-0.34907,-0.34907,0.34907,-0.34907,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.00000,0.00000,0.00000,0.00000,0.00000
0.70555,0,0.00000,0.10001,393.04852,203.13225,0.00000,0.00000,0.00000,0.00000,0.00000,-1.30900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.10001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,16,-0.34907,0.34907,-0.34907,-0.34907,0.34907,-0.34907,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.00000,0.00000,0.00000,0.00000,0.00000
0.80634,0,0.00000,0.10001,393.04852,203.13225,0.00000,0.00000,0.00000,0.00000,0.00000,-1.30900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.10001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,16,-0.34907,0.34907,-0.34907,-0.34907,0.34907,-0.34907,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.00000,0.00000,0.00000,0.00000,0.00000
0.90713,0,0.00000,0.10001,393.04852,203.13225,0.00000,0.00000,0.00000,0.00000,0.00000,-1.30900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.10001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,16,-0.34907,0.34907,-0.34907,-0.34907,0.34907,-0.34907,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.00000,0.00000,0.00000,0.00000,0.00000
1.00792,0,0.00000,0.10001,393.04852,203.13225,0.00000,0.00000,0.00000,0.00000,0.00000,-1.30900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.10001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,16,-0.34907,0.34907,-0.34907,-0.34907,0.34907,-0.34907,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.00000,0.00000,0.00000,0.00000,0.00000
