time_s,phase,alt_agl_m,airspeed,roll_deg,pitch_deg,climb_mps,throttle_pct,theta_cmd_deg,lat,lon
0.06,GROUND,-0.21,0.79,0.02,0.01,0.05,0,-0.00,28.5597410,77.1174499
0.36,GROUND,-0.19,0.26,0.02,-0.03,-0.02,90,-1.54,28.5597413,77.1174485
0.56,GROUND,-0.18,1.34,0.02,-0.07,-0.01,90,-2.00,28.5597421,77.1174450
0.86,GROUND,-0.17,2.53,0.02,-0.13,-0.01,90,-2.00,28.5597442,77.1174359
1.16,GROUND,-0.16,4.02,0.02,-0.15,-0.01,90,-2.00,28.5597473,77.1174228
1.46,GROUND,-0.16,5.11,0.02,-0.15,-0.01,90,-2.00,28.5597513,77.1174058
1.76,CLIMB,-0.15,6.21,0.02,-0.16,-0.01,90,-1.50,28.5597562,77.1173851
2.06,CLIMB,-0.14,7.45,0.03,-0.21,-0.02,90,0.01,28.5597619,77.1173607
2.36,CLIMB,-0.13,8.71,0.03,-0.11,-0.02,90,1.50,28.5597685,77.1173327
2.56,CLIMB,-0.12,9.46,0.03,0.38,-0.00,90,2.52,28.5597733,77.1173123
2.86,CLIMB,-0.07,10.53,0.01,1.72,0.30,90,4.01,28.5597810,77.1172793
3.16,CLIMB,0.12,11.58,-0.00,3.56,0.86,90,5.49,28.5597895,77.1172436
3.46,CLIMB,0.49,12.44,0.00,5.81,1.58,90,7.01,28.5597985,77.1172054
3.76,CLIMB,1.10,13.16,0.01,8.31,2.40,90,8.50,28.5598080,77.1171652
4.06,CLIMB,1.96,13.76,0.00,10.90,3.25,90,10.01,28.5598178,77.1171234
4.36,CLIMB,3.08,14.14,-0.02,13.54,4.09,90,11.50,28.5598278,77.1170809
4.56,CLIMB,3.98,14.39,-0.05,15.33,4.64,90,12.52,28.5598345,77.1170526
4.86,CLIMB,5.50,14.56,-0.08,17.94,5.38,90,14.01,28.5598443,77.1170110
5.16,CLIMB,7.23,14.55,-0.05,20.38,6.01,90,15.49,28.5598539,77.1169703
5.46,CLIMB,9.12,14.51,-0.04,22.61,6.53,90,16.50,28.5598632,77.1169308
5.76,CLIMB,11.15,14.33,-0.05,24.59,6.91,90,16.50,28.5598723,77.1168926
6.06,CLIMB,13.27,13.97,-0.04,26.11,7.14,90,16.50,28.5598810,77.1168556
6.36,CLIMB,15.44,13.67,-0.02,27.18,7.23,90,16.50,28.5598893,77.1168202
6.56,CLIMB,16.88,13.36,-0.00,27.65,7.21,90,16.50,28.5598947,77.1167973
6.86,CLIMB,19.03,12.89,0.01,28.03,7.08,90,16.50,28.5599025,77.1167645
7.16,CLIMB,21.12,12.49,0.02,27.94,6.84,90,16.50,28.5599099,77.1167333
7.46,CLIMB,23.11,11.99,0.02,27.39,6.52,90,16.50,28.5599170,77.1167032
7.76,CLIMB,25.00,11.55,0.01,26.41,6.13,90,16.50,28.5599240,77.1166738
8.06,CLIMB,26.75,11.18,0.01,25.05,5.72,90,16.50,28.5599309,77.1166447
8.36,CLIMB,28.38,10.94,0.01,23.43,5.28,90,16.50,28.5599378,77.1166157
8.56,CLIMB,29.39,10.84,0.01,22.26,5.00,90,16.50,28.5599424,77.1165964
8.86,CLIMB,30.81,10.69,0.01,20.49,4.60,90,16.50,28.5599494,77.1165674
9.16,CLIMB,32.11,10.50,0.01,18.77,4.23,90,16.50,28.5599563,77.1165383
9.46,CLIMB,33.31,10.50,0.01,17.17,3.93,90,16.50,28.5599634,77.1165087
9.76,CLIMB,34.44,10.61,0.01,15.77,3.68,90,16.50,28.5599706,77.1164783
9.96,CLIMB,35.16,10.66,0.01,14.97,3.56,90,16.50,28.5599756,77.1164575
10.26,CLIMB,36.19,10.89,0.01,13.99,3.43,90,16.50,28.5599834,77.1164253
10.46,CLIMB,36.87,11.05,0.01,13.50,3.38,90,16.50,28.5599886,77.1164032
10.76,CLIMB,37.87,11.38,0.01,13.01,3.37,90,16.50,28.5599968,77.1163691
11.06,CLIMB,38.90,11.72,0.02,12.84,3.43,90,16.50,28.5600052,77.1163344
11.26,CLIMB,39.59,11.89,0.02,12.87,3.50,90,16.50,28.5600108,77.1163109
11.56,CLIMB,40.67,12.26,0.02,13.07,3.64,90,16.50,28.5600195,77.1162750
11.86,CLIMB,41.79,12.48,0.02,13.42,3.82,90,16.50,28.5600283,77.1162384
12.16,CLIMB,42.97,12.70,0.02,13.87,4.02,90,16.50,28.5600373,77.1162009
12.46,CLIMB,44.21,12.89,0.03,14.39,4.24,90,16.50,28.5600466,77.1161628
12.76,CLIMB,45.52,13.07,0.02,14.99,4.45,90,16.50,28.5600559,77.1161242
13.06,CLIMB,46.90,13.29,0.02,15.66,4.67,90,16.50,28.5600653,77.1160858
13.26,CLIMB,47.85,13.35,0.02,16.13,4.81,90,16.50,28.5600715,77.1160603
13.56,CLIMB,49.34,13.43,0.02,16.79,5.00,90,16.50,28.5600807,77.1160222
13.86,CLIMB,50.87,13.48,0.02,17.39,5.16,90,16.50,28.5600900,77.1159843
14.16,CLIMB,52.45,13.49,0.01,17.91,5.29,90,16.50,28.5600992,77.1159464
14.46,CLIMB,54.05,13.44,0.01,18.31,5.39,90,16.50,28.5601085,77.1159084
14.76,CLIMB,55.67,13.39,0.02,18.61,5.46,90,16.50,28.5601177,77.1158707
15.06,CLIMB,57.33,13.30,0.02,18.87,5.50,90,16.50,28.5601268,77.1158334
15.26,CLIMB,58.43,13.35,0.02,19.01,5.51,90,16.50,28.5601328,77.1158088
15.56,CLIMB,60.09,13.26,0.02,19.12,5.50,90,16.50,28.5601417,77.1157724
15.86,CLIMB,61.74,13.09,0.03,19.12,5.47,90,16.50,28.5601506,77.1157362
16.16,CLIMB,63.38,13.01,0.02,19.03,5.41,90,16.50,28.5601595,77.1157001
16.46,CLIMB,64.99,12.90,0.02,18.83,5.35,90,16.50,28.5601684,77.1156640
16.76,CLIMB,66.58,12.90,0.03,18.56,5.27,90,16.50,28.5601773,77.1156279
17.06,CLIMB,68.15,12.84,0.02,18.26,5.18,90,16.50,28.5601862,77.1155917
17.26,CLIMB,69.18,12.79,0.02,18.07,5.13,90,16.50,28.5601921,77.1155679
17.56,CLIMB,70.70,12.74,0.02,17.78,5.04,90,16.50,28.5602009,77.1155324
17.86,CLIMB,72.21,12.72,0.03,17.47,4.96,90,16.50,28.5602097,77.1154969
18.06,CLIMB,73.19,12.76,0.03,17.26,4.91,90,16.50,28.5602156,77.1154731
18.36,CLIMB,74.66,12.73,0.02,16.93,4.85,90,16.50,28.5602245,77.1154371
18.56,CLIMB,75.62,12.71,0.02,16.72,4.81,90,16.50,28.5602306,77.1154128
18.86,CLIMB,77.05,12.80,0.02,16.43,4.76,90,16.50,28.5602397,77.1153763
19.16,CLIMB,78.47,12.81,0.02,16.21,4.73,90,16.50,28.5602488,77.1153396
19.36,CLIMB,79.42,12.84,0.02,16.10,4.71,90,16.50,28.5602549,77.1153152
19.66,CLIMB,80.83,12.92,0.02,15.98,4.70,90,16.50,28.5602640,77.1152786
19.96,CLIMB,82.25,12.95,0.02,15.90,4.71,90,16.50,28.5602732,77.1152418
20.26,CLIMB,83.67,12.98,0.02,15.86,4.72,90,16.50,28.5602825,77.1152046
20.56,CLIMB,85.10,13.10,0.03,15.83,4.75,90,16.50,28.5602919,77.1151672
20.86,CLIMB,86.53,13.19,0.03,15.83,4.78,90,16.50,28.5603014,77.1151293
21.16,CLIMB,87.99,13.29,0.02,15.87,4.82,90,16.50,28.5603110,77.1150910
21.36,CLIMB,88.97,13.29,0.02,15.93,4.85,90,16.50,28.5603174,77.1150656
21.66,CLIMB,90.44,13.31,0.02,16.06,4.90,90,16.41,28.5603269,77.1150278
21.96,CLIMB,91.92,13.34,0.02,16.19,4.94,88,15.11,28.5603364,77.1149899
22.26,CLIMB,93.40,13.32,-0.04,16.13,4.88,85,13.59,28.5603460,77.1149520
22.56,CLIMB,94.85,13.21,-0.11,15.63,4.66,80,12.10,28.5603555,77.1149140
22.86,CLIMB,96.19,13.03,-0.12,14.62,4.25,75,10.59,28.5603650,77.1148763
23.16,CLIMB,97.37,12.79,-0.11,13.08,3.69,71,9.10,28.5603743,77.1148391
23.36,CLIMB,98.06,12.56,-0.12,11.79,3.27,69,8.10,28.5603803,77.1148148
23.66,CLIMB,98.94,12.24,-0.15,9.57,2.60,67,6.59,28.5603893,77.1147790
23.96,CRUISE,99.61,11.99,-0.17,7.08,1.94,66,-0.04,28.5603981,77.1147437
24.16,CRUISE,99.95,11.87,-0.17,5.06,1.51,66,-0.38,28.5604039,77.1147202
24.46,CRUISE,100.28,11.87,-0.17,1.81,0.83,66,-0.40,28.5604128,77.1146845
24.66,CRUISE,100.39,11.91,-0.16,-0.16,0.38,66,-0.28,28.5604187,77.1146604
24.96,CRUISE,100.40,12.09,-0.15,-2.71,-0.22,66,0.28,28.5604279,77.1146233
25.26,CRUISE,100.25,12.35,-0.15,-4.76,-0.72,66,1.06,28.5604374,77.1145850
25.46,CRUISE,100.07,12.62,-0.15,-5.80,-1.00,66,1.86,28.5604439,77.1145589
25.76,CRUISE,99.71,13.02,-0.14,-6.86,-1.33,66,3.07,28.5604538,77.1145189
26.06,CRUISE,99.27,13.55,-0.14,-7.36,-1.52,66,4.66,28.5604640,77.1144775
26.36,CRUISE,98.79,14.03,-0.13,-7.31,-1.58,66,6.09,28.5604746,77.1144348
26.66,CRUISE,98.31,14.40,-0.13,-6.81,-1.51,66,7.21,28.5604855,77.1143905
26.96,CRUISE,97.88,14.80,-0.13,-5.97,-1.33,66,8.41,28.5604969,77.1143448
27.26,CRUISE,97.53,15.09,-0.12,-4.81,-1.04,66,9.27,28.5605085,77.1142980
27.46,CRUISE,97.36,15.31,-0.12,-3.88,-0.79,66,9.93,28.5605163,77.1142663
27.76,CRUISE,97.19,15.46,-0.12,-2.29,-0.37,66,10.37,28.5605281,77.1142189
28.06,CRUISE,97.15,15.57,-0.13,-0.58,0.09,66,10.70,28.5605398,77.1141715
28.36,CRUISE,97.26,15.60,-0.13,1.15,0.56,66,10.81,28.5605515,77.1141242
28.66,CRUISE,97.51,15.55,-0.12,2.87,1.03,66,10.64,28.5605632,77.1140769
28.96,CRUISE,97.89,15.46,-0.13,4.47,1.46,66,10.37,28.5605749,77.1140300
29.26,CRUISE,98.40,15.25,-0.13,5.95,1.84,66,9.76,28.5605863,77.1139838
29.46,CRUISE,98.80,15.08,-0.13,6.85,2.05,66,9.25,28.5605938,77.1139536
29.76,CRUISE,99.47,14.73,-0.14,8.07,2.31,66,8.20,28.5606048,77.1139094
30.06,CRUISE,100.19,14.38,-0.15,9.00,2.48,66,7.13,28.5606153,77.1138666
30.36,CRUISE,100.96,14.05,-0.14,9.62,2.57,66,6.14,28.5606256,77.1138250
30.66,CRUISE,101.74,13.74,-0.15,9.91,2.57,66,5.22,28.5606356,77.1137844
30.86,CRUISE,102.26,13.56,-0.15,9.92,2.54,66,4.68,28.5606422,77.1137577
31.16,CRUISE,103.01,13.24,-0.16,9.68,2.42,66,3.71,28.5606519,77.1137183
31.36,CRUISE,103.49,13.05,-0.16,9.36,2.32,66,3.16,28.5606583,77.1136924
31.66,CRUISE,104.16,12.83,-0.16,8.68,2.12,66,2.49,28.5606678,77.1136539
31.96,CRUISE,104.76,12.58,-0.15,7.81,1.89,66,1.75,28.5606770,77.1136164
32.16,CRUISE,105.12,12.49,-0.15,7.13,1.72,66,1.46,28.5606831,77.1135917
32.46,CRUISE,105.59,12.37,-0.15,6.01,1.45,66,1.10,28.5606922,77.1135548
32.76,CRUISE,105.98,12.27,-0.16,4.83,1.18,66,0.81,28.5607013,77.1135177
33.06,CRUISE,106.29,12.35,-0.15,3.63,0.92,66,1.05,28.5607105,77.1134802
33.36,CRUISE,106.52,12.32,-0.14,2.52,0.68,66,0.95,28.5607198,77.1134423
33.66,CRUISE,106.69,12.40,-0.14,1.55,0.47,66,1.19,28.5607293,77.1134038
