time_s,phase,alt_agl_m,airspeed,roll_deg,pitch_deg,climb_mps,throttle_pct,theta_cmd_deg,lat,lon,load_factor_nz,load_factor_total
0.06,GROUND,-0.21,0.79,0.02,0.01,0.05,0,-0.00,28.5597410,77.1174499,0.955,0.955
0.36,GROUND,-0.19,0.88,0.02,-0.03,-0.02,90,-1.57,28.5597413,77.1174485,1.004,1.117
0.66,GROUND,-0.17,1.87,0.02,-0.09,-0.00,90,-2.00,28.5597426,77.1174427,1.002,1.117
0.96,GROUND,-0.17,2.83,0.02,-0.14,-0.01,90,-2.00,28.5597450,77.1174325,1.000,1.099
1.26,GROUND,-0.16,3.79,0.02,-0.15,-0.01,90,-2.00,28.5597483,77.1174184,1.001,1.088
1.56,GROUND,-0.15,4.74,0.02,-0.14,-0.01,90,-2.00,28.5597525,77.1174005,1.001,1.078
1.86,GROUND,-0.14,5.90,0.03,-0.18,-0.01,90,-2.00,28.5597576,77.1173789,1.001,1.076
2.16,CLIMB,-0.13,7.03,0.03,-0.22,-0.02,90,-0.51,28.5597635,77.1173538,1.001,1.072
2.36,CLIMB,-0.13,7.80,0.03,-0.09,-0.02,90,0.51,28.5597679,77.1173351,1.000,1.066
2.66,CLIMB,-0.09,8.87,0.03,0.93,0.54,90,1.99,28.5597750,77.1173048,1.553,1.619
2.96,CLIMB,0.32,9.70,-0.01,3.02,1.90,90,3.48,28.5597829,77.1172716,1.365,1.412
3.26,CLIMB,1.06,10.57,-0.06,4.90,2.80,90,5.00,28.5597912,77.1172359,1.253,1.291
3.56,CLIMB,2.03,11.28,-0.07,6.51,3.52,90,6.49,28.5598000,77.1171986,1.255,1.287
3.76,CLIMB,2.80,11.60,-0.06,7.46,3.97,90,7.51,28.5598060,77.1171728,1.165,1.194
4.06,CLIMB,4.09,12.04,-0.04,8.54,4.40,90,8.99,28.5598153,77.1171331,1.110,1.136
4.26,CLIMB,5.00,12.19,-0.05,9.12,4.62,90,9.98,28.5598216,77.1171061,1.085,1.110
4.56,CLIMB,6.45,12.51,-0.06,9.97,4.95,90,11.50,28.5598312,77.1170653,1.084,1.107
4.86,CLIMB,7.99,12.76,-0.06,10.85,5.22,90,12.99,28.5598407,77.1170246,0.996,1.018
5.06,CLIMB,9.05,12.83,-0.06,11.45,5.44,90,14.01,28.5598470,77.1169975,1.074,1.095
5.36,CLIMB,10.71,12.92,-0.05,12.36,5.65,90,15.49,28.5598565,77.1169569,1.084,1.105
5.66,CLIMB,12.44,12.93,-0.05,13.29,5.83,90,16.50,28.5598659,77.1169164,1.082,1.103
5.96,CLIMB,14.23,12.93,-0.05,14.30,6.04,90,16.50,28.5598754,77.1168757,0.987,1.009
6.27,CLIMB,16.07,12.93,-0.06,15.23,6.26,90,16.50,28.5598849,77.1168352,0.989,1.011
6.56,CLIMB,17.97,12.80,-0.05,16.09,6.43,90,16.50,28.5598943,77.1167952,1.029,1.052
6.86,CLIMB,19.91,12.74,-0.05,16.89,6.55,90,16.50,28.5599034,77.1167560,1.034,1.059
7.06,CLIMB,21.23,12.60,-0.05,17.40,6.59,90,16.50,28.5599094,77.1167305,0.991,1.017
7.36,CLIMB,23.21,12.43,-0.06,18.06,6.69,90,16.50,28.5599182,77.1166929,0.950,0.978
7.66,CLIMB,25.20,12.17,-0.06,18.55,6.68,90,16.50,28.5599268,77.1166560,1.021,1.050
7.96,CLIMB,27.21,12.03,-0.06,18.93,6.66,90,16.50,28.5599353,77.1166194,0.950,0.982
8.27,CLIMB,29.18,11.69,-0.06,19.15,6.65,90,16.50,28.5599437,77.1165833,0.975,1.009
8.56,CLIMB,31.15,11.55,-0.07,19.30,6.54,90,16.50,28.5599521,77.1165476,0.914,0.949
8.86,CLIMB,33.10,11.37,-0.06,19.38,6.43,90,16.50,28.5599602,77.1165127,0.930,0.967
9.06,CLIMB,34.37,11.24,-0.06,19.40,6.36,90,16.50,28.5599655,77.1164899,0.935,0.974
9.36,CLIMB,36.27,11.08,-0.06,19.46,6.34,90,16.50,28.5599734,77.1164561,0.937,0.977
9.67,CLIMB,38.14,10.91,-0.07,19.41,6.23,90,16.50,28.5599812,77.1164227,0.949,0.991
9.96,CLIMB,40.00,10.77,-0.08,19.36,6.20,90,16.50,28.5599889,77.1163896,0.953,0.996
10.27,CLIMB,41.83,10.69,-0.07,19.20,6.08,90,16.50,28.5599966,77.1163564,0.895,0.940
10.56,CLIMB,43.61,10.54,-0.07,18.89,5.96,90,16.50,28.5600043,77.1163235,1.001,1.047
10.86,CLIMB,45.38,10.48,-0.07,18.74,5.93,90,16.50,28.5600120,77.1162905,0.957,1.004
11.06,CLIMB,46.56,10.31,-0.07,18.70,5.92,90,16.50,28.5600170,77.1162689,0.951,0.998
11.36,CLIMB,48.31,10.16,-0.07,18.55,5.81,90,16.50,28.5600245,77.1162368,0.950,0.997
11.67,CLIMB,50.05,10.15,-0.07,18.33,5.76,90,16.50,28.5600319,77.1162047,0.939,0.987
11.96,CLIMB,51.78,10.13,-0.06,18.12,5.69,90,16.50,28.5600394,77.1161726,0.921,0.970
12.27,CLIMB,53.48,10.16,-0.07,17.90,5.69,90,16.50,28.5600469,77.1161403,0.943,0.992
12.56,CLIMB,55.17,10.07,-0.07,17.64,5.60,90,16.50,28.5600545,77.1161079,0.947,0.995
12.86,CLIMB,56.84,10.14,-0.06,17.35,5.55,90,16.50,28.5600620,77.1160752,0.955,1.003
13.06,CLIMB,57.95,10.22,-0.06,17.28,5.57,90,16.50,28.5600671,77.1160537,0.962,1.010
13.36,CLIMB,59.62,10.19,-0.05,17.15,5.52,90,16.50,28.5600746,77.1160214,0.925,0.973
13.67,CLIMB,61.26,10.21,-0.06,16.94,5.46,90,16.50,28.5600821,77.1159891,0.931,0.979
13.96,CLIMB,62.90,10.17,-0.06,16.78,5.45,90,16.50,28.5600897,77.1159567,0.928,0.976
14.27,CLIMB,64.54,10.21,-0.05,16.66,5.47,90,16.50,28.5600973,77.1159239,0.931,0.978
14.56,CLIMB,66.17,10.29,-0.05,16.47,5.41,90,16.50,28.5601050,77.1158909,0.943,0.990
14.86,CLIMB,67.80,10.36,-0.05,16.31,5.45,90,16.50,28.5601128,77.1158576,0.995,1.041
15.07,CLIMB,68.90,10.41,-0.05,16.30,5.48,90,16.50,28.5601180,77.1158354,0.924,0.970
15.36,CLIMB,70.54,10.39,-0.05,16.20,5.45,90,16.50,28.5601258,77.1158022,0.972,1.017
15.67,CLIMB,72.19,10.35,-0.05,16.15,5.47,90,16.50,28.5601335,77.1157690,0.949,0.993
15.96,CLIMB,73.85,10.53,-0.05,16.10,5.50,90,16.50,28.5601413,77.1157356,0.937,0.981
16.27,CLIMB,75.51,10.56,-0.05,15.97,5.47,90,16.50,28.5601492,77.1157019,1.015,1.058
16.56,CLIMB,77.16,10.63,-0.05,15.89,5.47,90,16.50,28.5601572,77.1156679,0.940,0.983
16.86,CLIMB,78.81,10.58,-0.04,15.82,5.50,90,16.50,28.5601652,77.1156336,0.898,0.942
17.07,CLIMB,79.92,10.71,-0.04,15.79,5.52,90,16.50,28.5601706,77.1156107,1.013,1.055
17.36,CLIMB,81.58,10.68,-0.04,15.76,5.47,90,16.50,28.5601786,77.1155766,0.943,0.985
17.67,CLIMB,83.24,10.69,-0.04,15.78,5.51,90,16.50,28.5601865,77.1155425,0.959,1.000
17.96,CLIMB,84.91,10.84,-0.04,15.82,5.52,90,16.50,28.5601945,77.1155084,0.936,0.977
18.27,CLIMB,86.56,10.85,-0.05,15.78,5.52,90,16.50,28.5602026,77.1154739,0.999,1.040
18.56,CLIMB,88.22,10.74,-0.04,15.81,5.55,90,16.50,28.5602107,77.1154392,0.978,1.018
18.86,CLIMB,89.89,10.76,-0.04,15.85,5.58,90,16.50,28.5602189,77.1154044,0.963,1.003
19.07,CLIMB,91.00,10.86,-0.03,15.84,5.54,89,16.32,28.5602244,77.1153812,0.976,1.015
19.36,CLIMB,92.68,10.85,-0.04,15.94,5.62,89,16.08,28.5602325,77.1153465,0.963,1.001
19.67,CLIMB,94.37,10.89,-0.05,15.99,5.57,88,15.51,28.5602406,77.1153121,0.943,0.980
19.96,CLIMB,96.05,10.87,-0.05,15.99,5.59,87,14.28,28.5602486,77.1152779,0.937,0.970
20.27,CLIMB,97.72,10.81,-0.05,15.86,5.47,84,12.79,28.5602566,77.1152436,0.944,0.970
20.56,CLIMB,99.33,10.55,-0.06,15.51,5.25,76,11.27,28.5602646,77.1152097,0.901,0.915
20.86,CRUISE,100.83,10.37,-0.10,14.70,4.73,66,-4.88,28.5602724,77.1151763,0.804,0.807
21.07,CRUISE,101.73,10.12,-0.12,13.13,4.29,66,-5.00,28.5602775,77.1151545,0.794,0.799
21.36,CRUISE,102.92,9.80,-0.15,10.31,3.70,66,-5.00,28.5602850,77.1151226,0.810,0.816
21.67,CRUISE,103.92,9.44,-0.15,7.41,3.08,66,-5.00,28.5602922,77.1150915,0.811,0.818
