Time_s,plane_moving_state,TAS_mps,alt_agl_m,MLG_NR,FLG_NR,lat,lon,alt_msl,phi,theta,psi,p,q,r,V_b_tas_0,V_b_tas_1,V_b_tas_2,V_ned_gnd_0,V_ned_gnd_1,V_ned_gnd_2,pos_ned_0,pos_ned_1,pos_ned_2,p_dot,q_dot,r_dot,Accel_b_0,Accel_b_1,Accel_b_2,ArduPlane_Mode,delta_e,delta_aL,delta_aR,delta_r,delta_f,delta_a,pwm_ailL,pwm_ailR,pwm_elev,pwm_rud,pwm_flap,pwm_nlg,pwm_mot0,mot0_thr_cmd,mot1_thr_cmd,total_rotor_force,Lift_Coeff,Moment_Coeff,Drag_Coeff,Lift_N,Drag_N,Side_N
263.58054,1,2.55049,-0.00000,165.49701,11.96138,0.00000,0.00000,0.00000,0.00000,-0.00244,-0.55882,0.00000,-2.93219,0.00000,2.54235,0.17154,-0.10959,2.10577,-1.31676,0.00000,1.68715,-1.05697,0.00000,0.00000,0.00000,0.00000,0.40017,0.00000,-0.00098,15,-0.17453,-0.16057,0.16057,0.04843,0.34907,0.16057,1684.0,1684.0,1100.0,1574.0,1600.0,1500.0,1579.0,0.59875,0.59875,6.96954,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
263.68024,1,2.59469,-0.00000,165.47987,11.97783,0.00000,0.00000,0.00000,0.00000,-0.00244,-0.55882,0.00000,-2.93219,0.00000,2.58780,0.16287,-0.09594,2.13948,-1.33784,0.00000,1.90112,-1.19077,0.00000,0.00000,0.00000,0.00000,0.38920,0.00000,-0.00095,15,-0.17453,-0.16406,0.16406,0.04974,0.34907,0.16406,1688.0,1688.0,1100.0,1576.0,1600.0,1500.0,1584.0,0.60500,0.60500,6.68573,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
263.77994,1,2.65094,-0.00000,165.46179,11.99518,0.00000,0.00000,0.00000,0.00000,-0.00244,-0.55882,0.00000,-2.93219,0.00000,2.64194,0.20331,0.07924,2.17199,-1.35817,0.00000,0.14809,-0.09476,0.00000,0.00000,0.00000,0.00000,0.37550,0.00000,-0.00092,15,-0.17453,-0.16668,0.16668,0.05105,0.34907,0.16668,1691.0,1691.0,1100.0,1578.0,1600.0,1500.0,1589.0,0.61125,0.61125,6.38634,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
263.87964,1,2.58100,-0.00000,165.45891,11.99794,0.00000,0.00000,0.00000,0.00000,-0.00244,-0.55882,0.00000,-2.93219,0.00000,2.56933,0.17450,0.17229,2.20330,-1.37775,0.00000,0.36861,-0.23265,0.00000,0.00000,0.00000,0.00000,0.35177,0.00000,-0.00086,15,-0.17453,-0.17017,0.17017,0.05236,0.34907,0.17017,1695.0,1695.0,1100.0,1580.0,1600.0,1500.0,1594.0,0.61750,0.61750,6.33860,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
263.97934,1,2.69642,-0.00000,165.43660,12.01935,0.00000,0.00000,0.00000,0.00000,-0.00244,-0.55882,0.00000,-2.93219,0.00000,2.68948,0.19223,0.02051,2.23340,-1.39657,0.00000,0.59223,-0.37248,0.00000,0.00000,0.00000,0.00000,0.34478,0.00000,-0.00084,15,-0.17453,-0.17279,0.17279,0.05367,0.34907,0.17279,1698.0,1698.0,1100.0,1582.0,1600.0,1500.0,1598.0,0.62250,0.62250,5.96921,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
264.07904,1,2.67098,-0.00000,165.42952,12.02614,0.00000,0.00000,0.00000,0.00000,-0.00244,-0.55882,0.00000,-2.93219,0.00000,2.65724,0.16742,0.21259,2.26251,-1.41477,0.00000,0.81883,-0.51418,0.00000,0.00000,0.00000,0.00000,0.33462,0.00000,-0.00082,15,-0.17453,-0.17541,0.17541,0.05498,0.34907,0.17541,1701.0,1701.0,1100.0,1584.0,1600.0,1500.0,1603.0,0.62875,0.62875,5.85199,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
264.17874,1,2.57255,-0.00000,165.43236,12.02342,0.00000,0.00000,0.00000,0.00000,-0.00244,-0.55882,0.00000,-2.93219,0.00000,2.56658,0.16665,0.05373,2.29053,-1.43230,0.00000,1.04831,-0.65768,0.00000,0.00000,0.00000,0.00000,0.30835,0.00000,-0.00075,15,-0.17453,-0.17802,0.17802,0.05629,0.34907,0.17802,1704.0,1704.0,1100.0,1586.0,1600.0,1500.0,1607.0,0.63375,0.63375,5.89888,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
264.27844,1,2.78374,-0.00000,165.40074,12.05376,0.00000,0.00000,0.00000,0.00000,-0.00244,-0.55882,0.00000,-2.93219,0.00000,2.77447,0.20778,0.09146,2.31769,-1.44928,0.00000,1.28057,-0.80291,0.00000,0.00000,0.00000,0.00000,0.31190,0.00000,-0.00076,15,-0.17453,-0.18064,0.18064,0.05760,0.34907,0.18064,1707.0,1707.0,1100.0,1588.0,1600.0,1500.0,1611.0,0.63875,0.63875,5.37536,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
264.37814,1,2.61273,-0.00000,165.41237,12.04261,0.00000,0.00000,0.00000,0.00000,-0.00244,-0.55882,0.00000,-2.93219,0.00000,2.59433,0.30446,0.05597,2.34395,-1.46570,0.00000,1.51552,-0.94983,0.00000,0.00000,0.00000,0.00000,0.28051,0.00000,-0.00069,15,-0.17453,-0.18326,0.18326,0.05890,0.34907,0.18326,1710.0,1710.0,1100.0,1590.0,1600.0,1500.0,1615.0,0.64375,0.64375,5.56777,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
264.47784,1,2.76579,-0.00000,165.38641,12.06751,0.00000,0.00000,0.00000,0.00000,-0.00244,-0.55882,0.00000,-2.93219,0.00000,2.76353,0.07625,-0.08173,2.36936,-1.48159,0.00000,1.75308,-1.09838,0.00000,0.00000,0.00000,0.00000,0.30015,0.00000,-0.00073,15,-0.17453,-0.18500,0.18500,0.05956,0.34907,0.18500,1712.0,1712.0,1100.0,1591.0,1600.0,1500.0,1620.0,0.65000,0.65000,5.13805,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
