wall_time_s,servo1,servo2,servo3,servo4,servo5,servo6,servo7,servo8,servo9,servo10,servo11,servo12,servo13,servo14,servo15,servo16
13.528,1100,1900,2000,1900,1900,1900,1900,1900,1900,1502,1323,1500,1500,1100,0,0
13.553,1100,1900,2000,1900,1900,1900,1900,1900,1900,1502,1325,1500,1500,1100,0,0
13.567,1100,1900,2000,1900,1900,1900,1900,1900,1900,1503,1327,1500,1500,1100,0,0
13.591,1100,1900,2000,1900,1900,1900,1900,1900,1900,1503,1329,1500,1500,1100,0,0
13.610,1100,1900,2000,1900,1900,1900,1900,1900,1900,1504,1332,1501,1500,1100,0,0
13.629,1100,1900,2000,1900,1900,1900,1900,1900,1900,1504,1334,1501,1500,1100,0,0
13.647,1100,1900,2000,1900,1900,1900,1900,1900,1900,1513,1336,1505,1500,1100,0,0
13.670,1100,1900,2000,1900,1900,1900,1900,1900,1900,1523,1338,1510,1500,1100,0,0
13.688,1100,1900,2000,1900,1900,1900,1900,1900,1900,1533,1338,1515,1500,1100,0,0
13.707,1100,1900,2000,1900,1900,1900,1900,1900,1900,1542,1339,1520,1500,1100,0,0
13.732,1100,1900,2000,1900,1900,1900,1900,1900,1900,1552,1343,1525,1500,1100,0,0
13.751,1100,1900,2000,1900,1900,1900,1900,1900,1900,1562,1343,1529,1500,1100,0,0
13.770,1100,1900,2000,1900,1900,1900,1900,1900,1900,1571,1345,1534,1500,1100,0,0
13.789,1100,1900,2000,1900,1900,1900,1900,1900,1900,1573,1344,1535,1500,1100,0,0
13.807,1100,1900,2000,1900,1900,1900,1900,1900,1900,1573,1346,1535,1500,1100,0,0
13.828,1100,1900,2000,1900,1900,1900,1900,1900,1900,1572,1348,1535,1500,1100,0,0
13.849,1100,1900,2000,1900,1900,1900,1900,1900,1900,1571,1348,1534,1500,1100,0,0
13.869,1100,1900,2000,1900,1900,1900,1900,1900,1900,1570,1349,1534,1500,1100,0,0
13.887,1100,1900,2000,1900,1900,1900,1900,1900,1900,1569,1347,1533,1500,1100,0,0
13.911,1100,1900,2000,1900,1900,1900,1900,1900,1900,1567,1346,1533,1500,1100,0,0
13.932,1100,1900,2000,1900,1900,1900,1900,1900,1900,1566,1345,1532,1500,1100,0,0
13.947,1100,1900,2000,1900,1900,1900,1900,1900,1900,1565,1345,1532,1500,1100,0,0
13.970,1100,1900,2000,1900,1900,1900,1900,1900,1900,1564,1342,1531,1500,1100,0,0
13.988,1100,1900,2000,1900,1900,1900,1900,1900,1900,1563,1340,1531,1500,1100,0,0
14.007,1100,1900,2000,1900,1900,1900,1900,1900,1900,1561,1339,1530,1500,1100,0,0
14.030,1100,1900,2000,1900,1900,1900,1900,1900,1900,1560,1336,1530,1500,1100,0,0
14.048,1100,1900,2000,1900,1900,1900,1900,1900,1900,1560,1330,1530,1500,1100,0,0
14.070,1100,1900,2000,1900,1900,1900,1900,1900,1900,1559,1325,1529,1500,1100,0,0
14.088,1100,1900,2000,1900,1900,1900,1900,1900,1900,1558,1322,1529,1500,1100,0,0
14.106,1100,1900,2000,1900,1900,1900,1900,1900,1900,1558,1318,1529,1500,1100,0,0
14.130,1100,1900,2000,1900,1900,1900,1900,1900,1900,1557,1316,1528,1500,1100,0,0
14.148,1100,1900,2000,1900,1900,1900,1900,1900,1900,1557,1313,1528,1500,1100,0,0
14.167,1100,1900,2000,1900,1900,1900,1900,1900,1900,1556,1313,1528,1500,1100,0,0
14.185,1100,1900,2000,1900,1900,1900,1900,1900,1900,1555,1311,1528,1500,1100,0,0
14.209,1100,1900,2000,1900,1900,1900,1900,1900,1900,1555,1307,1527,1500,1100,0,0
14.227,1100,1900,2000,1900,1900,1900,1900,1900,1900,1555,1303,1527,1500,1100,0,0
14.246,1100,1900,2000,1900,1900,1900,1900,1900,1900,1554,1298,1527,1500,1100,0,0
14.270,1100,1900,2000,1900,1900,1900,1900,1900,1900,1554,1296,1527,1500,1100,0,0
14.288,1100,1900,2000,1900,1900,1900,1900,1900,1900,1555,1290,1527,1500,1100,0,0
14.309,1100,1900,2000,1900,1900,1900,1900,1900,1900,1555,1287,1527,1500,1100,0,0
14.327,1100,1900,2000,1900,1900,1900,1900,1900,1900,1554,1288,1527,1500,1100,0,0
14.346,1100,1900,2000,1900,1900,1900,1900,1900,1900,1554,1287,1527,1500,1100,0,0
14.369,1100,1900,2000,1900,1900,1900,1900,1900,1900,1554,1289,1527,1500,1100,0,0
14.388,1100,1900,2000,1900,1900,1900,1900,1900,1900,1554,1286,1527,1500,1100,0,0
14.406,1100,1900,2000,1900,1900,1900,1900,1900,1900,1554,1287,1527,1500,1100,0,0
14.430,1100,1900,2000,1900,1900,1900,1900,1900,1900,1553,1288,1527,1500,1100,0,0
14.448,1100,1900,2000,1900,1900,1900,1900,1900,1900,1554,1287,1527,1500,1100,0,0
14.465,1100,1900,2000,1900,1900,1900,1900,1900,1900,1554,1290,1527,1500,1100,0,0
14.489,1100,1900,2000,1900,1900,1900,1900,1900,1900,1554,1288,1527,1500,1100,0,0
14.507,1100,1900,2000,1900,1900,1900,1900,1900,1900,1554,1290,1527,1500,1100,0,0
14.524,1100,1900,2000,1900,1900,1900,1900,1900,1900,1554,1291,1527,1500,1100,0,0
14.548,1100,1900,2000,1900,1900,1900,1900,1900,1900,1554,1290,1527,1500,1100,0,0
14.566,1100,1900,2000,1900,1900,1900,1900,1900,1900,1554,1288,1527,1500,1100,0,0
14.589,1100,1900,2000,1900,1900,1900,1900,1900,1900,1554,1286,1527,1500,1100,0,0
14.609,1100,1900,2000,1900,1900,1900,1900,1900,1900,1554,1286,1527,1500,1100,0,0
14.628,1100,1900,2000,1900,1900,1900,1900,1900,1900,1554,1286,1527,1500,1100,0,0
14.647,1100,1900,2000,1900,1900,1900,1900,1900,1900,1554,1288,1527,1500,1100,0,0
14.665,1100,1900,2000,1900,1900,1900,1900,1900,1900,1554,1290,1527,1500,1100,0,0
14.687,1100,1900,2000,1900,1900,1900,1900,1900,1900,1554,1291,1527,1500,1100,0,0
14.705,1100,1900,2000,1900,1900,1900,1900,1900,1900,1554,1292,1527,1500,1100,0,0
14.724,1100,1900,2000,1900,1900,1900,1900,1900,1900,1554,1290,1527,1500,1100,0,0
14.750,1100,1900,2000,1900,1900,1900,1900,1900,1900,1554,1289,1527,1500,1100,0,0
14.769,1100,1900,2000,1900,1900,1900,1900,1900,1900,1554,1285,1527,1500,1100,0,0
14.786,1100,1900,2000,1900,1900,1900,1900,1900,1900,1555,1285,1527,1500,1100,0,0
14.805,1100,1900,2000,1900,1900,1900,1900,1900,1900,1555,1287,1527,1500,1100,0,0
14.828,1100,1900,2000,1900,1900,1900,1900,1900,1900,1555,1286,1527,1500,1100,0,0
14.846,1100,1900,2000,1900,1900,1900,1900,1900,1900,1555,1284,1527,1500,1100,0,0
14.864,1100,1900,2000,1900,1900,1900,1900,1900,1900,1555,1284,1527,1500,1100,0,0
14.887,1100,1900,2000,1900,1900,1900,1900,1900,1900,1556,1284,1528,1500,1100,0,0
14.906,1100,1900,2000,1900,1900,1900,1900,1900,1900,1556,1282,1528,1500,1100,0,0
14.925,1100,1900,2000,1900,1900,1900,1900,1900,1900,1556,1282,1528,1500,1100,0,0
14.943,1100,1900,2000,1900,1900,1900,1900,1900,1900,1556,1280,1528,1500,1100,0,0
14.967,1100,1900,2000,1900,1900,1900,1900,1900,1900,1556,1277,1528,1500,1100,0,0
14.985,1100,1900,2000,1900,1900,1900,1900,1900,1900,1556,1281,1528,1500,1100,0,0
15.007,1100,1900,2000,1900,1900,1900,1900,1900,1900,1556,1280,1528,1500,1100,0,0
15.026,1100,1900,2000,1900,1900,1900,1900,1900,1900,1557,1281,1528,1500,1100,0,0
15.045,1100,1900,2000,1900,1900,1900,1900,1900,1900,1557,1281,1528,1500,1100,0,0
15.063,1100,1900,2000,1900,1900,1900,1900,1900,1900,1557,1279,1528,1500,1100,0,0
15.086,1100,1900,2000,1900,1900,1900,1900,1900,1900,1556,1277,1528,1500,1100,0,0
15.104,1100,1900,2000,1900,1900,1900,1900,1900,1900,1557,1275,1528,1500,1100,0,0
15.123,1100,1900,2000,1900,1900,1900,1900,1900,1900,1557,1277,1528,1500,1100,0,0
15.143,1100,1900,2000,1900,1900,1900,1900,1900,1900,1557,1277,1528,1500,1100,0,0
15.163,1100,1900,2000,1900,1900,1900,1900,1900,1900,1557,1276,1528,1500,1100,0,0
15.183,1100,1900,2000,1900,1900,1900,1900,1900,1900,1557,1275,1528,1500,1100,0,0
15.208,1100,1900,2000,1900,1900,1900,1900,1900,1900,1557,1274,1528,1500,1100,0,0
15.222,1100,1900,2000,1900,1900,1900,1900,1900,1900,1557,1271,1528,1500,1100,0,0
15.243,1100,1900,2000,1900,1900,1900,1900,1900,1900,1557,1270,1528,1500,1100,0,0
15.265,1100,1900,2000,1900,1900,1900,1900,1900,1900,1558,1269,1528,1500,1100,0,0
15.285,1100,1900,2000,1900,1900,1900,1900,1900,1900,1558,1269,1529,1500,1100,0,0
15.307,1100,1900,2000,1900,1900,1900,1900,1900,1900,1558,1267,1529,1500,1100,0,0
15.325,1100,1900,2000,1900,1900,1900,1900,1900,1900,1559,1267,1529,1500,1100,0,0
15.344,1100,1900,2000,1900,1900,1900,1900,1900,1900,1558,1266,1529,1500,1100,0,0
15.363,1100,1900,2000,1900,1900,1900,1900,1900,1900,1558,1265,1529,1500,1100,0,0
15.383,1100,1900,2000,1900,1900,1900,1900,1900,1900,1558,1260,1529,1500,1100,0,0
15.404,1100,1900,2000,1900,1900,1900,1900,1900,1900,1558,1258,1529,1500,1100,0,0
15.424,1100,1900,2000,1900,1900,1900,1900,1900,1900,1558,1256,1528,1500,1100,0,0
15.443,1100,1900,2000,1900,1900,1900,1900,1900,1900,1558,1255,1528,1500,1100,0,0
15.462,1100,1900,2000,1900,1900,1900,1900,1900,1900,1557,1252,1528,1500,1100,0,0
15.485,1100,1900,2000,1900,1900,1900,1900,1900,1900,1558,1254,1528,1500,1100,0,0
15.502,1100,1900,2000,1900,1900,1900,1900,1900,1900,1558,1255,1529,1500,1100,0,0
15.548,1100,1900,2000,1900,1900,1900,1900,1900,1900,1558,1253,1529,1500,1100,0,0
15.553,1100,1900,2000,1900,1900,1900,1900,1900,1900,1558,1253,1529,1500,1100,0,0
15.563,1100,1900,2000,1900,1900,1900,1900,1900,1900,1558,1255,1529,1500,1100,0,0
15.581,1100,1900,2000,1900,1900,1900,1900,1900,1900,1558,1255,1529,1500,1100,0,0
15.605,1100,1900,2000,1900,1900,1900,1900,1900,1900,1558,1255,1529,1500,1100,0,0
15.621,1100,1900,2000,1900,1900,1900,1900,1900,1900,1559,1257,1529,1500,1100,0,0
15.644,1100,1900,2000,1900,1900,1900,1900,1900,1900,1558,1256,1529,1500,1100,0,0
15.662,1100,1900,2000,1900,1900,1900,1900,1900,1900,1558,1253,1529,1500,1100,0,0
15.681,1100,1900,2000,1900,1900,1900,1900,1900,1900,1557,1252,1528,1500,1100,0,0
15.705,1100,1900,2000,1900,1900,1900,1900,1900,1900,1557,1252,1528,1500,1100,0,0
15.725,1100,1900,2000,1900,1900,1900,1900,1900,1900,1557,1251,1528,1500,1100,0,0
15.745,1100,1900,2000,1900,1900,1900,1900,1900,1900,1557,1250,1528,1500,1100,0,0
15.763,1100,1900,2000,1900,1900,1900,1900,1900,1900,1557,1249,1528,1500,1100,0,0
15.781,1100,1900,2000,1900,1900,1900,1900,1900,1900,1557,1251,1528,1500,1100,0,0
15.805,1100,1900,2000,1900,1900,1900,1900,1900,1900,1558,1253,1529,1500,1100,0,0
15.824,1100,1900,2000,1900,1900,1900,1900,1900,1900,1558,1254,1528,1500,1100,0,0
15.842,1100,1900,2000,1900,1900,1900,1900,1900,1900,1557,1257,1528,1500,1100,0,0
15.862,1100,1900,2000,1900,1900,1900,1900,1900,1900,1557,1256,1528,1500,1100,0,0
15.881,1100,1900,2000,1900,1900,1900,1900,1900,1900,1558,1254,1528,1500,1100,0,0
15.905,1100,1900,2000,1900,1900,1900,1900,1900,1900,1558,1256,1529,1500,1100,0,0
15.923,1100,1900,2000,1900,1900,1900,1900,1900,1900,1558,1255,1529,1500,1100,0,0
15.945,1100,1900,2000,1900,1900,1900,1900,1900,1900,1558,1254,1529,1500,1100,0,0
15.963,1100,1900,2000,1900,1900,1900,1900,1900,1900,1558,1253,1529,1500,1100,0,0
15.982,1100,1900,2000,1900,1900,1900,1900,1900,1900,1558,1251,1529,1500,1100,0,0
16.001,1100,1900,2000,1900,1900,1900,1900,1900,1900,1557,1250,1528,1500,1100,0,0
16.025,1100,1900,2000,1900,1900,1900,1900,1900,1900,1558,1251,1528,1500,1100,0,0
16.045,1100,1900,2000,1900,1900,1900,1900,1900,1900,1557,1250,1528,1500,1100,0,0
16.063,1100,1900,2000,1900,1900,1900,1900,1900,1900,1558,1249,1528,1500,1100,0,0
16.082,1100,1900,2000,1900,1900,1900,1900,1900,1900,1558,1249,1529,1500,1100,0,0
16.100,1100,1900,2000,1900,1900,1900,1900,1900,1900,1558,1249,1529,1500,1100,0,0
16.123,1100,1900,2000,1900,1900,1900,1900,1900,1900,1558,1249,1529,1500,1100,0,0
16.142,1100,1900,2000,1900,1900,1900,1900,1900,1900,1558,1248,1529,1500,1100,0,0
16.162,1100,1900,2000,1900,1900,1900,1900,1900,1900,1558,1246,1529,1500,1100,0,0
16.181,1100,1900,2000,1900,1900,1900,1900,1900,1900,1558,1246,1529,1500,1100,0,0
16.202,1100,1900,2000,1900,1900,1900,1900,1900,1900,1559,1244,1529,1500,1100,0,0
16.223,1100,1900,2000,1900,1900,1900,1900,1900,1900,1559,1244,1529,1500,1100,0,0
16.242,1100,1900,2000,1900,1900,1900,1900,1900,1900,1559,1244,1529,1500,1100,0,0
16.264,1100,1900,2000,1900,1900,1900,1900,1900,1900,1559,1242,1529,1500,1100,0,0
16.285,1100,1900,2000,1900,1900,1900,1900,1900,1900,1559,1243,1529,1500,1100,0,0
16.301,1100,1900,2000,1900,1900,1900,1900,1900,1900,1558,1241,1529,1500,1100,0,0
16.321,1100,1900,2000,1900,1900,1900,1900,1900,1900,1559,1242,1529,1500,1100,0,0
16.341,1100,1900,2000,1900,1900,1900,1900,1900,1900,1559,1242,1529,1500,1100,0,0
16.359,1100,1900,2000,1900,1900,1900,1900,1900,1900,1559,1243,1529,1500,1100,0,0
16.387,1100,1900,2000,1900,1900,1900,1900,1900,1900,1559,1240,1529,1500,1100,0,0
16.401,1100,1900,2000,1900,1900,1900,1900,1900,1900,1558,1239,1529,1500,1100,0,0
16.421,1100,1900,2000,1900,1900,1900,1900,1900,1900,1559,1238,1529,1500,1100,0,0
16.439,1100,1900,2000,1900,1900,1900,1900,1900,1900,1559,1236,1529,1500,1100,0,0
16.463,1100,1900,2000,1900,1900,1900,1900,1900,1900,1559,1233,1529,1500,1100,0,0
16.484,1100,1900,2000,1900,1900,1900,1900,1900,1900,1559,1230,1529,1500,1100,0,0
16.502,1100,1900,2000,1900,1900,1900,1900,1900,1900,1559,1231,1529,1500,1100,0,0
16.522,1100,1900,2000,1900,1900,1900,1900,1900,1900,1559,1229,1529,1500,1100,0,0
16.543,1100,1900,2000,1900,1900,1900,1900,1900,1900,1560,1229,1529,1500,1100,0,0
16.561,1100,1900,2000,1900,1900,1900,1900,1900,1900,1559,1225,1529,1500,1100,0,0
16.582,1100,1900,2000,1900,1900,1900,1900,1900,1900,1559,1225,1529,1500,1100,0,0
16.600,1100,1900,2000,1900,1900,1900,1900,1900,1900,1559,1224,1529,1500,1100,0,0
16.618,1100,1900,2000,1900,1900,1900,1900,1900,1900,1559,1222,1529,1500,1100,0,0
16.642,1100,1900,2000,1900,1900,1900,1900,1900,1900,1559,1221,1529,1500,1100,0,0
16.660,1100,1900,2000,1900,1900,1900,1900,1900,1900,1559,1219,1529,1500,1100,0,0
16.679,1100,1900,2000,1900,1900,1900,1900,1900,1900,1559,1220,1529,1500,1100,0,0
16.698,1100,1900,2000,1900,1900,1900,1900,1900,1900,1559,1221,1529,1500,1100,0,0
16.721,1100,1900,2000,1900,1900,1900,1900,1900,1900,1559,1224,1529,1500,1100,0,0
16.739,1100,1900,2000,1900,1900,1900,1900,1900,1900,1559,1225,1529,1500,1100,0,0
16.757,1100,1900,2000,1900,1900,1900,1900,1900,1900,1559,1223,1529,1500,1100,0,0
16.781,1100,1900,2000,1900,1900,1900,1900,1900,1900,1559,1221,1529,1500,1100,0,0
16.799,1100,1900,2000,1900,1900,1900,1900,1900,1900,1559,1220,1529,1500,1100,0,0
16.822,1100,1900,2000,1900,1900,1900,1900,1900,1900,1559,1217,1529,1500,1100,0,0
16.840,1100,1900,2000,1900,1900,1900,1900,1900,1900,1558,1219,1529,1500,1100,0,0
16.858,1100,1900,2000,1900,1900,1900,1900,1900,1900,1558,1221,1529,1500,1100,0,0
16.880,1100,1900,2000,1900,1900,1900,1900,1900,1900,1558,1223,1529,1500,1100,0,0
16.898,1100,1900,2000,1900,1900,1900,1900,1900,1900,1558,1225,1529,1500,1100,0,0
16.922,1100,1900,2000,1900,1900,1900,1900,1900,1900,1558,1224,1528,1500,1100,0,0
16.942,1100,1900,2000,1900,1900,1900,1900,1900,1900,1557,1226,1528,1500,1100,0,0
16.962,1100,1900,2000,1900,1900,1900,1900,1900,1900,1558,1228,1529,1500,1100,0,0
16.981,1100,1900,2000,1900,1900,1900,1900,1900,1900,1558,1228,1529,1500,1100,0,0
17.000,1100,1900,2000,1900,1900,1900,1900,1900,1900,1558,1224,1529,1500,1100,0,0
17.018,1100,1900,2000,1900,1900,1900,1900,1900,1900,1558,1224,1529,1500,1100,0,0
17.041,1100,1900,2000,1900,1900,1900,1900,1900,1900,1558,1224,1529,1500,1100,0,0
17.061,1100,1900,2000,1900,1900,1900,1900,1900,1900,1558,1221,1529,1500,1100,0,0
17.080,1100,1900,2000,1900,1900,1900,1900,1900,1900,1558,1220,1529,1500,1100,0,0
17.100,1100,1900,2000,1900,1900,1900,1900,1900,1900,1558,1220,1529,1500,1100,0,0
17.119,1100,1900,2000,1900,1900,1900,1900,1900,1900,1558,1223,1529,1500,1100,0,0
17.138,1100,1900,2000,1900,1900,1900,1900,1900,1900,1558,1227,1529,1500,1100,0,0
17.156,1100,1900,2000,1900,1900,1900,1900,1900,1900,1559,1225,1529,1500,1100,0,0
17.180,1100,1900,2000,1900,1900,1900,1900,1900,1900,1559,1224,1529,1500,1100,0,0
17.198,1100,1900,2000,1900,1900,1900,1900,1900,1900,1559,1223,1529,1500,1100,0,0
17.218,1100,1900,2000,1900,1900,1900,1900,1900,1900,1559,1219,1529,1500,1100,0,0
17.264,1100,1900,2000,1900,1900,1900,1900,1900,1900,1559,1218,1529,1500,1100,0,0
17.266,1100,1900,2000,1900,1900,1900,1900,1900,1900,1559,1218,1529,1500,1100,0,0
17.279,1100,1900,2000,1900,1900,1900,1900,1900,1900,1559,1219,1529,1500,1100,0,0
17.297,1100,1900,2000,1900,1900,1900,1900,1900,1900,1558,1218,1529,1500,1100,0,0
17.321,1116,1884,1980,1884,1884,1884,1884,1884,1884,1682,1215,1591,1500,1100,0,0
17.340,1180,1820,1900,1820,1820,1820,1820,1820,1820,1781,1215,1640,1500,1100,0,0
17.358,1180,1820,1900,1820,1820,1820,1820,1820,1820,1787,1271,1644,1500,1100,0,0
17.377,1180,1820,1900,1820,1820,1820,1820,1820,1820,1789,1292,1645,1500,1100,0,0
17.400,1180,1820,1900,1820,1820,1820,1820,1820,1820,1790,1289,1646,1500,1100,0,0
17.420,1180,1820,1900,1820,1820,1820,1820,1820,1820,1783,1285,1644,1500,1100,0,0
17.439,1180,1820,1900,1820,1820,1820,1820,1820,1820,1775,1279,1640,1500,1100,0,0
17.457,1180,1820,1900,1820,1820,1820,1820,1820,1820,1765,1268,1636,1500,1100,0,0
17.476,1180,1820,1900,1820,1820,1820,1820,1820,1820,1756,1257,1631,1500,1100,0,0
17.501,1180,1820,1900,1820,1820,1820,1820,1820,1820,1747,1245,1627,1500,1100,0,0
17.521,1180,1820,1900,1820,1820,1820,1820,1820,1820,1739,1232,1624,1500,1100,0,0
17.540,1180,1820,1900,1820,1820,1820,1820,1820,1820,1732,1222,1621,1500,1100,0,0
17.558,1180,1820,1900,1820,1820,1820,1820,1820,1820,1723,1209,1616,1500,1100,0,0
17.577,1180,1820,1900,1820,1820,1820,1820,1820,1820,1714,1199,1612,1500,1100,0,0
17.597,1180,1820,1900,1820,1820,1820,1820,1820,1820,1706,1193,1609,1500,1100,0,0
17.615,1180,1820,1900,1820,1820,1820,1820,1820,1820,1700,1188,1605,1500,1100,0,0
17.639,1180,1820,1900,1820,1820,1820,1820,1820,1820,1694,1182,1603,1500,1100,0,0
17.657,1180,1820,1900,1820,1820,1820,1820,1820,1820,1687,1183,1599,1500,1100,0,0
17.677,1180,1820,1900,1820,1820,1820,1820,1820,1820,1682,1181,1597,1500,1100,0,0
17.695,1180,1820,1900,1820,1820,1820,1820,1820,1820,1670,1178,1591,1500,1100,0,0
17.719,1180,1820,1900,1820,1820,1820,1820,1820,1820,1654,1180,1582,1500,1100,0,0
17.737,1180,1820,1900,1820,1820,1820,1820,1820,1820,1639,1181,1575,1500,1100,0,0
17.756,1180,1820,1900,1820,1820,1820,1820,1820,1820,1624,1179,1567,1500,1100,0,0
17.777,1180,1820,1900,1820,1820,1820,1820,1820,1820,1609,1177,1560,1500,1100,0,0
17.796,1180,1820,1900,1820,1820,1820,1820,1820,1820,1601,1173,1555,1500,1100,0,0
17.818,1180,1820,1900,1820,1820,1820,1820,1820,1820,1591,1176,1550,1500,1100,0,0
17.836,1180,1820,1900,1820,1820,1820,1820,1820,1820,1583,1182,1546,1500,1100,0,0
17.858,1180,1820,1900,1820,1820,1820,1820,1820,1820,1574,1184,1541,1500,1100,0,0
17.877,1180,1820,1900,1820,1820,1820,1820,1820,1820,1566,1188,1537,1500,1100,0,0
17.897,1180,1820,1900,1820,1820,1820,1820,1820,1820,1557,1190,1532,1500,1100,0,0
17.916,1180,1820,1900,1820,1820,1820,1820,1820,1820,1549,1194,1528,1500,1100,0,0
17.936,1180,1820,1900,1820,1820,1820,1820,1820,1820,1541,1201,1524,1500,1100,0,0
17.959,1180,1820,1900,1820,1820,1820,1820,1820,1820,1534,1204,1520,1500,1100,0,0
