time_s,phase,alt_agl_m,airspeed,roll_deg,pitch_deg,climb_mps,throttle_pct,theta_cmd_deg,lat,lon,load_factor_nz,load_factor_total
0.06,GROUND,-0.21,0.67,0.02,0.01,0.05,0,-0.00,28.5597410,77.1174499,0.955,0.955
0.36,GROUND,-0.19,1.62,0.02,-0.03,-0.02,90,-1.57,28.5597413,77.1174486,1.004,1.112
0.66,GROUND,-0.17,2.98,0.02,-0.09,-0.00,90,-2.00,28.5597426,77.1174429,1.002,1.092
0.96,GROUND,-0.17,4.22,0.02,-0.12,-0.01,90,-2.00,28.5597448,77.1174335,1.000,1.073
1.26,GROUND,-0.16,5.28,0.02,-0.13,-0.01,90,-2.00,28.5597478,77.1174207,1.001,1.064
1.57,CLIMB,-0.15,6.22,0.02,-0.11,-0.01,90,-1.51,28.5597515,77.1174047,1.001,1.056
1.86,CLIMB,-0.14,7.25,0.02,-0.15,-0.01,90,0.01,28.5597560,77.1173856,1.001,1.049
2.16,CLIMB,-0.13,8.22,0.03,-0.11,-0.01,90,1.50,28.5597612,77.1173637,1.000,1.043
2.36,CLIMB,-0.12,8.84,0.03,0.26,-0.01,90,2.52,28.5597650,77.1173476,0.999,1.038
2.66,CLIMB,-0.12,9.68,0.02,1.44,0.04,90,4.01,28.5597710,77.1173219,1.051,1.084
2.96,CLIMB,-0.05,10.35,-0.01,2.92,0.35,90,5.49,28.5597775,77.1172944,1.118,1.145
3.26,CLIMB,0.14,10.83,-0.04,4.57,0.79,90,7.01,28.5597843,77.1172654,1.143,1.166
3.56,CLIMB,0.46,11.38,-0.05,6.51,1.26,90,8.50,28.5597914,77.1172353,1.115,1.135
3.76,CLIMB,0.75,11.65,-0.04,8.06,1.60,90,9.52,28.5597962,77.1172147,1.151,1.169
4.06,CLIMB,1.33,11.86,-0.03,10.26,2.15,90,11.00,28.5598036,77.1171832,1.208,1.226
4.27,CLIMB,1.81,11.88,-0.03,11.55,2.54,90,12.00,28.5598085,77.1171622,1.169,1.186
4.56,CLIMB,2.66,11.89,-0.04,13.57,2.99,90,13.51,28.5598158,77.1171309,1.144,1.162
4.86,CLIMB,3.62,11.91,-0.04,15.60,3.34,90,15.00,28.5598229,77.1171007,1.211,1.230
5.06,CLIMB,4.32,11.79,-0.04,16.72,3.59,90,16.02,28.5598275,77.1170810,1.113,1.132
5.36,CLIMB,5.43,11.62,-0.03,18.34,3.81,90,16.50,28.5598342,77.1170524,1.098,1.120
5.66,CLIMB,6.61,11.34,-0.03,19.61,3.98,90,16.50,28.5598406,77.1170248,1.032,1.056
5.96,CLIMB,7.82,11.05,-0.03,20.47,4.05,90,16.50,28.5598469,77.1169980,1.004,1.031
6.27,CLIMB,9.02,10.83,-0.04,20.94,3.97,90,16.50,28.5598529,77.1169722,0.943,0.973
6.56,CLIMB,10.19,10.47,-0.05,21.03,3.84,90,16.50,28.5598587,77.1169472,0.919,0.952
6.86,CLIMB,11.33,10.18,-0.05,20.79,3.72,90,16.50,28.5598643,77.1169233,0.914,0.951
7.06,CLIMB,12.05,9.98,-0.05,20.47,3.58,90,16.48,28.5598679,77.1169078,0.891,0.929
7.36,CLIMB,13.09,9.68,-0.04,19.84,3.39,90,16.18,28.5598732,77.1168851,0.921,0.962
7.66,CLIMB,14.08,9.53,-0.04,18.99,3.19,90,16.03,28.5598785,77.1168627,0.912,0.955
7.96,CLIMB,14.99,9.40,-0.05,18.02,3.01,90,15.90,28.5598837,77.1168402,0.909,0.953
8.27,CLIMB,15.85,9.30,-0.06,16.99,2.77,90,15.80,28.5598889,77.1168177,0.849,0.894
8.56,CLIMB,16.63,9.10,-0.05,16.29,2.53,90,15.60,28.5598942,77.1167949,0.922,0.966
