time_s,phase,alt_agl_m,airspeed,roll_deg,pitch_deg,climb_mps,throttle_pct,theta_cmd_deg,lat,lon
0.06,GROUND,-0.21,0.79,0.02,0.01,0.05,0,-0.00,28.5597410,77.1174499
0.36,GROUND,-0.19,0.24,0.02,-0.03,-0.02,90,-1.54,28.5597413,77.1174484
0.56,GROUND,-0.18,1.33,0.02,-0.08,-0.01,90,-2.00,28.5597421,77.1174449
0.86,GROUND,-0.17,2.44,0.02,-0.12,-0.01,90,-2.00,28.5597442,77.1174361
1.16,GROUND,-0.16,3.76,0.02,-0.13,-0.01,90,-2.00,28.5597471,77.1174238
1.36,GROUND,-0.16,4.36,0.02,-0.12,-0.01,90,-2.00,28.5597494,77.1174139
1.66,GROUND,-0.15,5.17,0.02,-0.11,-0.01,90,-2.00,28.5597534,77.1173968
1.86,GROUND,-0.14,5.72,0.02,-0.12,-0.01,90,-2.00,28.5597564,77.1173840
2.16,CLIMB,-0.13,6.55,0.03,-0.14,-0.01,90,-1.01,28.5597614,77.1173627
2.46,CLIMB,-0.12,7.36,0.03,-0.13,-0.00,90,0.48,28.5597669,77.1173394
2.66,CLIMB,-0.12,7.80,0.03,-0.08,-0.00,90,1.50,28.5597708,77.1173231
2.96,CLIMB,-0.10,8.36,0.03,0.01,0.01,90,2.99,28.5597768,77.1172973
3.26,CLIMB,-0.10,8.91,0.03,0.10,0.01,90,4.47,28.5597832,77.1172700
3.56,CLIMB,-0.10,9.31,0.02,0.51,0.01,90,5.99,28.5597900,77.1172413
3.86,CLIMB,-0.10,9.83,0.02,1.14,0.01,90,7.06,28.5597971,77.1172110
4.16,CLIMB,-0.10,10.19,0.02,1.68,0.01,90,7.07,28.5598046,77.1171795
4.46,CLIMB,-0.09,10.46,0.00,2.08,0.09,90,7.51,28.5598122,77.1171469
4.66,CLIMB,-0.06,10.68,-0.03,2.42,0.18,90,7.98,28.5598174,77.1171249
4.96,CLIMB,0.03,10.96,-0.06,3.18,0.35,90,8.84,28.5598252,77.1170916
5.26,CLIMB,0.17,11.08,-0.06,4.16,0.56,90,9.89,28.5598331,77.1170580
5.56,CLIMB,0.38,11.24,-0.03,5.30,0.79,90,11.02,28.5598410,77.1170242
5.86,CLIMB,0.66,11.21,-0.03,6.53,1.03,90,12.27,28.5598490,77.1169901
6.16,CLIMB,1.02,11.16,-0.04,7.77,1.27,90,13.53,28.5598570,77.1169560
6.46,CLIMB,1.45,11.13,-0.06,9.04,1.49,90,14.71,28.5598650,77.1169221
6.66,CLIMB,1.76,11.05,-0.05,9.90,1.63,90,15.48,28.5598702,77.1168997
6.96,CLIMB,2.29,10.84,-0.05,11.18,1.81,90,16.50,28.5598778,77.1168672
7.26,CLIMB,2.87,10.71,-0.05,12.36,1.95,90,16.50,28.5598852,77.1168355
7.56,CLIMB,3.47,10.45,-0.05,13.32,2.05,90,16.50,28.5598924,77.1168046
7.86,CLIMB,4.09,10.23,-0.06,14.04,2.10,90,16.50,28.5598995,77.1167743
8.16,CLIMB,4.72,10.03,-0.06,14.50,2.10,90,16.50,28.5599065,77.1167445
8.46,CLIMB,5.34,9.80,-0.06,14.75,2.06,90,16.30,28.5599133,77.1167153
8.66,CLIMB,5.74,9.69,-0.06,14.82,2.02,90,16.19,28.5599178,77.1166962
8.96,CLIMB,6.33,9.51,-0.05,14.78,1.92,90,16.01,28.5599243,77.1166684
9.26,CLIMB,6.88,9.20,-0.05,14.55,1.81,90,15.70,28.5599306,77.1166411
