Monte Carlo Case #0004  [uSTOL FBWA open-loop profile]
======================================================================

Timestamp : 2026-06-18T16:30:59.232241
Duration  : 142.0 s

Parameter                     Nominal      Perturbed    Delta%
----------------------------------------------------------------------
mass                        17.000000      15.645271    -7.97%
Ixx                         11.410000      11.242249    -1.47%
Iyy                          5.230000       5.620942    +7.47%
Izz                         16.497000      16.543648    +0.28%
rho                          1.150000       1.158143    +0.71%
s                            1.681000       1.673614    -0.44%
b                            4.100000       4.098257    -0.04%
c                            0.410000       0.407872    -0.52%
t_by_c                       0.150000       0.149256    -0.50%
s_blown                      0.885600       0.936442    +5.74%
cg_x_cg_c                    0.495100       0.507522    +2.51%
wing_lambda_b                0.402400       0.434792    +8.05%
wing_S_f                     0.206640       0.196866    -4.73%
wing_S_a                     0.059040       0.058780    -0.44%
wing_k_fit                   0.535000       0.540919    +1.11%
wing_cl0_camber              0.519000       0.353798   -31.83%
wing_k_w                     2.632757       3.057537   +16.13%
wing_r                      -0.005473      -0.006757   -23.46%
tail_a_t                     4.270000       3.814519   -10.67%
tail_eta_t_0                 1.027100       1.061212    +3.32%
tail_eta_t_1                 0.010824       0.010909    +0.78%
tail_eps0                    0.030729       0.024184   -21.30%
tail_deps_pos               -0.018088      -0.019183    -6.05%
tail_deps_neg                0.283491       0.297840    +5.06%
tail_k_ht                    3.132920       3.754428   +19.84%
tail_CD_ht0                  0.004050       0.002512   -37.97%
tail_S_ht_S                  0.238050       0.224365    -5.75%
tail_V_H                     0.950000       0.921493    -3.00%
tail_AR_ht                   5.000000       5.239752    +4.80%
fuse_CD_a2                   1.956124       1.891892    -3.28%
fuse_CD_b2                   0.453343       0.441779    -2.55%
fuse_CD_a2_Cmyu              0.010846       0.011832    +9.09%
fuse_CD0                     0.045249       0.042042    -7.09%
fuse_CDq                    -0.373360      -0.494542   -32.46%
controls_tau_f               0.297565       0.326839    +9.84%
controls_tau_a               0.086943       0.091553    +5.30%
controls_Kb_f                0.506727       0.458568    -9.50%
controls_Kb_a                0.131584       0.143137    +8.78%
controls_tau_e               0.625000       0.571280    -8.60%
controls_CD_df2              0.217554       0.212776    -2.20%
controls_CD_da2              0.030418       0.027707    -8.91%
controls_CD_da               0.013566       0.013048    -3.81%
controls_CD_de2              0.164864       0.216705   +31.44%
controls_CD_de               0.010177       0.008475   -16.72%
controls_CD_dr2              0.142042       0.166475   +17.20%
stall_K_flat                 5.057530       4.613059    -8.79%
stall_a0_const              18.459054      10.773709   -41.63%
stall_a0_Cmyu               -0.125111      -0.114703    +8.32%
stall_k                     25.681000      31.954213   +24.43%
cl_stall_wM0                21.881300      21.819905    -0.28%
cl_stall_wM1                -2.477600      -2.332923    +5.84%
cl_stall_wa00               19.999700      20.014642    +0.07%
cl_stall_wa0mu               1.495500       1.146751   -23.32%
cl_stall_wa0f               -5.252700      -4.555650   +13.27%
cl_stall_wkflat              4.028400       3.565195   -11.50%
cl_stall_rM                 14.328600      10.486871   -26.81%
cl_stall_ra0                13.226100      10.242058   -22.56%
cl_stall_rkcu                0.476500       0.364848   -23.43%
cl_stall_rkflat              1.351400       1.600533   +18.44%
lateral_theta0               0.000424       0.000408    -3.70%
lateral_theta_b             -0.014394      -0.016453   -14.30%
lateral_theta_aL            -0.000145      -0.000129   +11.18%
lateral_theta_aR             0.000141       0.000141    +0.25%
lateral_theta_r              0.004425       0.005032   +13.73%
lateral_theta_bcu           -0.006646      -0.006405    +3.62%
lateral_beta0               12.000000      11.622025    -3.15%
lateral_kv                  -1.370707      -1.368734    +0.14%
lateral_kps_r                0.606335       0.527362   -13.02%
lateral_M                   59.998281      64.361010    +7.27%
lateral_CYp                  0.156542       0.148264    -5.29%
lateral_CYr                  0.364915       0.403079   +10.46%
roll_theta0                 -0.000102      -0.000120   -17.30%
