time_s,phase,alt_agl_m,airspeed,roll_deg,pitch_deg,climb_mps,throttle_pct,theta_cmd_deg,lat,lon
0.06,GROUND,-0.21,0.79,0.02,0.01,0.05,0,-0.00,28.5597410,77.1174499
0.36,GROUND,-0.19,0.32,0.02,-0.03,-0.02,90,-1.54,28.5597413,77.1174485
0.66,GROUND,-0.17,1.72,0.02,-0.09,-0.00,90,-2.00,28.5597426,77.1174429
0.96,GROUND,-0.17,2.87,0.02,-0.13,-0.01,90,-2.00,28.5597448,77.1174333
1.26,GROUND,-0.16,3.84,0.02,-0.13,-0.01,90,-2.00,28.5597479,77.1174203
1.46,GROUND,-0.16,4.45,0.02,-0.12,-0.01,90,-2.00,28.5597503,77.1174102
1.76,GROUND,-0.15,5.26,0.02,-0.12,-0.01,90,-2.00,28.5597544,77.1173925
1.96,GROUND,-0.14,5.86,0.03,-0.14,-0.01,90,-2.00,28.5597576,77.1173791
2.26,CLIMB,-0.13,6.85,0.03,-0.16,-0.01,90,-0.49,28.5597628,77.1173571
2.56,CLIMB,-0.12,7.65,0.03,0.14,-0.00,90,1.00,28.5597685,77.1173327
2.76,CLIMB,-0.11,8.12,0.03,0.68,-0.00,90,2.02,28.5597725,77.1173156
3.06,CLIMB,-0.10,8.82,0.03,1.67,0.01,90,3.51,28.5597790,77.1172882
3.36,CLIMB,-0.09,9.50,0.02,2.54,0.05,90,5.00,28.5597858,77.1172591
3.66,CLIMB,-0.05,9.88,-0.02,3.30,0.25,90,6.51,28.5597930,77.1172284
3.96,CLIMB,0.06,10.43,-0.06,4.32,0.53,90,8.00,28.5598006,77.1171962
4.26,CLIMB,0.27,10.75,-0.07,5.70,0.88,90,9.52,28.5598084,77.1171628
4.56,CLIMB,0.61,11.07,-0.06,7.41,1.27,90,11.00,28.5598164,77.1171287
4.76,CLIMB,0.90,11.14,-0.05,8.68,1.55,90,12.02,28.5598217,77.1171060
5.06,CLIMB,1.44,11.28,-0.06,10.65,1.96,90,13.51,28.5598296,77.1170722
5.36,CLIMB,2.10,11.34,-0.06,12.64,2.35,90,15.00,28.5598374,77.1170387
5.66,CLIMB,2.86,11.23,-0.06,14.57,2.69,90,16.50,28.5598451,77.1170058
5.96,CLIMB,3.72,11.03,-0.06,16.40,2.97,90,16.50,28.5598527,77.1169734
6.26,CLIMB,4.66,10.77,-0.06,17.93,3.18,90,16.50,28.5598600,77.1169419
6.56,CLIMB,5.65,10.47,-0.07,19.16,3.29,90,16.50,28.5598671,77.1169114
6.76,CLIMB,6.31,10.23,-0.07,19.81,3.31,90,16.50,28.5598717,77.1168918
