Monte Carlo Case #0000  [uSTOL FBWA open-loop profile]
======================================================================

Timestamp : 2026-06-18T16:44:23.976567
Duration  : 142.0 s

Parameter                     Nominal      Perturbed    Delta%
----------------------------------------------------------------------
mass                        17.000000      17.172673    +1.02%
Ixx                         11.410000      10.618919    -6.93%
Iyy                          5.230000       5.491657    +5.00%
Izz                         16.497000      17.531433    +6.27%
rho                          1.150000       1.075210    -6.50%
s                            1.681000       1.659110    -1.30%
b                            4.100000       4.105241    +0.13%
c                            0.410000       0.408703    -0.32%
t_by_c                       0.150000       0.149975    -0.02%
s_blown                      0.885600       0.835236    -5.69%
cg_x_cg_c                    0.495100       0.509613    +2.93%
wing_lambda_b                0.402400       0.433698    +7.78%
wing_S_f                     0.206640       0.207095    +0.22%
wing_S_a                     0.059040       0.061258    +3.76%
wing_k_fit                   0.535000       0.576686    +7.79%
wing_cl0_camber              0.519000       0.444671   -14.32%
wing_k_w                     2.632757       2.794562    +6.15%
wing_r                      -0.005473      -0.006348   -15.98%
tail_a_t                     4.270000       4.895164   +14.64%
tail_eta_t_0                 1.027100       1.023681    -0.33%
tail_eta_t_1                 0.010824       0.010691    -1.23%
tail_eps0                    0.030729       0.027242   -11.35%
tail_deps_pos               -0.018088      -0.014402   +20.38%
tail_deps_neg                0.283491       0.276190    -2.58%
tail_k_ht                    3.132920       2.909267    -7.14%
tail_CD_ht0                  0.004050       0.003812    -5.87%
tail_S_ht_S                  0.238050       0.246498    +3.55%
tail_V_H                     0.950000       0.973145    +2.44%
tail_AR_ht                   5.000000       5.137578    +2.75%
fuse_CD_a2                   1.956124       2.096581    +7.18%
fuse_CD_b2                   0.453343       0.615160   +35.69%
fuse_CD_a2_Cmyu              0.010846       0.010111    -6.77%
fuse_CD0                     0.045249       0.041386    -8.54%
fuse_CDq                    -0.373360      -0.423998   -13.56%
controls_tau_f               0.297565       0.328114   +10.27%
controls_tau_a               0.086943       0.103302   +18.82%
controls_Kb_f                0.506727       0.497104    -1.90%
controls_Kb_a                0.131584       0.113159   -14.00%
controls_tau_e               0.625000       0.539117   -13.74%
controls_CD_df2              0.217554       0.241144   +10.84%
controls_CD_da2              0.030418       0.034186   +12.39%
controls_CD_da               0.013566       0.014794    +9.05%
controls_CD_de2              0.164864       0.146578   -11.09%
controls_CD_de               0.010177       0.010571    +3.87%
controls_CD_dr2              0.142042       0.144804    +1.94%
stall_K_flat                 5.057530       5.241867    +3.64%
stall_a0_const              18.459054      21.140012   +14.52%
stall_a0_Cmyu               -0.125111      -0.120449    +3.73%
stall_k                     25.681000      28.586863   +11.32%
cl_stall_wM0                21.881300      22.127753    +1.13%
cl_stall_wM1                -2.477600      -2.358213    +4.82%
cl_stall_wa00               19.999700      22.103963   +10.52%
cl_stall_wa0mu               1.495500       1.132304   -24.29%
cl_stall_wa0f               -5.252700      -5.532556    -5.33%
cl_stall_wkflat              4.028400       3.712592    -7.84%
cl_stall_rM                 14.328600      12.802896   -10.65%
cl_stall_ra0                13.226100      12.619590    -4.59%
cl_stall_rkcu                0.476500       0.595223   +24.92%
cl_stall_rkflat              1.351400       1.156386   -14.43%
lateral_theta0               0.000424       0.000492   +16.14%
lateral_theta_b             -0.014394      -0.018431   -28.05%
lateral_theta_aL            -0.000145      -0.000153    -5.58%
lateral_theta_aR             0.000141       0.000145    +2.71%
lateral_theta_r              0.004425       0.004857    +9.77%
lateral_theta_bcu           -0.006646      -0.005858   +11.85%
lateral_beta0               12.000000      13.586694   +13.22%
lateral_kv                  -1.370707      -1.450374    -5.81%
lateral_kps_r                0.606335       0.559612    -7.71%
lateral_M                   59.998281      68.577794   +14.30%
lateral_CYp                  0.156542       0.151551    -3.19%
lateral_CYr                  0.364915       0.287329   -21.26%
roll_theta0                 -0.000102      -0.000121   -18.89%
