parameter,direction,pct,nominal_val,perturbed_val,passed,fail_reasons
cg_x,-,30.0,1.03,0.721,True,
cg_x,-,40.0,1.03,0.618,False,flag_pitch_angle
cg_x,-,60.0,1.03,0.41200000000000003,False,flag_pitch_angle
cg_x,-,80.0,1.03,0.20599999999999996,False,flag_pitch_angle
cg_x,-,100.0,1.03,0.0,False,flag_pitch_angle
cg_x,+,20.0,1.03,1.236,True,
cg_x,+,40.0,1.03,1.442,True,
cg_x,+,60.0,1.03,1.6480000000000001,True,
cg_x,+,80.0,1.03,1.854,True,
cg_x,+,90.0,1.03,1.9569999999999999,False,flag_pitch_angle
cg_x,+,100.0,1.03,2.06,False,flag_pitch_angle
