time_s,phase,alt_agl_m,airspeed,roll_deg,pitch_deg,climb_mps,throttle_pct,theta_cmd_deg,lat,lon,load_factor_nz,load_factor_total
0.06,GROUND,-0.21,0.79,0.02,0.01,0.05,0,-0.00,28.5597410,77.1174499,0.955,0.955
0.36,GROUND,-0.19,0.62,0.02,-0.02,-0.02,90,-1.54,28.5597413,77.1174487,1.004,1.097
0.66,GROUND,-0.17,0.91,0.02,-0.08,-0.00,90,-2.00,28.5597425,77.1174434,1.002,1.097
0.96,GROUND,-0.17,1.51,0.02,-0.13,-0.01,90,-2.00,28.5597446,77.1174341,1.000,1.095
1.26,GROUND,-0.16,2.47,0.02,-0.14,-0.01,90,-2.00,28.5597477,77.1174210,1.001,1.078
1.46,GROUND,-0.16,3.18,0.02,-0.14,-0.01,90,-2.00,28.5597502,77.1174103,1.001,1.070
1.76,GROUND,-0.15,4.12,0.02,-0.16,-0.01,90,-2.00,28.5597547,77.1173913,1.001,1.057
1.96,GROUND,-0.14,4.82,0.03,-0.18,-0.01,90,-2.00,28.5597581,77.1173768,1.001,1.057
2.26,GROUND,-0.13,5.99,0.03,-0.20,-0.01,90,-2.00,28.5597638,77.1173528,1.001,1.055
2.56,CLIMB,-0.12,6.97,0.03,-0.17,-0.01,90,-0.51,28.5597701,77.1173259,1.001,1.053
2.76,CLIMB,-0.12,7.56,0.03,-0.11,-0.01,90,0.51,28.5597746,77.1173067,1.001,1.052
3.06,CLIMB,-0.10,8.51,0.03,0.13,0.00,90,2.00,28.5597819,77.1172757,1.000,1.049
3.36,CLIMB,-0.10,9.48,0.03,0.95,0.01,90,3.48,28.5597898,77.1172420,0.996,1.043
3.66,CLIMB,-0.09,10.17,0.02,2.03,0.09,90,5.00,28.5597984,77.1172057,1.063,1.103
3.96,CLIMB,-0.03,11.03,-0.02,3.12,0.41,90,6.49,28.5598075,77.1171669,1.118,1.152
4.26,CLIMB,0.17,11.77,-0.06,4.58,0.87,90,8.00,28.5598171,77.1171260,1.161,1.190
4.56,CLIMB,0.55,12.34,-0.07,6.46,1.50,90,9.49,28.5598271,77.1170836,1.217,1.242
4.76,CLIMB,0.90,12.58,-0.06,8.06,1.89,90,10.51,28.5598337,77.1170551,1.172,1.196
5.06,CLIMB,1.56,12.86,-0.05,11.12,2.47,90,12.00,28.5598438,77.1170122,1.181,1.202
5.36,CLIMB,2.42,12.96,-0.05,13.68,3.17,90,13.48,28.5598538,77.1169693,1.177,1.199
5.66,CLIMB,3.49,13.10,-0.06,15.88,3.78,90,15.00,28.5598637,77.1169270,1.169,1.191
5.96,CLIMB,4.71,12.93,-0.06,18.24,4.26,90,16.49,28.5598735,77.1168851,1.169,1.192
6.26,CLIMB,6.06,12.77,-0.06,20.39,4.61,90,16.50,28.5598831,77.1168441,1.099,1.123
6.56,CLIMB,7.50,12.51,-0.07,22.04,4.92,90,16.50,28.5598923,77.1168045,1.042,1.069
6.76,CLIMB,8.51,12.21,-0.07,22.80,5.05,90,16.50,28.5598983,77.1167790,1.015,1.044
7.06,CLIMB,10.03,11.81,-0.06,23.71,5.06,90,16.50,28.5599068,77.1167423,0.972,1.005
7.36,CLIMB,11.54,11.38,-0.06,24.14,4.99,90,16.50,28.5599150,77.1167070,0.955,0.992
7.66,CLIMB,13.00,10.99,-0.07,24.15,4.79,90,16.50,28.5599230,77.1166728,0.912,0.953
7.96,CLIMB,14.39,10.64,-0.07,23.69,4.52,90,16.50,28.5599308,77.1166392,0.865,0.910
8.26,CLIMB,15.70,10.40,-0.08,22.73,4.25,90,16.50,28.5599385,77.1166062,0.850,0.899
8.56,CLIMB,16.91,10.06,-0.09,21.60,3.88,90,16.50,28.5599461,77.1165735,0.825,0.875
8.76,CLIMB,17.67,9.94,-0.08,20.77,3.69,90,16.44,28.5599511,77.1165519,0.856,0.908
9.06,CLIMB,18.72,9.68,-0.06,19.32,3.37,90,16.18,28.5599585,77.1165200,0.824,0.877
9.36,CLIMB,19.68,9.65,-0.06,17.97,3.06,90,16.15,28.5599659,77.1164880,0.879,0.932
9.66,CLIMB,20.55,9.59,-0.07,16.49,2.82,90,16.09,28.5599734,77.1164557,0.843,0.896
9.96,CLIMB,21.36,9.54,-0.08,15.18,2.59,90,16.04,28.5599811,77.1164229,0.881,0.933
10.26,CLIMB,22.09,9.74,-0.07,14.18,2.43,90,16.24,28.5599889,77.1163892,0.919,0.969
10.56,CLIMB,22.77,9.91,-0.07,13.44,2.31,90,16.41,28.5599969,77.1163548,0.940,0.988
