wall_time_s,ardu_mode,lat_degE7,lon_degE7,alt_msl_mm,alt_agl_mm,vx_cmps,vy_cmps,vz_cmps,roll_rad,pitch_rad,yaw_rad,rollspeed_rps,pitchspeed_rps,yawspeed_rps,local_x_m,local_y_m,local_z_m,local_vx_mps,local_vy_mps,local_vz_mps,airspeed_mps,groundspeed_mps,heading_deg,throttle_pct,climb_mps,xacc_mg,yacc_mg,zacc_mg,xgyro_mradps,ygyro_mradps,zgyro_mradps,nav_roll_deg,nav_pitch_deg,alt_error_m,aspd_error_mps,xtrack_error_m
13.443,-1,0,0,0,0,0,0,0,0.00207,0.00188,-1.30619,0.00031,0.00032,0.00030,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
13.444,10,285597410,771174500,236950,-97,0,1,0,0.00209,0.00190,-1.30617,0.00027,0.00032,0.00025,0.007,0.012,0.148,0.010,0.017,0.004,0.30,0.02,285,6,-0.00,0,0,0,0,0,0,0.00,4.99,100.10,-57.50,0.00
13.444,10,285597410,771174500,236950,-96,1,1,0,0.00210,0.00191,-1.30614,0.00029,0.00032,0.00026,0.007,0.012,0.147,0.010,0.017,0.003,0.59,0.02,285,16,-0.00,0,0,0,0,0,0,0.00,4.99,100.10,266.98,0.00
13.444,10,285597410,771174500,236950,-96,1,1,0,0.00211,0.00193,-1.30612,0.00033,0.00033,0.00029,0.007,0.012,0.146,0.012,0.010,0.003,0.45,0.02,285,26,-0.00,0,0,0,0,0,0,0.00,4.99,100.10,1940.82,0.00
13.445,10,285597410,771174500,236950,-95,2,-2,0,0.00212,0.00193,-1.30609,0.00028,0.00033,0.00028,0.008,0.011,0.146,0.022,-0.023,0.003,0.41,0.03,285,36,-0.00,0,0,0,0,0,0,0.00,4.99,100.10,2955.16,0.00
13.445,10,285597410,771174499,236950,-94,4,-10,0,0.00214,0.00194,-1.30607,0.00028,0.00037,0.00031,0.011,0.003,0.145,0.043,-0.102,0.003,0.37,0.11,285,46,-0.00,0,0,0,0,0,0,0.00,4.99,100.10,2958.60,0.00
13.446,10,285597411,771174498,236950,-94,8,-24,0,0.00214,0.00192,-1.30605,0.00033,0.00035,0.00028,0.016,-0.015,0.144,0.083,-0.245,0.002,0.55,0.26,285,56,-0.00,0,0,0,0,0,0,0.00,4.99,100.10,2962.56,0.00
13.446,10,285597412,771174494,236950,-93,14,-47,0,0.00216,0.00190,-1.30603,0.00032,0.00030,0.00029,0.026,-0.053,0.143,0.144,-0.472,0.002,0.76,0.49,285,66,-0.00,0,0,0,0,0,0,0.00,4.99,100.10,2944.57,0.00
13.446,10,285597413,771174487,236950,-92,23,-80,0,0.00216,0.00182,-1.30603,0.00036,0.00030,0.00024,0.044,-0.118,0.143,0.234,-0.801,0.001,0.67,0.83,285,76,-0.00,0,0,0,0,0,0,0.00,4.99,100.10,2924.29,0.00
13.446,10,285597416,771174477,236950,-92,35,-125,0,0.00216,0.00176,-1.30603,0.00027,0.00029,0.00021,0.073,-0.225,0.142,0.356,-1.252,-0.000,0.87,1.30,285,86,0.00,0,0,0,0,0,0,0.00,4.99,100.10,2932.99,0.00
13.447,10,285597420,771174460,236950,-92,51,-183,0,0.00216,0.00160,-1.30609,0.00030,0.00032,0.00025,0.115,-0.382,0.142,0.515,-1.839,-0.001,0.81,1.91,285,96,0.00,0,0,0,0,0,0,0.00,6.06,100.10,2913.03,0.00
13.447,10,285597425,771174437,236950,-92,70,-252,0,0.00216,0.00147,-1.30614,0.00029,0.00028,0.00027,0.176,-0.608,0.142,0.701,-2.527,-0.002,1.13,2.62,285,100,0.00,0,0,0,0,0,0,0.00,8.44,100.10,2918.57,0.00
13.447,10,285597432,771174407,236950,-92,88,-321,0,0.00215,0.00127,-1.30633,0.00026,0.00025,0.00019,0.255,-0.902,0.142,0.887,-3.215,-0.003,1.94,3.34,285,100,0.00,0,0,0,0,0,0,0.00,9.29,100.10,2886.86,0.00
13.448,10,285597441,771174370,236950,-92,107,-390,0,0.00215,0.00111,-1.30649,0.00026,0.00029,0.00021,0.353,-1.268,0.142,1.073,-3.905,-0.003,2.59,4.05,285,100,0.00,0,0,0,0,0,0,0.00,9.43,100.10,2805.57,0.00
13.448,10,285597452,771174325,236950,-92,125,-459,0,0.00214,0.00090,-1.30681,0.00028,0.00025,0.00026,0.470,-1.702,0.142,1.259,-4.594,-0.003,3.28,4.76,285,100,0.00,0,0,0,0,0,0,0.00,9.59,100.10,2740.72,0.00
13.449,10,285597464,771174274,236950,-92,143,-525,0,0.00215,0.00076,-1.30708,0.00032,0.00024,0.00017,0.605,-2.206,0.142,1.436,-5.254,-0.003,3.67,5.45,285,100,0.00,0,0,0,0,0,0,0.00,9.75,100.10,2671.78,0.00
13.449,10,285597478,771174216,236950,-92,160,-588,0,0.00215,0.00059,-1.30750,0.00022,0.00027,0.00018,0.758,-2.773,0.142,1.605,-5.884,-0.003,4.41,6.10,285,100,0.00,0,0,0,0,0,0,0.00,8.90,100.10,2632.61,0.00
13.450,10,285597493,771174151,236950,-92,177,-650,0,0.00215,0.00044,-1.30787,0.00029,0.00025,0.00010,0.928,-3.409,0.143,1.770,-6.506,-0.002,4.87,6.74,285,100,0.00,0,0,0,0,0,0,-0.04,8.74,100.10,2558.76,0.00
13.450,10,285597510,771174080,236950,-93,193,-712,0,0.00216,0.00015,-1.30830,0.00028,0.00022,0.00017,1.115,-4.104,0.144,1.934,-7.123,-0.001,5.54,7.38,285,100,0.00,0,0,0,0,0,0,-0.04,8.58,100.10,2512.94,0.00
13.450,10,285597528,771174002,236950,-94,209,-774,0,0.00217,-0.00014,-1.30865,0.00029,0.00023,0.00011,1.319,-4.866,0.145,2.099,-7.747,0.001,6.08,8.03,285,100,-0.00,0,0,0,0,0,0,-0.04,8.68,100.10,2446.42,0.00
13.451,10,285597548,771173917,236950,-95,226,-837,0,0.00218,-0.00051,-1.30903,0.00029,0.00018,0.00021,1.539,-5.691,0.145,2.265,-8.376,0.003,6.69,8.68,285,100,-0.00,0,0,0,0,0,0,-0.03,8.80,100.10,2392.10,0.00
13.451,10,285597569,771173826,236950,-96,243,-900,0,0.00220,-0.00083,-1.30933,0.00030,0.00017,0.00007,1.777,-6.581,0.146,2.431,-9.004,0.006,7.36,9.33,284,100,-0.01,0,0,0,0,0,0,-0.02,8.85,100.10,2331.13,0.00
