Monte Carlo Case #0003  [uSTOL FBWA open-loop profile]
======================================================================

Timestamp : 2026-06-18T16:30:59.227100
Duration  : 142.0 s

Parameter                     Nominal      Perturbed    Delta%
----------------------------------------------------------------------
mass                        17.000000      16.419336    -3.42%
Ixx                         11.410000      12.557088   +10.05%
Iyy                          5.230000       4.652748   -11.04%
Izz                         16.497000      17.329029    +5.04%
rho                          1.150000       1.119642    -2.64%
s                            1.681000       1.723114    +2.51%
b                            4.100000       4.084472    -0.38%
c                            0.410000       0.407202    -0.68%
t_by_c                       0.150000       0.151495    +1.00%
s_blown                      0.885600       0.854673    -3.49%
cg_x_cg_c                    0.495100       0.495732    +0.13%
wing_lambda_b                0.402400       0.404284    +0.47%
wing_S_f                     0.206640       0.197948    -4.21%
wing_S_a                     0.059040       0.060177    +1.93%
wing_k_fit                   0.535000       0.405238   -24.25%
wing_cl0_camber              0.519000       0.468710    -9.69%
wing_k_w                     2.632757       2.424228    -7.92%
wing_r                      -0.005473      -0.006247   -14.14%
tail_a_t                     4.270000       4.251318    -0.44%
tail_eta_t_0                 1.027100       1.038853    +1.14%
tail_eta_t_1                 0.010824       0.010165    -6.09%
tail_eps0                    0.030729       0.031117    +1.26%
tail_deps_pos               -0.018088      -0.015884   +12.19%
tail_deps_neg                0.283491       0.255577    -9.85%
tail_k_ht                    3.132920       2.544428   -18.78%
tail_CD_ht0                  0.004050       0.004349    +7.38%
tail_S_ht_S                  0.238050       0.230612    -3.12%
tail_V_H                     0.950000       1.100727   +15.87%
tail_AR_ht                   5.000000       5.382734    +7.65%
fuse_CD_a2                   1.956124       2.106059    +7.66%
fuse_CD_b2                   0.453343       0.502225   +10.78%
fuse_CD_a2_Cmyu              0.010846       0.008342   -23.09%
fuse_CD0                     0.045249       0.052539   +16.11%
fuse_CDq                    -0.373360      -0.426230   -14.16%
controls_tau_f               0.297565       0.244366   -17.88%
controls_tau_a               0.086943       0.066235   -23.82%
controls_Kb_f                0.506727       0.479575    -5.36%
controls_Kb_a                0.131584       0.109434   -16.83%
controls_tau_e               0.625000       0.412565   -33.99%
controls_CD_df2              0.217554       0.177964   -18.20%
controls_CD_da2              0.030418       0.027435    -9.81%
controls_CD_da               0.013566       0.013228    -2.49%
controls_CD_de2              0.164864       0.190787   +15.72%
controls_CD_de               0.010177       0.010098    -0.77%
controls_CD_dr2              0.142042       0.113810   -19.88%
stall_K_flat                 5.057530       5.420187    +7.17%
stall_a0_const              18.459054      24.362255   +31.98%
stall_a0_Cmyu               -0.125111      -0.103518   +17.26%
stall_k                     25.681000      29.696876   +15.64%
cl_stall_wM0                21.881300      15.298255   -30.09%
cl_stall_wM1                -2.477600      -2.437903    +1.60%
cl_stall_wa00               19.999700      23.745335   +18.73%
cl_stall_wa0mu               1.495500       1.670302   +11.69%
cl_stall_wa0f               -5.252700      -4.510386   +14.13%
cl_stall_wkflat              4.028400       4.046017    +0.44%
cl_stall_rM                 14.328600      15.723487    +9.73%
cl_stall_ra0                13.226100      11.737882   -11.25%
cl_stall_rkcu                0.476500       0.556721   +16.84%
cl_stall_rkflat              1.351400       1.436790    +6.32%
lateral_theta0               0.000424       0.000404    -4.76%
lateral_theta_b             -0.014394      -0.011487   +20.20%
lateral_theta_aL            -0.000145      -0.000091   +37.44%
lateral_theta_aR             0.000141       0.000144    +2.36%
lateral_theta_r              0.004425       0.005042   +13.93%
lateral_theta_bcu           -0.006646      -0.007161    -7.75%
lateral_beta0               12.000000      13.947583   +16.23%
lateral_kv                  -1.370707      -1.374297    -0.26%
lateral_kps_r                0.606335       0.465820   -23.17%
lateral_M                   59.998281      64.306234    +7.18%
lateral_CYp                  0.156542       0.166029    +6.06%
lateral_CYr                  0.364915       0.313459   -14.10%
roll_theta0                 -0.000102      -0.000118   -16.08%
