Monte Carlo Case #0003  [uSTOL FBWA open-loop profile]
======================================================================

Timestamp : 2026-06-18T16:30:59.227100
roll_theta_aL                0.000638       0.000669    +4.87%
roll_theta_aR               -0.000677      -0.000633    +6.44%
roll_theta_aLcu              0.000108       0.000131   +21.16%
roll_theta_aRcu             -0.000094      -0.000133   -41.49%
roll_theta_b                -0.000381      -0.000366    +3.96%
roll_theta_b_cu              0.000069       0.000072    +4.13%
roll_theta_r                 0.000497       0.000588   +18.30%
roll_Clp                    -0.642739      -0.485918   +24.40%
roll_Clr                     0.398063       0.418733    +5.19%
pitch_Cmq                  -29.186868     -30.517002    -4.56%
yaw_theta0                   0.000281       0.000367   +30.63%
yaw_theta_b                  0.003317       0.003903   +17.67%
yaw_theta_aL                -0.000016      -0.000013   +15.67%
yaw_theta_aR                 0.000001       0.000001   +16.96%
yaw_theta_r                 -0.001842      -0.002222   -20.64%
yaw_theta_bcu               -0.000090      -0.000083    +8.02%
yaw_theta_aLcu              -0.000029      -0.000035   -21.15%
yaw_theta_aRcu               0.000027       0.000026    -5.02%
yaw_Cnp                     -0.139344      -0.117496   +15.68%
yaw_Cnr                     -0.162811      -0.178515    -9.65%
yaw_beta0                   11.999974      11.029065    -8.09%
yaw_kcu                      0.000009       0.000009    +0.80%
yaw_kv                       0.290114       0.303644    +4.66%
yaw_kps_r                    0.655515       0.656354    +0.13%
yaw_M                       59.998281      64.848462    +8.08%
prop_cmyu_J2                 0.532110       0.472092   -11.28%
prop_cmyu_0                  0.036690       0.037327    +1.74%
prop_CT_1                    0.691683       0.611601   -11.58%
prop_CT_J                   -0.734466      -0.949460   -29.27%
prop_CT_JM                   1.647050       1.458731   -11.43%
max_thrust                   4.905000       5.002495    +1.99%

======================================================================
Result
----------------------------------------------------------------------
  Profile result    : climb_timeout
  Takeoff success   : True
  Reached hold      : False
  Max altitude (m)  : 94.9
  Ground roll (m)   : 45.33106822125208
  Liftoff Vlof (m/s): 11.261136054992676
  Exit reason       : climb_timeout
