time_s,phase,mode,armed,lat,lon,alt_agl_m,airspeed,groundspeed,roll_deg,pitch_deg,yaw_deg,p_dps,q_dps,r_dps,gamma_deg,vN,vE,vD,climb_mps,throttle_pct
1.12,TAKEOFF,MANUAL,0,-35.3631998,149.1652281,0.05,2.84,3.93,0.12,0.09,-6.23,0.02,0.02,0.04,0.29,3.90,-0.46,-0.02,0.02,84
1.32,TAKEOFF,MANUAL,0,-35.3631917,149.1652269,0.06,3.55,4.98,0.12,0.09,-6.24,0.02,0.02,0.04,0.23,4.94,-0.57,-0.02,0.02,100
1.52,TAKEOFF,MANUAL,0,-35.3631818,149.1652255,0.06,4.34,6.06,0.12,0.10,-6.24,0.03,0.02,0.04,0.19,6.02,-0.69,-0.02,0.02,100
1.73,TAKEOFF,MANUAL,0,-35.3631700,149.1652238,0.07,5.52,7.08,0.13,0.25,-6.25,0.02,2.13,0.05,0.16,7.03,-0.81,-0.02,0.02,100
1.93,TAKEOFF,TAKEOFF,1,-35.3631564,149.1652218,0.07,6.54,8.06,0.13,0.92,-6.27,0.02,4.51,0.05,0.21,8.00,-0.92,-0.03,0.03,100
2.13,TAKEOFF,MANUAL,0,-35.3631412,149.1652196,0.08,7.34,8.98,0.13,1.96,-6.30,0.02,5.40,0.04,0.19,8.92,-1.03,-0.03,0.03,100
2.34,TAKEOFF,MANUAL,0,-35.3631244,149.1652171,0.08,8.12,9.84,0.14,3.00,-6.33,0.02,5.08,0.04,0.17,9.77,-1.13,-0.03,0.03,100
2.54,TAKEOFF,MANUAL,0,-35.3631062,149.1652144,0.08,9.03,10.64,0.14,3.98,-6.38,0.02,4.78,0.04,0.16,10.57,-1.23,-0.03,0.03,100
2.75,TAKEOFF,MANUAL,0,-35.3630862,149.1652114,0.09,9.83,11.39,0.14,4.87,-6.42,-0.02,3.79,0.06,0.25,11.31,-1.32,-0.05,0.05,100
2.95,TAKEOFF,TAKEOFF,1,-35.3630651,149.1652082,0.10,10.49,12.07,0.12,5.60,-6.46,-0.11,3.77,0.07,1.04,11.99,-1.41,-0.22,0.22,100
3.16,TAKEOFF,MANUAL,0,-35.3630427,149.1652048,0.17,11.12,12.68,0.09,6.40,-6.49,-0.15,4.24,0.07,2.26,12.59,-1.49,-0.50,0.50,100
3.36,TAKEOFF,MANUAL,0,-35.3630194,149.1652013,0.31,11.73,13.21,0.06,7.30,-6.52,-0.15,4.69,0.07,3.68,13.12,-1.56,-0.85,0.85,100
3.56,TAKEOFF,MANUAL,0,-35.3629833,149.1651959,0.65,12.46,13.85,0.02,8.80,-6.55,-0.11,5.21,0.05,5.85,13.75,-1.64,-1.42,1.42,100
3.77,TAKEOFF,MANUAL,0,-35.3629585,149.1651921,0.97,12.87,14.17,-0.01,9.89,-6.57,-0.25,5.48,-0.01,7.32,14.07,-1.69,-1.82,1.82,100
3.97,TAKEOFF,TAKEOFF,1,-35.3629333,149.1651883,1.39,13.22,14.43,-0.14,11.02,-6.63,-0.90,5.68,-0.25,8.83,14.32,-1.72,-2.24,2.24,100
4.17,TAKEOFF,MANUAL,0,-35.3629076,149.1651844,1.88,13.58,14.61,-0.39,12.18,-6.72,-1.24,5.84,-0.35,10.28,14.50,-1.75,-2.65,2.65,100
4.38,TAKEOFF,MANUAL,0,-35.3628817,149.1651804,2.45,13.84,14.73,-0.67,13.37,-6.83,-1.32,5.92,-0.36,11.70,14.62,-1.79,-3.05,3.05,100
4.58,TAKEOFF,MANUAL,0,-35.3628556,149.1651764,3.10,14.08,14.80,-0.96,14.57,-6.94,-1.33,5.97,-0.37,13.13,14.68,-1.83,-3.45,3.45,100
4.78,TAKEOFF,MANUAL,0,-35.3628292,149.1651722,3.84,14.22,14.81,-1.26,15.78,-7.05,-1.30,5.97,-0.39,14.51,14.68,-1.87,-3.83,3.83,100
4.99,TAKEOFF,TAKEOFF,1,-35.3628028,149.1651679,4.65,14.35,14.78,-1.55,16.96,-7.18,-1.24,5.92,-0.41,15.87,14.65,-1.92,-4.20,4.20,100
5.19,TAKEOFF,MANUAL,0,-35.3627764,149.1651635,5.53,14.40,14.71,-1.84,18.13,-7.31,-1.18,5.84,-0.46,17.16,14.57,-1.97,-4.54,4.54,100
5.40,TAKEOFF,MANUAL,0,-35.3627502,149.1651590,6.47,14.42,14.60,-2.12,19.27,-7.46,-1.07,5.71,-0.50,18.42,14.45,-2.02,-4.86,4.86,100
5.60,TAKEOFF,MANUAL,0,-35.3627243,149.1651545,7.48,14.46,14.44,-2.38,20.40,-7.62,-0.98,5.55,-0.55,19.63,14.29,-2.07,-5.15,5.15,100
5.81,TAKEOFF,MANUAL,0,-35.3626990,149.1651498,8.54,14.40,14.24,-2.63,21.50,-7.80,-0.88,5.35,-0.59,20.84,14.08,-2.11,-5.42,5.42,100
6.01,TAKEOFF,TAKEOFF,1,-35.3626742,149.1651451,9.66,14.28,14.02,-2.87,22.56,-7.99,-0.78,5.14,-0.64,21.99,13.85,-2.15,-5.66,5.66,100
6.22,TAKEOFF,MANUAL,0,-35.3626498,149.1651403,10.81,14.22,13.77,-3.10,23.57,-8.19,-0.67,4.90,-0.70,23.06,13.59,-2.19,-5.86,5.86,100
6.42,TAKEOFF,MANUAL,0,-35.3626258,149.1651354,12.01,14.09,13.51,-3.36,24.51,-8.42,-0.89,4.61,-0.87,24.10,13.32,-2.23,-6.04,6.04,100
6.63,TAKEOFF,MANUAL,0,-35.3626023,149.1651304,13.22,13.99,13.23,-3.70,25.40,-8.70,-1.37,4.30,-1.13,25.04,13.03,-2.27,-6.18,6.18,100
6.83,TAKEOFF,MANUAL,0,-35.3625792,149.1651253,14.48,13.77,12.96,-4.20,26.20,-9.05,-1.95,3.97,-1.40,25.91,12.74,-2.31,-6.29,6.29,100
7.04,TAKEOFF,TAKEOFF,1,-35.3625564,149.1651201,15.74,13.56,12.69,-4.85,26.92,-9.45,-2.57,3.61,-1.68,26.67,12.46,-2.36,-6.37,6.37,100
7.24,TAKEOFF,MANUAL,0,-35.3625341,149.1651148,17.02,13.40,12.43,-5.66,27.54,-9.92,-3.22,3.23,-1.99,27.33,12.18,-2.43,-6.42,6.42,100
7.44,TAKEOFF,MANUAL,0,-35.3625123,149.1651092,18.30,13.18,12.17,-6.65,28.08,-10.47,-3.87,2.85,-2.31,27.90,11.90,-2.52,-6.44,6.44,100
7.65,TAKEOFF,MANUAL,0,-35.3624911,149.1651035,19.57,12.98,11.92,-7.79,28.53,-11.10,-4.49,2.42,-2.67,28.32,11.62,-2.63,-6.42,6.42,100
7.85,TAKEOFF,MANUAL,0,-35.3624705,149.1650976,20.85,12.78,11.67,-9.11,28.88,-11.83,-5.10,2.03,-3.07,28.68,11.33,-2.76,-6.38,6.38,100
8.06,TAKEOFF,TAKEOFF,1,-35.3624406,149.1650881,22.74,12.36,11.33,-11.35,29.22,-13.08,-5.67,1.45,-3.66,28.93,10.92,-3.00,-6.26,6.26,100
8.26,TAKEOFF,MANUAL,0,-35.3624213,149.1650813,23.97,12.18,11.14,-12.95,29.29,-14.01,-5.84,1.04,-4.06,28.90,10.67,-3.20,-6.15,6.15,100
8.47,TAKEOFF,MANUAL,0,-35.3624024,149.1650740,25.18,11.94,10.98,-14.62,29.25,-15.01,-5.92,0.66,-4.51,28.72,10.42,-3.42,-6.01,6.01,100
8.67,TAKEOFF,MANUAL,0,-35.3623839,149.1650662,26.35,11.84,10.84,-16.34,29.08,-16.09,-5.94,0.31,-5.02,28.35,10.20,-3.67,-5.85,5.85,100
8.87,TAKEOFF,TAKEOFF,1,-35.3623657,149.1650578,27.50,11.65,10.74,-18.09,28.78,-17.26,-5.89,0.01,-5.56,27.83,9.99,-3.95,-5.67,5.67,100
9.08,TAKEOFF,TAKEOFF,1,-35.3623478,149.1650487,28.60,11.45,10.69,-19.86,28.36,-18.50,-5.78,-0.20,-6.14,27.07,9.80,-4.25,-5.46,5.46,100
9.28,TAKEOFF,MANUAL,0,-35.3623301,149.1650388,29.66,11.31,10.67,-21.63,27.83,-19.82,-5.66,-0.34,-6.76,26.17,9.63,-4.58,-5.24,5.24,100
9.49,TAKEOFF,MANUAL,0,-35.3623127,149.1650282,30.67,11.20,10.69,-23.42,27.19,-21.24,-5.50,-0.41,-7.41,25.08,9.48,-4.93,-5.00,5.00,100
9.69,TAKEOFF,MANUAL,0,-35.3622956,149.1650168,31.63,11.15,10.74,-25.19,26.45,-22.76,-5.33,-0.43,-8.06,23.86,9.34,-5.30,-4.75,4.75,100
9.90,TAKEOFF,TAKEOFF,1,-35.3622788,149.1650047,32.54,11.03,10.82,-26.96,25.63,-24.40,-5.14,-0.36,-8.73,22.51,9.19,-5.69,-4.48,4.48,100
10.10,TAKEOFF,TAKEOFF,1,-35.3622624,149.1649917,33.40,11.00,10.92,-28.71,24.73,-26.16,-4.96,-0.23,-9.38,21.09,9.05,-6.10,-4.21,4.21,100
10.30,TAKEOFF,MANUAL,0,-35.3622463,149.1649779,34.20,10.96,11.06,-30.42,23.74,-28.01,-4.64,-0.04,-9.98,19.58,8.91,-6.53,-3.93,3.93,100
10.51,TAKEOFF,MANUAL,0,-35.3622304,149.1649631,34.95,10.98,11.22,-32.05,22.69,-29.93,-4.16,0.23,-10.47,18.03,8.77,-6.99,-3.65,3.65,100
10.71,TAKEOFF,MANUAL,0,-35.3622148,149.1649472,35.63,11.02,11.42,-33.56,21.60,-31.92,-3.60,0.54,-10.89,16.40,8.63,-7.47,-3.36,3.36,100
10.92,TAKEOFF,TAKEOFF,1,-35.3621994,149.1649303,36.27,11.12,11.64,-34.96,20.46,-33.97,-3.03,0.87,-11.26,14.78,8.48,-7.97,-3.07,3.07,100
11.12,TAKEOFF,MANUAL,0,-35.3621842,149.1649119,36.85,11.23,11.90,-36.22,19.29,-36.07,-2.48,1.27,-11.56,13.20,8.32,-8.50,-2.79,2.79,100
11.32,TAKEOFF,MANUAL,0,-35.3621692,149.1648924,37.37,11.41,12.18,-37.35,18.12,-38.21,-1.94,1.71,-11.78,11.65,8.16,-9.04,-2.51,2.51,100
11.53,TAKEOFF,MANUAL,0,-35.3621545,149.1648717,37.83,11.56,12.49,-38.36,16.96,-40.40,-1.45,2.15,-11.93,10.13,7.97,-9.60,-2.23,2.23,100
11.73,TAKEOFF,MANUAL,0,-35.3621402,149.1648496,38.24,11.82,12.81,-39.24,15.82,-42.64,-0.99,2.60,-12.00,8.75,7.77,-10.17,-1.97,1.97,100
11.94,TAKEOFF,TAKEOFF,1,-35.3621264,149.1648266,38.59,12.00,13.13,-39.99,14.73,-44.93,-0.57,3.05,-11.99,7.47,7.53,-10.75,-1.72,1.72,100
12.14,TAKEOFF,MANUAL,0,-35.3621132,149.1648024,38.90,12.34,13.45,-40.63,13.68,-47.27,-0.17,3.49,-11.91,6.28,7.26,-11.32,-1.48,1.48,100
12.35,TAKEOFF,MANUAL,0,-35.3621005,149.1647769,39.16,12.56,13.79,-41.15,12.70,-49.63,0.23,3.91,-11.76,5.23,6.96,-11.89,-1.26,1.26,100
12.55,TAKEOFF,MANUAL,0,-35.3620884,149.1647502,39.38,12.91,14.13,-41.55,11.78,-52.00,0.64,4.31,-11.55,4.25,6.62,-12.47,-1.05,1.05,100
12.76,TAKEOFF,MANUAL,0,-35.3620769,149.1647222,39.56,13.17,14.47,-41.84,10.93,-54.36,1.09,4.67,-11.29,3.44,6.26,-13.04,-0.87,0.87,100
12.96,TAKEOFF,TAKEOFF,1,-35.3620609,149.1646778,39.78,13.67,14.99,-42.03,9.82,-57.90,1.84,5.15,-10.78,2.41,5.65,-13.88,-0.63,0.63,100
13.17,TAKEOFF,MANUAL,0,-35.3620511,149.1646465,39.89,13.96,15.34,-41.99,9.18,-60.22,2.44,5.40,-10.39,1.87,5.20,-14.43,-0.50,0.50,100
13.37,TAKEOFF,MANUAL,0,-35.3620422,149.1646139,39.98,14.31,15.70,-41.79,8.63,-62.50,3.14,5.62,-9.95,1.46,4.73,-14.97,-0.40,0.40,100
13.57,TAKEOFF,MANUAL,0,-35.3620341,149.1645800,40.05,14.70,16.06,-41.43,8.17,-64.73,3.94,5.76,-9.46,1.18,4.23,-15.49,-0.33,0.33,100
13.78,TAKEOFF,MANUAL,0,-35.3620269,149.1645451,40.11,14.96,16.40,-40.87,7.82,-66.90,4.70,5.84,-8.99,1.01,3.70,-15.97,-0.29,0.29,100
13.98,TAKEOFF,TAKEOFF,1,-35.3620208,149.1645094,40.16,15.24,16.71,-40.17,7.56,-69.04,4.95,5.87,-8.75,0.96,3.16,-16.40,-0.28,0.28,100
14.18,TAKEOFF,MANUAL,0,-35.3620157,149.1644730,40.21,15.53,16.99,-39.44,7.36,-71.15,5.00,5.86,-8.57,1.05,2.60,-16.79,-0.31,0.31,100
14.39,TAKEOFF,MANUAL,0,-35.3620115,149.1644358,40.27,15.87,17.26,-38.69,7.21,-73.23,4.96,5.87,-8.37,1.23,2.05,-17.14,-0.37,0.37,100
14.59,TAKEOFF,MANUAL,0,-35.3620084,149.1643978,40.36,16.14,17.52,-37.96,7.11,-75.27,4.86,5.82,-8.15,1.50,1.49,-17.45,-0.46,0.46,100
14.80,TAKEOFF,MANUAL,0,-35.3620062,149.1643593,40.46,16.38,17.75,-37.24,7.05,-77.28,4.73,5.77,-7.92,1.81,0.93,-17.72,-0.56,0.56,100
15.00,TAKEOFF,MANUAL,0,-35.3620050,149.1643201,40.58,16.64,17.97,-36.55,7.03,-79.24,4.59,5.73,-7.69,2.14,0.38,-17.96,-0.67,0.67,100
15.21,TAKEOFF,MANUAL,0,-35.3620048,149.1642800,40.73,16.82,18.19,-35.88,7.04,-81.16,4.45,5.68,-7.44,2.52,-0.17,-18.18,-0.80,0.80,100
15.42,TAKEOFF,MANUAL,0,-35.3620057,149.1642394,40.90,17.10,18.40,-35.25,7.08,-83.03,4.32,5.62,-7.20,2.89,-0.73,-18.38,-0.93,0.93,100
15.62,TAKEOFF,MANUAL,0,-35.3620074,149.1641983,41.11,17.24,18.59,-34.64,7.15,-84.85,4.20,5.57,-6.97,3.33,-1.29,-18.54,-1.08,1.08,100
15.82,TAKEOFF,MANUAL,0,-35.3620102,149.1641568,41.34,17.41,18.77,-34.04,7.26,-86.62,4.11,5.50,-6.76,3.72,-1.84,-18.68,-1.22,1.22,100
16.03,TAKEOFF,MANUAL,0,-35.3620139,149.1641153,41.61,17.60,18.92,-33.45,7.41,-88.36,4.05,5.43,-6.54,4.17,-2.38,-18.77,-1.38,1.38,100
16.23,TAKEOFF,MANUAL,0,-35.3620186,149.1640740,41.91,17.72,19.04,-32.85,7.62,-90.05,4.01,5.37,-6.34,4.60,-2.91,-18.81,-1.53,1.53,100
16.44,TAKEOFF,MANUAL,0,-35.3620242,149.1640328,42.24,17.85,19.14,-32.24,7.85,-91.70,4.00,5.30,-6.15,5.08,-3.43,-18.82,-1.70,1.70,100
16.64,TAKEOFF,MANUAL,0,-35.3620308,149.1639916,42.60,18.02,19.21,-31.64,8.11,-93.31,4.00,5.22,-5.97,5.53,-3.94,-18.80,-1.86,1.86,100
16.85,TAKEOFF,MANUAL,0,-35.3620382,149.1639505,42.99,18.09,19.27,-31.05,8.38,-94.88,4.03,5.13,-5.80,6.02,-4.43,-18.74,-2.03,2.03,100
17.06,TAKEOFF,MANUAL,0,-35.3620464,149.1639095,43.42,18.20,19.31,-30.45,8.67,-96.41,4.06,5.06,-5.64,6.47,-4.91,-18.67,-2.19,2.19,100
17.26,TAKEOFF,MANUAL,0,-35.3620556,149.1638683,43.89,18.30,19.35,-29.85,8.96,-97.91,4.12,4.95,-5.48,6.96,-5.38,-18.58,-2.36,2.36,100
17.47,TAKEOFF,MANUAL,0,-35.3620711,149.1638067,44.65,18.36,19.39,-28.94,9.40,-100.07,4.24,4.81,-5.26,7.70,-6.05,-18.42,-2.62,2.62,100
17.67,TAKEOFF,MANUAL,0,-35.3620824,149.1637658,45.20,18.43,19.41,-28.32,9.70,-101.46,4.34,4.71,-5.11,8.18,-6.48,-18.29,-2.79,2.79,100
17.87,TAKEOFF,TAKEOFF,1,-35.3620944,149.1637253,45.79,18.41,19.41,-27.68,10.03,-102.82,4.44,4.60,-4.97,8.67,-6.89,-18.14,-2.96,2.96,100
18.08,TAKEOFF,MANUAL,0,-35.3621071,149.1636854,46.41,18.44,19.37,-27.00,10.37,-104.14,4.55,4.47,-4.83,9.18,-7.27,-17.95,-3.13,3.13,100
18.28,TAKEOFF,MANUAL,0,-35.3621203,149.1636463,47.05,18.46,19.32,-26.29,10.74,-105.42,4.68,4.36,-4.69,9.70,-7.62,-17.74,-3.30,3.30,100
19.09,CLIMB,GUIDED,1,-35.3621785,149.1634957,49.96,18.10,18.57,-23.26,12.91,-110.50,5.36,4.63,-4.23,11.63,-8.67,-16.41,-3.82,3.82,88
19.29,CLIMB,MANUAL,0,-35.3621942,149.1634600,50.74,17.90,18.19,-22.41,13.39,-111.66,5.60,4.21,-4.16,12.01,-8.81,-15.91,-3.87,3.87,84
19.50,CLIMB,MANUAL,0,-35.3622101,149.1634253,51.52,17.58,17.77,-21.52,13.80,-112.76,5.83,3.74,-4.13,12.26,-8.90,-15.38,-3.86,3.86,79
19.70,CLIMB,MANUAL,0,-35.3622262,149.1633917,52.30,17.17,17.31,-20.59,14.12,-113.82,6.00,3.23,-4.13,12.42,-8.94,-14.81,-3.81,3.81,75
19.91,CLIMB,GUIDED,1,-35.3622424,149.1633594,53.05,16.78,16.81,-19.62,14.37,-114.83,6.17,2.69,-4.15,12.45,-8.94,-14.23,-3.71,3.71,71
20.11,CLIMB,GUIDED,1,-35.3622585,149.1633284,53.78,16.26,16.28,-18.61,14.53,-115.81,6.35,2.14,-4.16,12.34,-8.90,-13.63,-3.56,3.56,67
20.31,CLIMB,MANUAL,0,-35.3622744,149.1632989,54.48,15.75,15.73,-17.55,14.62,-116.76,6.49,1.57,-4.19,12.10,-8.81,-13.02,-3.37,3.37,63
20.52,CLIMB,MANUAL,0,-35.3622899,149.1632710,55.13,15.20,15.16,-16.46,14.60,-117.68,6.61,0.88,-4.24,11.75,-8.69,-12.41,-3.15,3.15,59
20.72,CLIMB,MANUAL,0,-35.3623053,149.1632444,55.73,14.70,14.58,-15.33,14.47,-118.57,6.73,0.18,-4.26,11.21,-8.53,-11.82,-2.89,2.89,56
20.93,CLIMB,GUIDED,1,-35.3623203,149.1632191,56.28,14.16,14.02,-14.17,14.22,-119.43,6.81,-0.48,-4.27,10.51,-8.36,-11.24,-2.60,2.60,52
21.13,CLIMB,GUIDED,1,-35.3623350,149.1631950,56.77,13.57,13.47,-12.99,13.85,-120.27,6.84,-1.12,-4.28,9.65,-8.17,-10.70,-2.29,2.29,48
21.34,CLIMB,MANUAL,0,-35.3623493,149.1631720,57.20,13.01,12.95,-11.81,13.38,-121.08,6.83,-1.73,-4.27,8.61,-7.97,-10.20,-1.96,1.96,46
21.54,CLIMB,MANUAL,0,-35.3623636,149.1631498,57.56,12.53,12.48,-10.62,12.80,-121.87,6.77,-2.25,-4.22,7.54,-7.79,-9.74,-1.65,1.65,45
21.75,CLIMB,MANUAL,0,-35.3623775,149.1631285,57.86,12.03,12.06,-9.44,12.15,-122.64,6.64,-2.66,-4.13,6.39,-7.61,-9.35,-1.35,1.35,46
21.95,CLIMB,GUIDED,1,-35.3623911,149.1631080,58.09,11.61,11.70,-8.28,11.44,-123.38,6.44,-2.98,-4.00,5.13,-7.45,-9.01,-1.05,1.05,47
22.16,CLIMB,GUIDED,1,-35.3624045,149.1630882,58.27,11.18,11.38,-7.16,10.70,-124.09,6.17,-3.20,-3.82,3.92,-7.30,-8.72,-0.78,0.78,48
22.36,CLIMB,MANUAL,0,-35.3624175,149.1630691,58.40,10.83,11.11,-6.09,9.96,-124.77,5.81,-3.29,-3.59,2.73,-7.16,-8.49,-0.53,0.53,50
22.57,CLIMB,MANUAL,0,-35.3624365,149.1630414,58.51,10.45,10.81,-4.59,8.89,-125.72,5.13,-3.14,-3.16,1.06,-6.98,-8.24,-0.20,0.20,54
22.77,CLIMB,MANUAL,0,-35.3624489,149.1630233,58.53,10.28,10.69,-3.71,8.25,-126.29,4.61,-2.80,-2.83,0.16,-6.91,-8.15,-0.03,0.03,58
22.97,CLIMB,GUIDED,1,-35.3624612,149.1630053,58.53,10.18,10.64,-2.92,7.70,-126.80,4.04,-2.45,-2.46,-0.43,-6.86,-8.12,0.08,-0.08,62
23.18,CLIMB,GUIDED,1,-35.3624736,149.1629874,58.50,10.18,10.67,-2.23,7.19,-127.25,3.43,-2.28,-2.10,-0.81,-6.86,-8.15,0.15,-0.15,67
23.38,CLIMB,MANUAL,0,-35.3624860,149.1629692,58.47,10.11,10.78,-1.66,6.74,-127.63,2.80,-1.99,-1.75,-0.85,-6.92,-8.26,0.16,-0.16,72
23.59,CLIMB,MANUAL,0,-35.3624987,149.1629505,58.44,10.26,11.00,-1.21,6.37,-127.95,2.18,-1.51,-1.43,-0.57,-7.03,-8.45,0.11,-0.11,78
23.79,CLIMB,MANUAL,0,-35.3625117,149.1629312,58.43,10.44,11.33,-0.87,6.10,-128.23,1.60,-0.88,-1.13,-0.00,-7.21,-8.73,0.00,-0.00,84
24.00,CLIMB,GUIDED,1,-35.3625251,149.1629112,58.45,10.72,11.76,-0.64,5.97,-128.45,1.07,-0.12,-0.89,0.83,-7.46,-9.08,-0.17,0.17,90
24.20,CLIMB,MANUAL,0,-35.3625390,149.1628905,58.50,11.03,12.27,-0.50,6.01,-128.63,0.60,0.71,-0.68,1.82,-7.76,-9.49,-0.39,0.39,95
24.41,CLIMB,MANUAL,0,-35.3625534,149.1628689,58.61,11.52,12.82,-0.44,6.23,-128.76,0.27,1.56,-0.52,2.99,-8.10,-9.93,-0.67,0.67,100
24.61,CLIMB,MANUAL,0,-35.3625683,149.1628465,58.78,12.05,13.34,-0.38,6.61,-128.85,0.61,2.26,-0.20,4.08,-8.42,-10.34,-0.95,0.95,100
24.81,CLIMB,MANUAL,0,-35.3625838,149.1628232,59.00,12.49,13.82,-0.17,7.11,-128.85,1.50,2.75,0.25,5.09,-8.72,-10.71,-1.23,1.23,100
25.02,CLIMB,GUIDED,1,-35.3625998,149.1627992,59.28,12.89,14.24,0.25,7.69,-128.77,2.53,3.15,0.68,6.10,-8.98,-11.04,-1.52,1.52,100
25.22,CLIMB,MANUAL,0,-35.3626163,149.1627745,59.62,13.31,14.60,0.89,8.35,-128.60,3.57,3.47,1.04,7.11,-9.19,-11.34,-1.82,1.82,100
25.42,CLIMB,GUIDED,1,-35.3627672,149.1625268,65.40,15.30,15.88,12.35,15.22,-123.86,6.30,4.35,3.29,15.49,-8.57,-13.36,-4.40,4.40,100
25.63,CLIMB,GUIDED,1,-35.3627822,149.1624974,66.31,15.35,15.84,13.84,15.91,-122.95,6.25,4.31,3.60,16.20,-8.24,-13.52,-4.60,4.60,100
25.83,CLIMB,MANUAL,0,-35.3627966,149.1624677,67.25,15.38,15.78,15.36,16.56,-121.96,6.18,4.29,3.92,16.83,-7.88,-13.66,-4.77,4.77,100
26.03,CLIMB,MANUAL,0,-35.3628105,149.1624374,68.23,15.44,15.69,16.89,17.15,-120.89,6.05,4.15,4.24,17.31,-7.48,-13.79,-4.89,4.89,97
26.24,CLIMB,MANUAL,0,-35.3628236,149.1624068,69.22,15.31,15.53,18.42,17.63,-119.76,5.83,3.83,4.57,17.55,-7.04,-13.84,-4.91,4.91,91
26.44,CLIMB,GUIDED,1,-35.3628359,149.1623762,70.21,15.11,15.29,19.91,17.98,-118.58,5.50,3.38,4.92,17.53,-6.54,-13.82,-4.83,4.83,86
26.65,CLIMB,GUIDED,1,-35.3628473,149.1623457,71.17,14.94,15.00,21.36,18.20,-117.33,5.15,2.94,5.32,17.33,-6.01,-13.74,-4.68,4.68,83
26.85,CLIMB,MANUAL,0,-35.3628576,149.1623155,72.10,14.68,14.69,22.75,18.29,-116.03,4.78,2.57,5.77,16.97,-5.46,-13.63,-4.48,4.48,81
27.06,CLIMB,MANUAL,0,-35.3628669,149.1622858,72.97,14.40,14.37,24.07,18.26,-114.66,4.18,2.22,6.19,16.42,-4.91,-13.49,-4.23,4.23,79
27.26,CLIMB,MANUAL,0,-35.3628752,149.1622566,73.80,14.02,14.05,25.25,18.11,-113.24,3.43,1.85,6.59,15.67,-4.35,-13.35,-3.94,3.94,78
27.47,CLIMB,GUIDED,1,-35.3628824,149.1622277,74.56,13.62,13.75,26.28,17.83,-111.79,2.63,1.45,7.02,14.80,-3.81,-13.20,-3.63,3.63,77
27.67,CLIMB,GUIDED,1,-35.3628888,149.1621991,75.26,13.31,13.48,27.16,17.41,-110.30,1.84,1.12,7.47,13.84,-3.27,-13.07,-3.32,3.32,77
27.87,CLIMB,MANUAL,0,-35.3628941,149.1621707,75.89,13.09,13.26,27.88,16.88,-108.76,1.09,0.88,7.93,12.75,-2.76,-12.97,-3.00,3.00,77
28.08,CLIMB,MANUAL,0,-35.3628986,149.1621425,76.46,12.79,13.09,28.47,16.25,-107.17,0.40,0.73,8.38,11.58,-2.26,-12.88,-2.68,2.68,78
28.28,CLIMB,MANUAL,0,-35.3629023,149.1621142,76.97,12.54,12.96,28.92,15.54,-105.52,-0.21,0.65,8.79,10.41,-1.78,-12.83,-2.38,2.38,79
28.49,CLIMB,GUIDED,1,-35.3629052,149.1620858,77.41,12.37,12.90,29.27,14.77,-103.83,-0.71,0.69,9.17,9.25,-1.32,-12.83,-2.10,2.10,80
28.69,CLIMB,MANUAL,0,-35.3629079,149.1620431,77.98,12.23,12.90,29.62,13.58,-101.18,-1.18,0.99,9.63,7.68,-0.64,-12.88,-1.74,1.74,83
28.89,CLIMB,MANUAL,0,-35.3629087,149.1620144,78.31,12.16,12.97,29.79,12.80,-99.33,-1.31,1.33,9.86,6.73,-0.20,-12.97,-1.53,1.53,84
29.10,CLIMB,MANUAL,0,-35.3629087,149.1619858,78.60,12.19,13.08,29.94,12.09,-97.40,-1.28,1.80,10.01,5.94,0.23,-13.08,-1.36,1.36,86
29.30,CLIMB,GUIDED,1,-35.3629081,149.1619570,78.86,12.30,13.24,30.09,11.45,-95.39,-1.10,2.39,10.12,5.31,0.68,-13.21,-1.23,1.23,88
29.51,CLIMB,GUIDED,1,-35.3629065,149.1619279,79.10,12.43,13.43,30.29,10.88,-93.32,-0.77,2.73,10.15,4.85,1.14,-13.38,-1.14,1.14,90
29.71,CLIMB,MANUAL,0,-35.3629041,149.1618984,79.32,12.56,13.67,30.56,10.36,-91.23,-0.33,3.09,10.14,4.56,1.62,-13.57,-1.09,1.09,93
29.92,CLIMB,MANUAL,0,-35.3629009,149.1618684,79.54,12.85,13.97,30.91,9.90,-89.11,0.24,3.55,10.09,4.46,2.13,-13.80,-1.09,1.09,96
30.12,CLIMB,MANUAL,0,-35.3628966,149.1618378,79.76,13.10,14.33,31.38,9.51,-86.96,0.91,4.08,10.01,4.47,2.68,-14.08,-1.12,1.12,99
30.33,CLIMB,GUIDED,1,-35.3628913,149.1618062,79.99,13.40,14.73,32.00,9.20,-84.78,1.60,4.56,9.89,4.50,3.25,-14.36,-1.16,1.16,100
30.53,CLIMB,GUIDED,1,-35.3628850,149.1617739,80.23,13.70,15.11,32.75,8.94,-82.61,2.26,4.94,9.77,4.51,3.85,-14.60,-1.19,1.19,100
30.74,CLIMB,MANUAL,0,-35.3628775,149.1617412,80.47,14.07,15.48,33.61,8.72,-80.42,2.82,5.29,9.69,4.51,4.49,-14.81,-1.22,1.22,100
30.95,CLIMB,MANUAL,0,-35.3628688,149.1617080,80.72,14.42,15.84,34.56,8.53,-78.21,3.28,5.62,9.60,4.48,5.15,-14.98,-1.24,1.24,100
31.15,CLIMB,MANUAL,0,-35.3628590,149.1616749,80.97,14.78,16.18,35.58,8.38,-75.95,3.65,5.93,9.54,4.42,5.83,-15.08,-1.25,1.25,100
