time_s,phase,mode,armed,lat,lon,alt_agl_m,airspeed,groundspeed,roll_deg,pitch_deg,yaw_deg,p_dps,q_dps,r_dps,gamma_deg,vN,vE,vD,climb_mps,throttle_pct,navroll_deg,navpitch_deg,ail_out,elev_out,rud_out,aoa_deg,ssa_deg
51.01,TAKEOFF,TAKEOFF,1,28.5604154,77.1157314,30.49,11.35,11.73,-31.28,8.49,-87.61,-5.71,11.19,-18.42,9.63,0.82,-11.70,-1.99,1.99,90,-8.77,10.24,1100,1515,1100,0.05,2.44
51.22,TAKEOFF,TAKEOFF,1,28.5604159,77.1157075,30.90,11.45,11.77,-33.14,8.43,-92.10,-6.17,11.79,-19.44,9.60,-0.14,-11.76,-1.99,1.99,90,-8.89,9.97,1100,1511,1100,-0.07,2.26
51.42,TAKEOFF,TAKEOFF,1,28.5604148,77.1156835,31.30,11.56,11.81,-35.12,8.20,-96.84,-6.70,12.46,-20.54,9.42,-1.17,-11.75,-1.96,1.96,90,-9.08,9.68,1100,1507,1100,-0.23,2.02
51.63,TAKEOFF,TAKEOFF,1,28.5604117,77.1156598,31.69,11.58,11.86,-37.22,7.79,-101.82,-7.27,13.21,-21.67,9.06,-2.25,-11.64,-1.89,1.89,90,-9.26,9.36,1100,1501,1100,-0.35,1.86
51.83,TAKEOFF,TAKEOFF,1,28.5604066,77.1156363,32.07,11.61,11.94,-39.42,7.18,-107.06,-7.86,14.06,-22.81,8.48,-3.37,-11.45,-1.78,1.78,90,-9.35,8.98,1100,1495,1100,-0.48,1.71
52.04,TAKEOFF,TAKEOFF,1,28.5603994,77.1156134,32.41,11.62,12.04,-41.71,6.35,-112.56,-8.43,15.08,-23.95,7.66,-4.54,-11.15,-1.62,1.62,90,-9.49,8.58,1100,1487,1100,-0.66,1.52
52.24,TAKEOFF,TAKEOFF,1,28.5603900,77.1155909,32.72,11.69,12.18,-44.07,5.31,-118.35,-9.00,16.27,-25.06,6.65,-5.75,-10.73,-1.42,1.42,90,-9.65,8.16,1100,1477,1100,-0.79,1.39
52.45,TAKEOFF,TAKEOFF,1,28.5603784,77.1155694,32.99,11.91,12.36,-46.43,4.04,-124.40,-9.54,17.62,-26.11,5.41,-6.99,-10.18,-1.17,1.17,90,-9.82,7.73,1100,1468,1100,-0.91,1.28
52.65,TAKEOFF,TAKEOFF,1,28.5603645,77.1155491,33.19,12.02,12.57,-48.78,2.56,-130.71,-10.03,18.96,-27.06,3.96,-8.24,-9.49,-0.87,0.87,90,-9.93,7.28,1100,1459,1100,-1.08,1.20
52.86,TAKEOFF,TAKEOFF,1,28.5603484,77.1155304,33.34,12.16,12.82,-51.04,0.88,-137.28,-10.45,20.39,-27.84,2.37,-9.48,-8.62,-0.53,0.53,90,-9.97,6.82,1100,1450,1100,-1.21,1.19
53.06,TAKEOFF,TAKEOFF,1,28.5603301,77.1155137,33.41,12.44,13.10,-53.17,-0.97,-144.09,-10.76,21.92,-28.40,0.61,-10.68,-7.57,-0.14,0.14,90,-10.00,6.38,1100,1441,1100,-1.32,1.22
53.27,TAKEOFF,TAKEOFF,1,28.5603099,77.1154996,33.40,12.63,13.39,-55.10,-2.93,-151.13,-10.96,23.41,-28.68,-1.16,-11.79,-6.33,0.27,-0.27,90,-10.00,5.97,1100,1434,1100,-1.44,1.35
53.47,TAKEOFF,TAKEOFF,1,28.5602879,77.1154882,33.30,12.88,13.70,-56.80,-4.97,-158.38,-11.00,24.86,-28.67,-3.05,-12.79,-4.90,0.73,-0.73,90,-10.01,5.62,1100,1426,1100,-1.51,1.47
53.67,TAKEOFF,TAKEOFF,1,28.5602642,77.1154799,33.11,13.20,14.04,-58.20,-7.01,-165.81,-10.89,26.30,-28.34,-4.93,-13.65,-3.27,1.21,-1.21,90,-10.02,5.33,1100,1420,1100,-1.57,1.61
53.88,TAKEOFF,TAKEOFF,1,28.5602392,77.1154752,32.82,13.60,14.39,-59.29,-8.99,-173.41,-10.61,27.50,-27.74,-6.74,-14.31,-1.47,1.70,-1.70,90,-9.87,5.07,1100,1421,1100,-1.64,1.81
54.08,TAKEOFF,TAKEOFF,1,28.5602132,77.1154742,32.44,13.97,14.76,-60.04,-10.88,178.90,-10.22,28.22,-26.89,-8.45,-14.74,0.47,2.19,-2.19,90,-9.70,4.88,1100,1421,1100,-1.72,1.96
54.29,TAKEOFF,TAKEOFF,1,28.5601865,77.1154774,31.96,14.42,15.13,-60.45,-12.62,171.12,-9.70,28.91,-25.86,-9.97,-14.92,2.53,2.66,-2.66,90,-9.49,4.76,1100,1421,1100,-1.81,2.11
54.49,TAKEOFF,TAKEOFF,1,28.5601597,77.1154848,31.39,14.89,15.52,-60.52,-14.13,163.33,-9.10,29.60,-24.72,-11.34,-14.80,4.65,3.11,-3.11,90,-9.34,4.71,1100,1420,1100,-1.90,2.28
54.70,TAKEOFF,TAKEOFF,1,28.5601204,77.1155043,30.37,15.57,16.13,-60.05,-15.87,151.53,-8.10,30.60,-22.96,-12.86,-14.08,7.86,3.68,-3.68,90,-8.84,4.71,1100,1418,1100,-1.94,2.47
54.90,TAKEOFF,TAKEOFF,1,28.5600956,77.1155228,29.61,16.00,16.53,-59.39,-16.62,143.62,-7.42,31.23,-21.81,-13.51,-13.20,9.94,3.97,-3.97,90,-8.60,4.79,1100,1415,1100,-1.91,2.57
55.11,TAKEOFF,TAKEOFF,1,28.5600729,77.1155452,28.80,16.37,16.92,-58.49,-17.00,135.67,-6.76,31.81,-20.73,-13.79,-12.01,11.91,4.15,-4.15,90,0.13,3.25,1100,1412,1100,-1.83,2.67
55.31,TAKEOFF,TAKEOFF,1,28.5600527,77.1155714,27.96,16.79,17.28,-57.44,-17.00,127.74,-6.14,32.32,-19.72,-13.75,-10.52,13.71,4.23,-4.23,90,0.97,3.29,1100,1409,1100,-1.68,2.77
55.52,TAKEOFF,TAKEOFF,1,28.5600355,77.1156010,27.13,17.14,17.63,-56.31,-16.63,119.83,-5.58,32.80,-18.83,-13.38,-8.75,15.29,4.19,-4.19,90,2.40,3.23,1100,1406,1100,-1.56,2.84
55.72,TAKEOFF,TAKEOFF,1,28.5600217,77.1156336,26.31,17.53,17.94,-55.16,-15.95,112.00,-5.07,32.96,-18.04,-12.70,-6.76,16.61,4.04,-4.04,90,4.27,3.10,1100,1406,1100,-1.45,2.90
55.93,TAKEOFF,TAKEOFF,1,28.5600116,77.1156685,25.54,17.82,18.22,-54.07,-15.00,104.31,-4.64,32.88,-17.37,-11.75,-4.58,17.63,3.79,-3.79,90,6.43,2.91,1100,1407,1100,-1.36,2.95
56.13,TAKEOFF,TAKEOFF,1,28.5600055,77.1157052,24.84,18.07,18.45,-53.07,-13.84,96.77,-4.29,32.75,-16.82,-10.56,-2.28,18.31,3.44,-3.44,90,6.98,2.99,1100,1407,1100,-1.32,2.99
56.34,TAKEOFF,TAKEOFF,1,28.5600035,77.1157430,24.20,18.25,18.63,-52.20,-12.49,89.34,-4.00,32.61,-16.39,-9.21,0.07,18.63,3.02,-3.02,90,6.82,3.17,1101,1408,1100,-1.28,3.01
56.54,TAKEOFF,TAKEOFF,1,28.5600058,77.1157814,23.66,18.38,18.77,-51.51,-11.02,82.07,-3.88,32.44,-16.07,-7.74,2.43,18.60,2.55,-2.55,90,6.55,3.36,1104,1409,1100,-1.26,3.03
56.75,TAKEOFF,TAKEOFF,1,28.5600124,77.1158195,23.21,18.43,18.85,-51.02,-9.48,74.92,-3.88,32.17,-15.85,-6.18,4.75,18.23,2.04,-2.04,90,6.31,3.49,1106,1411,1100,-1.26,3.02
56.95,TAKEOFF,TAKEOFF,1,28.5600231,77.1158564,22.87,18.49,18.86,-50.74,-7.90,67.88,-3.89,31.86,-15.76,-4.61,6.97,17.52,1.52,-1.52,90,6.23,3.56,1107,1413,1100,-1.27,3.01
57.16,TAKEOFF,TAKEOFF,1,28.5600376,77.1158916,22.64,18.44,18.82,-50.67,-6.33,60.92,-3.92,31.52,-15.81,-3.04,9.03,16.50,1.00,-1.00,90,6.08,3.60,1107,1416,1100,-1.29,2.99
57.36,TAKEOFF,TAKEOFF,1,28.5600555,77.1159241,22.50,18.37,18.70,-50.78,-4.82,54.03,-3.99,31.15,-15.99,-1.53,10.89,15.19,0.50,-0.50,90,6.01,3.59,1106,1418,1100,-1.31,2.98
57.56,TAKEOFF,TAKEOFF,1,28.5600764,77.1159536,22.47,18.24,18.53,-51.08,-3.41,47.17,-4.07,30.80,-16.27,-0.12,12.53,13.64,0.04,-0.04,90,6.05,3.53,1104,1421,1100,-1.32,2.97
57.77,TAKEOFF,TAKEOFF,1,28.5601000,77.1159796,22.52,18.06,18.32,-51.57,-2.14,40.33,-4.15,30.45,-16.64,1.13,13.92,11.89,-0.36,0.36,90,6.04,3.44,1101,1424,1100,-1.36,2.96
57.97,TAKEOFF,TAKEOFF,1,28.5601258,77.1160019,22.66,17.87,18.08,-52.21,-1.05,33.49,-4.24,30.11,-17.11,2.25,15.07,9.99,-0.71,0.71,90,6.09,3.31,1100,1426,1100,-1.40,2.95
58.18,TAKEOFF,TAKEOFF,1,28.5601535,77.1160202,22.84,17.70,17.84,-53.01,-0.16,26.63,-4.47,29.84,-17.63,3.15,15.96,7.96,-0.98,0.98,90,6.10,3.16,1100,1429,1100,-1.46,2.92
58.38,TAKEOFF,TAKEOFF,1,28.5601826,77.1160344,23.08,17.50,17.60,-53.95,0.50,19.73,-4.77,29.61,-18.18,3.77,16.59,5.86,-1.16,1.16,90,6.24,2.96,1100,1431,1100,-1.53,2.88
58.59,TAKEOFF,TAKEOFF,1,28.5602131,77.1160443,23.34,17.30,17.38,-55.04,0.90,12.76,-5.09,29.45,-18.79,4.18,16.98,3.69,-1.27,1.27,90,6.29,2.76,1100,1432,1100,-1.61,2.82
58.79,TAKEOFF,TAKEOFF,1,28.5602440,77.1160497,23.60,17.10,17.19,-56.22,1.05,5.76,-5.45,29.36,-19.44,4.29,17.12,1.51,-1.29,1.29,90,6.39,2.53,1100,1433,1100,-1.69,2.76
58.99,TAKEOFF,TAKEOFF,1,28.5602904,77.1160495,23.98,16.84,16.96,-58.13,0.76,-4.88,-6.00,29.38,-20.48,3.91,16.87,-1.74,-1.16,1.16,90,6.54,2.19,1100,1434,1100,-1.80,2.66
59.20,TAKEOFF,TAKEOFF,1,28.5603205,77.1160438,24.21,16.64,16.85,-59.44,0.24,-12.07,-6.37,29.63,-21.15,3.36,16.39,-3.86,-0.99,0.99,90,-6.53,4.36,1100,1429,1100,-1.87,2.60
59.41,TAKEOFF,TAKEOFF,1,28.5603493,77.1160340,24.39,16.52,16.76,-60.73,-0.49,-19.41,-6.71,30.18,-21.78,2.56,15.67,-5.92,-0.75,0.75,90,-6.64,4.12,1100,1429,1100,-1.85,2.58
59.61,TAKEOFF,TAKEOFF,1,28.5603764,77.1160201,24.52,16.37,16.70,-61.97,-1.45,-26.84,-7.02,30.42,-22.33,1.58,14.70,-7.90,-0.46,0.46,90,-6.78,3.91,1100,1427,1100,-1.86,2.57
59.82,TAKEOFF,TAKEOFF,1,28.5604017,77.1160023,24.59,16.33,16.68,-63.13,-2.63,-34.36,-7.29,30.76,-22.78,0.38,13.51,-9.77,-0.11,0.11,90,-6.71,3.67,1100,1425,1100,-1.88,2.58
60.02,TAKEOFF,TAKEOFF,1,28.5604246,77.1159808,24.57,16.33,16.69,-64.17,-3.99,-41.95,-7.50,31.17,-23.11,-0.96,12.09,-11.50,0.28,-0.28,90,-6.81,3.49,1100,1423,1100,-1.90,2.60
60.22,TAKEOFF,TAKEOFF,1,28.5604449,77.1159558,24.48,16.30,16.75,-65.04,-5.49,-49.63,-7.62,31.61,-23.29,-2.43,10.46,-13.07,0.71,-0.71,90,-6.71,3.30,1100,1422,1100,-1.92,2.62
60.43,TAKEOFF,TAKEOFF,1,28.5604620,77.1159279,24.29,16.34,16.83,-65.72,-7.07,-57.40,-7.68,32.04,-23.30,-3.98,8.64,-14.44,1.17,-1.17,90,-6.70,3.18,1100,1422,1100,-1.93,2.66
60.63,TAKEOFF,TAKEOFF,1,28.5604758,77.1158971,24.01,16.50,16.95,-66.17,-8.70,-65.26,-7.65,32.21,-23.15,-5.56,6.61,-15.60,1.65,-1.65,90,-6.66,3.08,1100,1423,1100,-1.96,2.70
60.84,TAKEOFF,TAKEOFF,1,28.5604859,77.1158640,23.62,16.66,17.11,-66.40,-10.33,-73.12,-7.53,32.39,-22.84,-7.13,4.45,-16.52,2.14,-2.14,90,-6.46,3.01,1100,1423,1100,-2.02,2.74
61.04,TAKEOFF,TAKEOFF,1,28.5604919,77.1158292,23.14,16.81,17.29,-66.36,-11.88,-81.03,-7.32,32.58,-22.38,-8.62,2.15,-17.15,2.62,-2.62,90,-6.31,2.99,1100,1424,1100,-2.08,2.79
61.25,TAKEOFF,TAKEOFF,1,28.5604937,77.1157935,22.56,17.02,17.49,-66.06,-13.30,-88.98,-7.04,32.82,-21.81,-9.92,-0.22,-17.49,3.06,-3.06,90,-6.07,3.00,1100,1423,1100,-2.10,2.83
61.45,TAKEOFF,TAKEOFF,1,28.5604912,77.1157575,21.89,17.26,17.70,-65.51,-14.51,-96.99,-6.70,33.09,-21.16,-11.06,-2.66,-17.50,3.46,-3.46,90,-5.86,3.06,1100,1422,1100,-2.09,2.88
61.66,TAKEOFF,TAKEOFF,1,28.5604844,77.1157221,21.16,17.50,17.91,-64.71,-15.47,-105.04,-6.32,33.34,-20.45,-11.95,-5.10,-17.16,3.79,-3.79,90,-5.59,3.16,1100,1421,1100,-2.03,2.94
61.86,TAKEOFF,TAKEOFF,1,28.5604732,77.1156879,20.37,17.74,18.13,-63.71,-16.16,-113.12,-5.91,33.61,-19.73,-12.60,-7.50,-16.49,4.05,-4.05,90,-5.33,3.29,1100,1419,1100,-1.97,2.98
62.06,TAKEOFF,TAKEOFF,1,28.5604578,77.1156554,19.55,17.95,18.34,-62.56,-16.54,-121.21,-5.49,33.84,-19.02,-12.93,-9.81,-15.49,4.21,-4.21,90,-5.04,3.46,1100,1417,1100,-1.91,3.01
62.27,TAKEOFF,TAKEOFF,1,28.5604384,77.1156253,18.70,18.20,18.56,-61.30,-16.62,-129.29,-5.09,34.07,-18.33,-12.99,-11.98,-14.17,4.28,-4.28,90,-5.00,3.69,1100,1414,1100,-1.82,3.04
62.47,TAKEOFF,TAKEOFF,1,28.5604152,77.1155982,17.85,18.47,18.77,-59.97,-16.39,-137.35,-4.70,34.30,-17.70,-12.76,-13.96,-12.54,4.25,-4.25,90,-5.00,3.95,1100,1411,1100,-1.75,3.06
62.68,TAKEOFF,TAKEOFF,1,28.5603885,77.1155744,17.01,18.68,18.98,-58.64,-15.86,-145.39,-4.35,34.51,-17.13,-12.22,-15.71,-10.64,4.11,-4.11,90,-5.00,4.21,1100,1407,1100,-1.67,3.07
62.88,TAKEOFF,TAKEOFF,1,28.5603588,77.1155548,16.22,18.87,19.17,-57.36,-15.06,-153.33,-4.07,34.58,-16.64,-11.44,-17.18,-8.50,3.88,-3.88,90,-5.00,4.47,1103,1406,1100,-1.61,3.07
63.09,TAKEOFF,TAKEOFF,1,28.5603266,77.1155398,15.48,18.99,19.34,-56.20,-14.03,-161.15,-3.95,34.42,-16.21,-10.44,-18.31,-6.18,3.56,-3.56,90,-5.00,4.71,1106,1406,1100,-1.58,3.07
63.29,TAKEOFF,TAKEOFF,1,28.5602754,77.1155264,14.52,19.16,19.50,-54.77,-12.14,-172.64,-3.84,34.12,-15.73,-8.57,-19.34,-2.48,2.94,-2.94,90,-5.00,5.00,1108,1406,1100,-1.58,3.04
63.50,TAKEOFF,TAKEOFF,1,28.5602405,77.1155239,13.98,19.15,19.54,-54.04,-10.72,179.86,-3.81,33.87,-15.58,-7.18,-19.54,0.03,2.46,-2.46,90,-5.00,5.15,1109,1407,1100,-1.57,3.02
63.70,TAKEOFF,TAKEOFF,1,28.5602057,77.1155264,13.55,19.18,19.51,-53.51,-9.22,172.47,-3.80,33.57,-15.53,-5.71,-19.35,2.52,1.95,-1.95,90,-5.00,5.26,1109,1408,1100,-1.57,2.99
63.91,TAKEOFF,TAKEOFF,1,28.5601717,77.1155340,13.22,19.09,19.43,-53.18,-7.71,165.18,-3.80,33.25,-15.58,-4.21,-18.79,4.92,1.43,-1.43,90,-5.00,5.33,1108,1409,1100,-1.59,2.97
64.11,TAKEOFF,TAKEOFF,1,28.5601390,77.1155463,13.00,19.02,19.30,-53.06,-6.23,157.96,-3.82,32.90,-15.73,-2.73,-17.90,7.20,0.92,-0.92,90,-5.00,5.36,1107,1411,1100,-1.62,2.95
64.32,TAKEOFF,TAKEOFF,1,28.5601081,77.1155630,12.88,18.87,19.12,-53.12,-4.82,150.80,-3.84,32.54,-15.98,-1.32,-16.70,9.30,0.44,-0.44,90,-5.00,5.34,1104,1413,1100,-1.68,2.92
64.52,TAKEOFF,TAKEOFF,1,28.5600796,77.1155838,12.85,18.73,18.91,-53.37,-3.53,143.67,-3.88,32.17,-16.31,-0.03,-15.23,11.19,0.01,-0.01,90,-5.00,5.29,1101,1415,1100,-1.73,2.89
64.72,TAKEOFF,TAKEOFF,1,28.5600537,77.1156084,12.90,18.50,18.67,-53.78,-2.38,136.52,-3.95,31.86,-16.73,1.07,-13.53,12.86,-0.35,0.35,90,-5.00,5.21,1100,1417,1100,-1.80,2.86
64.93,TAKEOFF,TAKEOFF,1,28.5600310,77.1156363,13.01,18.28,18.44,-54.35,-1.41,129.40,-4.16,31.50,-17.19,2.02,-11.65,14.28,-0.65,0.65,90,0.04,4.06,1100,1421,1100,-1.89,2.79
65.13,TAKEOFF,TAKEOFF,1,28.5600117,77.1156669,13.17,18.11,18.20,-55.09,-0.67,122.29,-4.43,31.09,-17.68,2.77,-9.62,15.44,-0.88,0.88,90,0.72,3.78,1100,1423,1100,-1.99,2.74
65.34,TAKEOFF,TAKEOFF,1,28.5599962,77.1156997,13.37,17.85,17.97,-55.97,-0.14,115.16,-4.73,30.85,-18.24,3.28,-7.48,16.34,-1.03,1.03,90,2.01,3.37,1100,1425,1100,-2.08,2.68
65.54,TAKEOFF,TAKEOFF,1,28.5599846,77.1157338,13.59,17.66,17.75,-56.95,0.17,107.98,-5.06,30.68,-18.84,3.55,-5.27,16.94,-1.10,1.10,90,3.68,2.88,1100,1426,1100,-2.16,2.62
65.75,TAKEOFF,TAKEOFF,1,28.5599771,77.1157686,13.82,17.48,17.54,-58.01,0.23,100.76,-5.41,30.53,-19.48,3.59,-3.01,17.27,-1.10,1.10,90,5.00,2.47,1100,1428,1100,-2.21,2.59
65.95,TAKEOFF,TAKEOFF,1,28.5599736,77.1158038,14.04,17.23,17.35,-59.14,0.04,93.50,-5.76,30.50,-20.13,3.37,-0.75,17.33,-1.02,1.02,90,5.00,2.28,1100,1428,1100,-2.26,2.56
66.16,TAKEOFF,TAKEOFF,1,28.5599741,77.1158389,14.23,17.05,17.20,-60.30,-0.41,86.17,-6.11,30.61,-20.75,2.90,1.49,17.13,-0.87,0.87,90,5.00,2.09,1100,1428,1100,-2.30,2.54
66.36,TAKEOFF,TAKEOFF,1,28.5599787,77.1158733,14.39,16.89,17.09,-61.45,-1.10,78.77,-6.44,30.74,-21.33,2.15,3.70,16.68,-0.64,0.64,90,5.00,1.91,1100,1428,1100,-2.32,2.54
66.56,TAKEOFF,TAKEOFF,1,28.5599870,77.1159065,14.49,16.74,17.02,-62.56,-2.02,71.30,-6.73,30.96,-21.84,1.21,5.85,15.97,-0.36,0.36,90,5.00,1.74,1100,1427,1100,-2.34,2.55
66.77,TAKEOFF,TAKEOFF,1,28.5599993,77.1159383,14.54,16.64,16.98,-63.60,-3.14,63.72,-6.98,31.24,-22.25,0.07,7.92,15.02,-0.02,0.02,90,5.00,1.59,1100,1425,1100,-2.32,2.59
66.97,TAKEOFF,TAKEOFF,1,28.5600153,77.1159681,14.49,16.67,17.00,-64.51,-4.43,56.11,-7.17,31.57,-22.56,-1.21,9.88,13.83,0.36,-0.36,90,5.00,1.47,1100,1424,1100,-2.34,2.59
67.18,TAKEOFF,TAKEOFF,1,28.5600347,77.1159952,14.37,16.61,17.06,-65.28,-5.86,48.41,-7.30,31.94,-22.72,-2.65,11.70,12.41,0.79,-0.79,90,5.00,1.36,1100,1423,1100,-2.33,2.62
67.38,TAKEOFF,TAKEOFF,1,28.5600574,77.1160192,14.15,16.64,17.15,-65.85,-7.36,40.64,-7.35,32.30,-22.74,-4.14,13.34,10.75,1.24,-1.24,90,5.00,1.29,1100,1421,1100,-2.30,2.68
67.59,TAKEOFF,TAKEOFF,1,28.5600828,77.1160396,13.84,16.75,17.26,-66.22,-8.87,32.78,-7.32,32.63,-22.60,-5.63,14.79,8.89,1.70,-1.70,90,5.00,1.24,1100,1421,1100,-2.25,2.74
67.79,TAKEOFF,TAKEOFF,1,28.5601104,77.1160558,13.45,16.88,17.38,-66.34,-10.35,24.87,-7.21,32.78,-22.33,-7.05,15.98,6.82,2.15,-2.15,90,5.00,1.22,1100,1422,1100,-2.20,2.81
67.99,TAKEOFF,TAKEOFF,1,28.5601398,77.1160675,12.97,17.07,17.52,-66.23,-11.74,16.94,-7.02,32.94,-21.92,-8.38,16.90,4.60,2.58,-2.58,90,5.00,1.24,1100,1422,1100,-2.14,2.91
68.20,TAKEOFF,TAKEOFF,1,28.5601861,77.1160762,12.10,17.31,17.76,-65.63,-13.57,4.95,-6.62,33.29,-21.12,-10.13,17.72,1.03,3.17,-3.17,90,5.00,1.32,1100,1421,1100,-2.04,3.02
68.40,TAKEOFF,TAKEOFF,1,28.5602179,77.1160759,11.44,17.51,17.93,-64.96,-14.55,-3.09,-6.29,33.44,-20.51,-11.02,17.87,-1.43,3.49,-3.49,90,-5.00,3.00,1100,1420,1100,-1.97,3.08
68.61,TAKEOFF,TAKEOFF,1,28.5602496,77.1160706,10.71,17.74,18.12,-64.10,-15.29,-11.15,-5.94,33.72,-19.86,-11.73,17.68,-3.92,3.76,-3.76,90,-5.00,3.16,1100,1418,1100,-1.90,3.13
68.81,TAKEOFF,TAKEOFF,1,28.5602810,77.1160600,9.93,18.01,18.32,-63.07,-15.77,-19.28,-5.57,33.95,-19.21,-12.17,17.16,-6.40,3.95,-3.95,90,-5.00,3.35,1100,1416,1100,-1.80,3.18
69.01,TAKEOFF,TAKEOFF,1,28.5603112,77.1160443,9.13,18.25,18.54,-61.93,-15.98,-27.37,-5.19,34.16,-18.57,-12.33,16.30,-8.81,4.05,-4.05,90,-5.00,3.57,1100,1414,1100,-1.73,3.21
69.22,TAKEOFF,TAKEOFF,1,28.5603396,77.1160237,8.31,18.48,18.75,-60.72,-15.90,-35.44,-4.84,34.33,-17.97,-12.25,15.11,-11.10,4.07,-4.07,90,-5.00,3.80,1100,1411,1100,-1.66,3.23
69.42,TAKEOFF,TAKEOFF,1,28.5603656,77.1159986,7.49,18.64,18.96,-59.48,-15.54,-43.47,-4.50,34.51,-17.43,-11.89,13.59,-13.20,3.99,-3.99,90,-5.00,4.05,1100,1408,1100,-1.55,3.25
69.63,TAKEOFF,TAKEOFF,1,28.5603885,77.1159696,6.71,18.85,19.14,-58.25,-14.90,-51.45,-4.20,34.64,-16.95,-11.26,11.79,-15.07,3.81,-3.81,90,-5.00,4.29,1100,1406,1100,-1.47,3.26
69.83,TAKEOFF,TAKEOFF,1,28.5604078,77.1159373,5.97,18.97,19.29,-57.08,-14.01,-59.34,-3.95,34.53,-16.55,-10.40,9.74,-16.64,3.54,-3.54,90,-5.00,4.53,1100,1406,1100,-1.39,3.27
70.04,TAKEOFF,TAKEOFF,1,28.5604232,77.1159022,5.31,19.08,19.39,-56.03,-12.93,-67.10,-3.75,34.37,-16.22,-9.32,7.49,-17.88,3.18,-3.18,90,-5.00,4.74,1100,1405,1100,-1.32,3.27
70.24,TAKEOFF,TAKEOFF,1,28.5604344,77.1158650,4.72,19.14,19.45,-55.12,-11.69,-74.74,-3.59,34.18,-15.99,-8.11,5.09,-18.77,2.77,-2.77,90,-5.00,4.93,1101,1406,1100,-1.29,3.26
70.45,TAKEOFF,TAKEOFF,1,28.5604413,77.1158264,4.22,19.16,19.46,-54.38,-10.35,-82.26,-3.52,33.86,-15.84,-6.77,2.62,-19.28,2.31,-2.31,90,-5.00,5.08,1101,1406,1100,-1.28,3.25
70.65,TAKEOFF,TAKEOFF,1,28.5604438,77.1157870,3.81,19.12,19.43,-53.83,-8.94,-89.68,-3.49,33.58,-15.78,-5.38,0.12,-19.42,1.83,-1.83,90,-5.00,5.20,1101,1407,1100,-1.30,3.22
70.86,TAKEOFF,TAKEOFF,1,28.5604418,77.1157477,3.50,19.07,19.35,-53.47,-7.51,-97.00,-3.49,33.27,-15.82,-3.99,-2.33,-19.20,1.35,-1.35,90,-5.00,5.27,1100,1409,1100,-1.32,3.20
71.06,TAKEOFF,TAKEOFF,1,28.5604355,77.1157089,3.29,18.98,19.23,-53.30,-6.10,-104.28,-3.50,32.94,-15.96,-2.59,-4.72,-18.63,0.87,-0.87,90,-5.00,5.31,1100,1410,1100,-1.37,3.16
71.27,TAKEOFF,TAKEOFF,1,28.5604250,77.1156715,3.17,18.81,19.07,-53.34,-4.78,-111.48,-3.61,32.56,-16.17,-1.26,-6.98,-17.74,0.42,-0.42,90,-5.00,5.30,1100,1412,1100,-1.46,3.10
71.47,TAKEOFF,TAKEOFF,1,28.5604104,77.1156361,3.14,18.65,18.89,-53.56,-3.56,-118.65,-3.77,32.21,-16.46,-0.06,-9.07,-16.56,0.02,-0.02,90,-5.00,5.25,1100,1414,1100,-1.53,3.05
71.68,TAKEOFF,TAKEOFF,1,28.5603923,77.1156034,3.18,18.52,18.69,-53.96,-2.46,-125.80,-3.96,31.92,-16.83,0.98,-10.97,-15.12,-0.32,0.32,90,-5.00,5.17,1100,1416,1100,-1.61,3.00
71.88,TAKEOFF,TAKEOFF,1,28.5603710,77.1155740,3.29,18.32,18.46,-54.53,-1.52,-132.95,-4.20,31.61,-17.28,1.92,-12.63,-13.45,-0.62,0.62,90,-5.00,5.05,1100,1418,1100,-1.71,2.93
72.09,TAKEOFF,TAKEOFF,1,28.5603472,77.1155484,3.45,18.12,18.21,-55.25,-0.76,-140.12,-4.47,31.37,-17.79,2.64,-14.04,-11.58,-0.84,0.84,90,-5.00,4.90,1100,1419,1100,-1.77,2.88
72.29,TAKEOFF,TAKEOFF,1,28.5603212,77.1155269,3.65,17.90,17.96,-56.10,-0.21,-147.32,-4.78,31.16,-18.36,3.19,-15.19,-9.57,-1.00,1.00,90,-5.00,4.73,1100,1421,1100,-1.83,2.83
72.50,TAKEOFF,TAKEOFF,1,28.5602789,77.1155025,3.98,17.49,17.61,-57.60,0.17,-158.20,-5.28,30.97,-19.27,3.54,-16.42,-6.34,-1.09,1.09,90,-5.00,4.42,1100,1422,1100,-1.95,2.75
72.70,TAKEOFF,TAKEOFF,1,28.5602492,77.1154918,4.20,17.29,17.41,-58.71,0.12,-165.53,-5.62,30.97,-19.91,3.45,-16.91,-4.11,-1.05,1.05,90,-5.00,4.20,1100,1423,1100,-2.05,2.69
72.90,TAKEOFF,TAKEOFF,1,28.5602189,77.1154857,4.39,17.11,17.25,-59.86,-0.20,-172.91,-5.97,30.98,-20.54,3.09,-17.14,-1.83,-0.93,0.93,90,-5.00,3.97,1100,1423,1100,-2.13,2.64
73.11,TAKEOFF,TAKEOFF,1,28.5601879,77.1154843,4.56,16.97,17.13,-61.04,-0.78,179.61,-6.30,31.14,-21.14,2.47,-17.12,0.45,-0.74,0.74,90,-5.00,3.74,1100,1422,1100,-2.20,2.59
73.31,TAKEOFF,TAKEOFF,1,28.5601571,77.1154875,4.68,16.80,17.05,-62.19,-1.59,172.07,-6.61,31.35,-21.68,1.61,-16.83,2.73,-0.48,0.48,90,-5.00,3.52,1100,1421,1100,-2.29,2.53
