t,alt,asp,gsp,roll,pitch,yaw,p,q,r,navroll,navpitch,ail,elev,rud,thr,armed,mode
1.253,0.11,1.176198124885559,0.6650623679161072,0.01742821317553936,0.002991099044655763,-6.998522170315477,0.007960877294814107,0.005311677701454914,0.011137583937057823,0.009999999776482582,0.0,1500,1500,1500,0,True,13
1.304,0.11,1.176198124885559,0.7300889492034912,0.01781983681253765,0.0021585330023749265,-6.998765922691482,0.011207379932638891,0.0016872543269015104,0.006536718236208651,0.0,5.0,1500,1402,1500,0,True,13
1.356,0.112,0.8238102197647095,0.7714700698852539,0.0180763941257096,0.0015677716649684086,-6.998865814208093,0.008765338009124733,0.00040718416195922326,0.011617057880707429,0.0,5.0,1500,1402,1500,0,True,13
1.407,0.112,0.7764011025428772,0.8702554702758789,0.018593098936937058,-0.0007260493901674781,-6.999038276484637,0.011921672478250763,0.004782639863103089,0.016226580129293133,0.0,5.0,1500,1402,1500,0,True,13
1.459,0.112,0.7764011025428772,0.8702554702758789,0.018593098936937058,-0.0007260493901674781,-6.999038276484637,0.011921672478250763,0.004782639863103089,0.016226580129293133,0.0,5.0,1500,1402,1500,0,True,13
1.510,0.113,0.8705444931983948,0.9594740271568298,0.019143679552116863,-0.003477750439900835,-6.999414790662633,0.005755886791450362,-0.0016861345827541316,0.011602015122772204,0.0,5.0,1500,1402,1500,8,True,13
1.561,0.113,0.8705444931983948,0.9594740271568298,0.019143679552116863,-0.003477750439900835,-6.999414790662633,0.005755886791450362,-0.0016861345827541316,0.011602015122772204,0.0,5.0,1500,1402,1500,8,True,13
1.613,0.11,0.2225119173526764,1.0356695652008057,0.019613253390028586,-0.006311784315362729,-6.999722576062107,0.006270988275801117,0.0022053940448137316,0.012041264154738794,0.0,5.0,1500,1402,1500,18,True,13
1.664,0.108,0.2225119173526764,1.0813242197036743,0.019839476725858812,-0.007690492016873521,-6.999846373240813,0.006516659141220034,0.005049999413932106,0.01160096374721759,0.0,5.0,1500,1402,1500,24,True,13
1.715,0.107,0.4015778601169586,1.1139988899230957,0.019996372641097417,-0.008528437500136404,-6.999977854382336,0.005450244997488882,0.0023830923550464556,0.011245434558383243,0.0,5.0,1500,1402,1500,28,True,13
