-35,NaN,NaN
-32.5,NaN,NaN
-30,25,25.2573061492213
-27.5,24,24.3538176942132
-25,23,23.7265009732598
-22.5,22,23.2980936356391
-20,21,22.5565239856872
-17.5,19,21.9752561625994
-15,17,21.3943528810943
-12.5,13.988724354394,20.6217686441279
-10,11.9779673494005,20.1787516806726
-7.5,10.9852454143294,19.410401825407
-5,10.8904233844612,19.0070605745556
-2.5,9.9582880340508,18.2560765194632
0,9.89188146999183,17.6050707059826
2.5,8.98256297421337,17.1300012366587
5,8.9681605280628,16.2913413745091
7.5,8.59164033809446,16.0204138438505
10,7.99358358782171,15.0045547248068
12.5,7.98882881546583,13.6141820568779
15,6.99981337219824,11.9818273448344
17.5,8.87620538652153,9.04779593843794
20,NaN,NaN
22.5,NaN,NaN
25,NaN,NaN
27.5,NaN,NaN
30,NaN,NaN
32.5,NaN,NaN
35,NaN,NaN
