Monte Carlo Case #0001  [uSTOL FBWA open-loop profile]
======================================================================

Timestamp : 2026-06-18T16:30:59.228004
Duration  : 142.0 s

Parameter                     Nominal      Perturbed    Delta%
----------------------------------------------------------------------
mass                        17.000000      16.788282    -1.25%
Ixx                         11.410000      12.205780    +6.97%
Iyy                          5.230000       5.388950    +3.04%
Izz                         16.497000      16.631507    +0.82%
rho                          1.150000       1.213901    +5.56%
s                            1.681000       1.663787    -1.02%
b                            4.100000       4.089803    -0.25%
c                            0.410000       0.406794    -0.78%
t_by_c                       0.150000       0.148955    -0.70%
s_blown                      0.885600       0.885763    +0.02%
cg_x_cg_c                    0.495100       0.512128    +3.44%
wing_lambda_b                0.402400       0.396067    -1.57%
wing_S_f                     0.206640       0.190847    -7.64%
wing_S_a                     0.059040       0.059436    +0.67%
wing_k_fit                   0.535000       0.479242   -10.42%
wing_cl0_camber              0.519000       0.461388   -11.10%
wing_k_w                     2.632757       2.524137    -4.13%
wing_r                      -0.005473      -0.006306   -15.23%
tail_a_t                     4.270000       3.628376   -15.03%
tail_eta_t_0                 1.027100       1.094917    +6.60%
tail_eta_t_1                 0.010824       0.009570   -11.59%
tail_eps0                    0.030729       0.028187    -8.27%
tail_deps_pos               -0.018088      -0.016862    +6.78%
tail_deps_neg                0.283491       0.264223    -6.80%
tail_k_ht                    3.132920       2.014359   -35.70%
tail_CD_ht0                  0.004050       0.004820   +19.02%
tail_S_ht_S                  0.238050       0.218296    -8.30%
tail_V_H                     0.950000       0.926736    -2.45%
tail_AR_ht                   5.000000       4.998506    -0.03%
fuse_CD_a2                   1.956124       2.229112   +13.96%
fuse_CD_b2                   0.453343       0.536111   +18.26%
fuse_CD_a2_Cmyu              0.010846       0.010749    -0.90%
fuse_CD0                     0.045249       0.050370   +11.32%
fuse_CDq                    -0.373360      -0.436298   -16.86%
controls_tau_f               0.297565       0.310442    +4.33%
controls_tau_a               0.086943       0.087804    +0.99%
controls_Kb_f                0.506727       0.621580   +22.67%
controls_Kb_a                0.131584       0.135745    +3.16%
controls_tau_e               0.625000       0.487670   -21.97%
controls_CD_df2              0.217554       0.250578   +15.18%
controls_CD_da2              0.030418       0.033684   +10.74%
controls_CD_da               0.013566       0.017794   +31.17%
controls_CD_de2              0.164864       0.158377    -3.93%
controls_CD_de               0.010177       0.011617   +14.15%
controls_CD_dr2              0.142042       0.184038   +29.57%
stall_K_flat                 5.057530       5.498505    +8.72%
stall_a0_const              18.459054      21.281675   +15.29%
stall_a0_Cmyu               -0.125111      -0.119754    +4.28%
stall_k                     25.681000      24.394188    -5.01%
cl_stall_wM0                21.881300      17.141068   -21.66%
cl_stall_wM1                -2.477600      -3.048624   -23.05%
cl_stall_wa00               19.999700      22.731665   +13.66%
cl_stall_wa0mu               1.495500       1.492206    -0.22%
cl_stall_wa0f               -5.252700      -5.120298    +2.52%
cl_stall_wkflat              4.028400       3.180005   -21.06%
cl_stall_rM                 14.328600      14.266500    -0.43%
cl_stall_ra0                13.226100      13.893129    +5.04%
cl_stall_rkcu                0.476500       0.439539    -7.76%
cl_stall_rkflat              1.351400       1.367427    +1.19%
lateral_theta0               0.000424       0.000523   +23.30%
lateral_theta_b             -0.014394      -0.015321    -6.44%
lateral_theta_aL            -0.000145      -0.000174   -19.82%
lateral_theta_aR             0.000141       0.000153    +8.34%
lateral_theta_r              0.004425       0.005016   +13.35%
lateral_theta_bcu           -0.006646      -0.006698    -0.78%
lateral_beta0               12.000000      15.700846   +30.84%
lateral_kv                  -1.370707      -1.460402    -6.54%
lateral_kps_r                0.606335       0.540921   -10.79%
lateral_M                   59.998281      65.655702    +9.43%
lateral_CYp                  0.156542       0.126713   -19.05%
lateral_CYr                  0.364915       0.276800   -24.15%
roll_theta0                 -0.000102      -0.000101    +0.90%
