case_id,case_seed,takeoff_success,mission_complete,land_result,exit_reason,duration_s,ground_roll_m,liftoff_speed,landing_roll_m,max_alt_m,max_roll_deg,max_pitch_deg,min_airspeed,max_airspeed,landing_lat,landing_lon,landing_err_m,time_to_takeoff_s,time_to_cruise_s,time_to_land_s,p_mass,p_Ixx,p_Iyy,p_Izz,p_rho,p_s,p_b,p_c,p_t_by_c,p_s_blown,p_cg_x_cg_c,p_wing_lambda_b,p_wing_S_f,p_wing_S_a,p_wing_k_fit,p_wing_cl0_camber,p_wing_k_w,p_wing_r,p_tail_a_t,p_tail_eta_t_0,p_tail_eta_t_1,p_tail_eps0,p_tail_deps_pos,p_tail_deps_neg,p_tail_k_ht,p_tail_CD_ht0,p_tail_S_ht_S,p_tail_V_H,p_tail_AR_ht,p_fuse_CD_a2,p_fuse_CD_b2,p_fuse_CD_a2_Cmyu,p_fuse_CD0,p_fuse_CDq,p_controls_tau_f,p_controls_tau_a,p_controls_Kb_f,p_controls_Kb_a,p_controls_tau_e,p_controls_CD_df2,p_controls_CD_da2,p_controls_CD_da,p_controls_CD_de2,p_controls_CD_de,p_controls_CD_dr2,p_stall_K_flat,p_stall_a0_const,p_stall_a0_Cmyu,p_stall_k,p_cl_stall_wM0,p_cl_stall_wM1,p_cl_stall_wa00,p_cl_stall_wa0mu,p_cl_stall_wa0f,p_cl_stall_wkflat,p_cl_stall_rM,p_cl_stall_ra0,p_cl_stall_rkcu,p_cl_stall_rkflat,p_lateral_theta0,p_lateral_theta_b,p_lateral_theta_aL,p_lateral_theta_aR,p_lateral_theta_r,p_lateral_theta_bcu,p_lateral_beta0,p_lateral_kv,p_lateral_kps_r,p_lateral_M,p_lateral_CYp,p_lateral_CYr,p_roll_theta0,p_roll_theta_aL,p_roll_theta_aR,p_roll_theta_aLcu,p_roll_theta_aRcu,p_roll_theta_b,p_roll_theta_b_cu,p_roll_theta_r,p_roll_Clp,p_roll_Clr,p_pitch_Cmq,p_yaw_theta0,p_yaw_theta_b,p_yaw_theta_aL,p_yaw_theta_aR,p_yaw_theta_r,p_yaw_theta_bcu,p_yaw_theta_aLcu,p_yaw_theta_aRcu,p_yaw_Cnp,p_yaw_Cnr,p_yaw_beta0,p_yaw_kcu,p_yaw_kv,p_yaw_kps_r,p_yaw_M,p_prop_cmyu_J2,p_prop_cmyu_0,p_prop_CT_1,p_prop_CT_J,p_prop_CT_JM,p_max_thrust
0,42:0,True,False,climb_timeout,climb_timeout,141.9752585887909,32.47093607140993,11.073904991149902,,96.89,0.08,20.78,1.72,11.34,28.5624661,77.1059167,1166.4276167554817,4.76,,,17.172673011860844,10.61891875651973,5.491657316937852,17.531433075087058,1.0752103177682695,1.6591103624896444,4.105241456529859,0.40870340537139127,0.14997479826374358,0.8352362865160559,0.5096129979118196,0.43369834748166086,0.20709481944480165,0.06125841069531309,0.5766862496841407,0.4446712019605999,2.7945622013414475,-0.006347660745722851,4.895163797763675,1.0236814064550679,0.01069060331846574,0.027241619338335212,-0.014402445377677356,0.27618971376647217,2.9092671998981263,0.003812309853420445,0.24649774677473166,0.9731447907430583,5.137577537198663,2.096580550614632,0.6151598247202362,0.010111337122048742,0.041385921458707,-0.4239983643031046,0.32811398614644627,0.10330237300767209,0.4971036244374864,0.11315880835589379,0.5391165400321626,0.24114384389373583,0.03418605089661105,0.014794071800638046,0.14657756793625945,0.010570784297475001,0.14480438095032788,5.241867356435814,21.140012478216605,-0.12044862288287513,28.586863202208225,22.127752982201212,-2.358212962967616,22.103962521717175,1.1323039119009752,-5.532556166359999,3.7125917999078175,12.802895810610075,12.61959017850846,0.5952232558005316,1.1563859717086917,0.0004924250037244646,-0.018431204582106314,-0.00015309305489132288,0.00014482469702996765,0.004857338969377468,-0.005858198025116114,13.58669447039985,-1.450373649601073,0.5596116542991215,68.57779400248155,0.15155080639573038,0.2873288208865237,-0.00012126588263805917,0.0005402315735884953,-0.0006209036960459336,0.00011056366324927017,-8.318239611960496e-05,-0.0004081305430423699,7.082320644738222e-05,0.0005488197376336278,-0.6758771809322077,0.42836722023130264,-32.40679217794802,0.0002639969781858691,0.003105962567601257,-1.918890572157077e-05,1.0811620801309303e-06,-0.0019861065184422363,-8.98125882190847e-05,-2.667639114862144e-05,2.9009390292134748e-05,-0.12389109622921601,-0.16548342003641064,11.153379210204378,8.880422683640401e-06,0.20852744300445,0.4974143446065966,46.77166382989491,0.44366916509416254,0.039134619396413814,0.5872989217585646,-0.7807572564025157,2.0036989946447563,4.846750840731457
1,42:1,True,False,climb_timeout,climb_timeout,141.97532200813293,49.893587759196535,9.66609001159668,,47.28,0.06,12.43,1.17,9.67,28.5618873,77.1079054,962.2267613244629,7.66,,,16.78828205928291,12.205779937161724,5.388950217172148,16.63150730970232,1.213900756048071,1.6637866627539195,4.089802682020432,0.4067942757818918,0.14895533876578537,0.8857626857920874,0.5121283531810606,0.39606696483993353,0.19084703066777556,0.059435729253969,0.4792422498246342,0.4613875504657277,2.524136586471797,-0.006306446804006773,3.628375972510209,1.0949173033315838,0.009569877919461919,0.02818714454760641,-0.016861632255803356,0.26422337513464167,2.0143589523102503,0.004820121715233852,0.21829574924135015,0.9267356928538298,4.998505510437806,2.2291118579126983,0.5361106904714225,0.010748560248762295,0.05037003466541964,-0.4362981391549846,0.3104417034410296,0.08780408025972511,0.6215804620153527,0.13574504531761217,0.48766986998986933,0.25057831384297324,0.03368375748464905,0.017794031653826325,0.1583767568297418,0.011616713948650107,0.18403826158217412,5.498505160942935,21.28167544156314,-0.11975375921837841,24.394187582713297,17.141067741973742,-3.0486242176371605,22.731665357305452,1.4922059540724923,-5.1202982937994586,3.180005082160775,14.266500313827368,13.893128801178015,0.43953878284512665,1.367427328802458,0.0005227838162993653,-0.015321077215248599,-0.0001737448094841447,0.0001527602235472216,0.00501569868971871,-0.006697893117808444,15.700845656069934,-1.46040204683249,0.5409214299146627,65.65570177336977,0.12671309449037557,0.27680019565074837,-0.00010108578579325335,0.0004883584234190882,-0.0006310743047638961,0.00012921507406126617,-0.00010579488862975276,-0.0004119096905371402,8.759680787767928e-05,0.0005046504105217408,-0.5870943086776278,0.3102351188691982,-26.446846094307872,0.00023111362231892146,0.0022265180932287618,-1.532628630651702e-05,8.4278553643937e-07,-0.001936605724896988,-0.00011356108013594952,-2.7548162009153103e-05,2.673894974313543e-05,-0.10760173361051528,-0.13749200584438442,12.252818859702462,9.056405606879241e-06,0.2637099901936321,0.5418140824084194,70.07285658562135,0.6406915412980573,0.027670745017745642,0.4624523125605013,-0.7776568774371193,1.5949191315301887,4.98467788072946
2,42:2,True,True,cruise_hold,cruise_hold,55.77150273323059,26.054613223176823,12.660533905029297,,106.64,0.17,28.05,1.34,15.58,28.5607255,77.1134165,408.8564594519598,3.66,23.96,,16.670773857566026,10.629005551425402,5.700973175503806,15.441249764863455,1.252669040304776,1.6730465532069607,4.037684015166781,0.40698331624482437,0.15123935094692212,0.9223657447517553,0.4951364804933702,0.39415762310173885,0.2033360774704527,0.058949207486192756,0.45823293273903143,0.44824754660627686,2.3590599420053864,-0.0060906519720456435,4.655290218991639,0.9119686351776588,0.010342372608963491,0.03691199851628011,-0.014421904808107738,0.3432436728707332,2.9541717549945625,0.003756051798503296,0.244078412746698,0.9359270601724664,4.763856376170651,1.9251440968249265,0.4666373059180034,0.013131619747769118,0.03632541545003158,-0.3506385838738889,0.32128081709326334,0.10709618850495092,0.5838549580164082,0.1327757030639927,0.6450102674788596,0.2253566592730621,0.03585338503291213,0.007058832398338267,0.19194486240445097,0.009305505011759708,0.1088023652320677,5.514306576663231,16.246946799988347,-0.1726121184253041,21.75397224971571,23.960223012871815,-2.67978798728818,23.8748988124499,1.4442594114084792,-4.829818886345584,5.584407790481295,13.286866937611261,17.342585896194848,0.5147112686575893,1.4141861272999017,0.00033997822177739826,-0.014345434579580572,-0.00013463534711645003,0.0001726765013500761,0.0037442947367095085,-0.007356625816657143,14.645149238607342,-1.7538977960891575,0.5763984451221913,60.114488586861896,0.16227988976155805,0.49258035812996703,-0.00011950789056654529,0.0004768429931683823,-0.0006621015660601444,0.00010167277209048127,-9.88593115182925e-05,-0.0004197009720550986,4.901953833746161e-05,0.0005510885865647689,-0.5275015800449954,0.4752572806622023,-30.46031406196267,0.0002789204914318513,0.0033990107886990497,-1.2705403011651521e-05,1.0939207128064073e-06,-0.001998083154791217,-0.00010215485004997293,-3.374539564496496e-05,2.3781492181496783e-05,-0.13045547565805696,-0.16779548114990375,9.553029072597838,8.79163178589072e-06,0.24241945609207,0.6390994645585747,49.35774132231376,0.6118164876624073,0.04144635294840046,0.8616267825039214,-0.7206298754760243,1.6293522202812827,4.813854473702508
3,42:3,True,False,climb_timeout,climb_timeout,141.97497415542603,45.33106822125208,11.261119842529297,,94.86,0.07,14.82,1.33,11.24,28.5624146,77.1063665,1122.534852944051,6.16,,,16.419336340858322,12.557088077267178,4.652747623322803,17.32902887809567,1.1196416109301772,1.7231138342776826,4.0844724331898865,0.40720197922550405,0.15149534952468585,0.8546727789664612,0.49573201859927896,0.40428434997595,0.1979479355429496,0.06017656644961914,0.40523776658966143,0.46871039434495826,2.4242282572445752,-0.006246982993238203,4.251318229825271,1.0388532156693828,0.010165150493413258,0.031116695379936214,-0.015883794834475246,0.25557696601877505,2.544427627583779,0.004348948904155043,0.23061228123361444,1.1007273826135655,5.382734032591233,2.106058988723822,0.5022249121655442,0.008342013247793587,0.052539476084005596,-0.4262304765104155,0.24436640656597167,0.06623531670946708,0.47957535797285883,0.10943443568569639,0.4125646640684033,0.1779641640899458,0.02743544106454466,0.013228375566893455,0.19078668714193847,0.010098253471988705,0.1138101825744717,5.420186591934388,24.362255404572956,-0.10351764549876012,29.69687602644723,15.298254876650978,-2.4379026328960416,23.74533505384878,1.6703017262655186,-4.5103857432835985,4.046016848976879,15.723486817262534,11.73788247204358,0.5567212377174784,1.4367896210538669,0.00040383875511674594,-0.01148701086037801,-9.070633745348734e-05,0.0001443230041815341,0.005041569440681944,-0.007161332754427771,13.947583445827537,-1.3742965858509175,0.4658204947756305,64.30623359436622,0.16602862257100096,0.3134590190974942,-0.00011840191092257361,0.0006690705242381663,-0.0006333901900722564,0.00013085620954207482,-0.00013299991801288524,-0.0003659208501574842,7.184716145767739e-05,0.0005879268947826441,-0.48591774924813524,0.41873324094217984,-30.517001794466765,0.00036706428766225476,0.00390309042736804,-1.349235360621942e-05,1.169635023462025e-06,-0.0022222028087696237,-8.27782863595534e-05,-3.5134857923247065e-05,2.5645421764601704e-05,-0.11749573852210418,-0.17851478864200768,11.02906487218871,9.072138886861566e-06,0.3036443884536375,0.6563539918144574,64.84846180846544,0.4720916098167373,0.037327152141170404,0.6116014408920536,-0.9494596869704051,1.4587313904184622,5.002494701372109
