wall_time_s,ardu_mode,lat_degE7,lon_degE7,alt_msl_mm,alt_agl_mm,vx_cmps,vy_cmps,vz_cmps,roll_rad,pitch_rad,yaw_rad,rollspeed_rps,pitchspeed_rps,yawspeed_rps,local_x_m,local_y_m,local_z_m,local_vx_mps,local_vy_mps,local_vz_mps,airspeed_mps,groundspeed_mps,heading_deg,throttle_pct,climb_mps,xacc_mg,yacc_mg,zacc_mg,xgyro_mradps,ygyro_mradps,zgyro_mradps,nav_roll_deg,nav_pitch_deg,alt_error_m,aspd_error_mps,xtrack_error_m
13.437,-1,0,0,0,0,0,0,0,0.00203,0.00183,-1.30628,0.00029,0.00037,0.00022,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
13.437,-1,285597410,771174500,237150,98,0,1,-1,0.00204,0.00184,-1.30626,0.00034,0.00033,0.00021,0.006,0.011,-0.059,0.009,0.016,-0.011,0.42,0.02,285,6,0.01,0,0,0,0,0,0,0.00,4.99,99.91,-36.12,0.00
13.438,-1,285597410,771174500,237150,97,0,1,-1,0.00205,0.00186,-1.30624,0.00026,0.00038,0.00029,0.007,0.011,-0.057,0.010,0.016,-0.010,0.71,0.02,285,16,0.01,0,0,0,0,0,0,0.00,4.99,99.91,254.50,0.00
13.438,-1,285597410,771174500,237150,96,1,0,0,0.00206,0.00187,-1.30621,0.00032,0.00036,0.00029,0.007,0.011,-0.056,0.012,0.009,-0.010,0.81,0.01,285,26,0.01,0,0,0,0,0,0,0.00,4.99,99.91,1929.41,0.00
13.438,-1,285597410,771174499,237150,96,2,-2,0,0.00208,0.00188,-1.30619,0.00030,0.00026,0.00026,0.008,0.009,-0.056,0.021,-0.024,-0.010,0.29,0.03,285,36,0.01,0,0,0,0,0,0,0.00,4.99,99.91,2919.37,0.00
13.439,-1,285597410,771174499,237150,96,4,-10,0,0.00209,0.00187,-1.30616,0.00031,0.00031,0.00030,0.010,0.002,-0.057,0.042,-0.102,-0.010,0.57,0.11,285,46,0.01,0,0,0,0,0,0,0.00,4.99,99.91,2971.11,0.00
13.439,10,285597411,771174498,237150,97,8,-24,0,0.00210,0.00186,-1.30615,0.00027,0.00031,0.00025,0.015,-0.017,-0.057,0.081,-0.244,-0.010,0.28,0.26,285,56,0.01,0,0,0,0,0,0,0.00,4.99,99.91,2942.62,0.00
13.439,10,285597412,771174494,237150,97,14,-47,-1,0.00211,0.00180,-1.30613,0.00028,0.00030,0.00026,0.026,-0.054,-0.057,0.143,-0.472,-0.010,0.55,0.49,285,66,0.01,0,0,0,0,0,0,0.00,4.99,99.91,2972.02,0.00
13.439,10,285597413,771174487,237150,97,23,-80,-1,0.00212,0.00176,-1.30612,0.00033,0.00031,0.00029,0.044,-0.121,-0.058,0.233,-0.802,-0.011,0.53,0.83,285,76,0.01,0,0,0,0,0,0,0.00,4.99,99.91,2944.50,0.00
13.440,10,285597416,771174476,237150,98,35,-125,-1,0.00213,0.00165,-1.30614,0.00028,0.00030,0.00027,0.073,-0.226,-0.059,0.355,-1.252,-0.011,0.43,1.30,285,86,0.01,0,0,0,0,0,0,0.00,4.99,99.91,2946.68,0.00
13.440,10,285597420,771174460,237160,100,51,-184,-1,0.00213,0.00156,-1.30616,0.00028,0.00033,0.00029,0.116,-0.387,-0.060,0.516,-1.846,-0.012,0.53,1.92,285,96,0.01,0,0,0,0,0,0,0.00,6.06,99.90,2957.31,0.00
13.440,10,285597425,771174437,237160,101,70,-253,-1,0.00213,0.00137,-1.30626,0.00033,0.00031,0.00026,0.177,-0.612,-0.061,0.702,-2.532,-0.013,0.54,2.63,285,100,0.01,0,0,0,0,0,0,0.00,8.42,99.90,2946.65,0.00
13.441,10,285597433,771174407,237160,102,88,-322,-1,0.00214,0.00121,-1.30636,0.00032,0.00025,0.00025,0.257,-0.909,-0.063,0.889,-3.222,-0.014,1.72,3.34,285,100,0.01,0,0,0,0,0,0,0.00,9.06,99.90,2946.15,0.00
13.441,10,285597441,771174369,237160,104,107,-391,-1,0.00214,0.00101,-1.30662,0.00036,0.00025,0.00020,0.356,-1.274,-0.064,1.075,-3.911,-0.014,2.40,4.06,285,100,0.01,0,0,0,0,0,0,0.00,9.26,99.90,2828.36,0.00
13.441,10,285597452,771174325,237160,104,126,-460,-1,0.00214,0.00087,-1.30684,0.00027,0.00025,0.00014,0.473,-1.710,-0.065,1.260,-4.602,-0.014,2.79,4.77,285,100,0.01,0,0,0,0,0,0,0.00,9.48,99.90,2760.30,0.00
13.441,10,285597464,771174273,237160,105,143,-526,-1,0.00213,0.00070,-1.30723,0.00030,0.00027,0.00019,0.608,-2.213,-0.066,1.437,-5.261,-0.014,3.49,5.45,285,100,0.01,0,0,0,0,0,0,0.00,9.60,99.90,2721.23,0.00
13.442,10,285597478,771174215,237160,105,160,-589,-1,0.00214,0.00058,-1.30754,0.00029,0.00024,0.00019,0.760,-2.781,-0.065,1.606,-5.892,-0.013,4.15,6.11,285,100,0.01,0,0,0,0,0,0,0.00,8.79,99.90,2651.24,0.00
13.442,10,285597493,771174151,237160,105,176,-650,-1,0.00214,0.00043,-1.30799,0.00026,0.00021,0.00011,0.929,-3.411,-0.065,1.770,-6.508,-0.012,4.90,6.74,285,100,0.01,0,0,0,0,0,0,0.00,8.64,99.90,2584.89,0.00
13.442,10,285597510,771174080,237160,105,193,-712,-1,0.00214,0.00032,-1.30832,0.00026,0.00026,0.00014,1.113,-4.103,-0.065,1.933,-7.123,-0.011,5.57,7.38,285,100,0.01,0,0,0,0,0,0,-0.04,8.53,99.90,2509.90,0.00
13.443,10,285597528,771174003,237160,104,209,-774,-1,0.00215,0.00018,-1.30871,0.00028,0.00022,0.00018,1.314,-4.855,-0.065,2.097,-7.741,-0.010,6.24,8.02,285,100,0.01,0,0,0,0,0,0,-0.03,8.67,99.90,2442.91,0.00
