time_s,phase,alt_agl_m,airspeed,roll_deg,pitch_deg,climb_mps,throttle_pct,theta_cmd_deg,lat,lon
0.06,GROUND,-0.21,0.79,0.02,0.01,0.05,0,-0.00,28.5597410,77.1174499
0.26,GROUND,-0.19,0.32,0.02,-0.00,-0.02,90,-1.04,28.5597410,77.1174496
0.56,GROUND,-0.18,1.17,0.02,-0.05,-0.01,90,-2.00,28.5597418,77.1174462
0.86,GROUND,-0.17,1.75,0.02,-0.09,-0.00,90,-2.00,28.5597434,77.1174396
1.06,GROUND,-0.16,2.67,0.02,-0.10,-0.01,90,-2.00,28.5597448,77.1174335
1.36,GROUND,-0.16,3.38,0.02,-0.10,-0.01,90,-2.00,28.5597474,77.1174223
1.56,GROUND,-0.15,3.66,0.02,-0.09,-0.01,90,-2.00,28.5597495,77.1174136
1.86,GROUND,-0.15,4.43,0.02,-0.10,-0.01,90,-2.00,28.5597530,77.1173987
2.16,GROUND,-0.13,5.09,0.03,-0.12,-0.00,90,-2.00,28.5597569,77.1173820
2.36,GROUND,-0.13,5.52,0.03,-0.11,-0.00,90,-2.00,28.5597597,77.1173701
2.66,CLIMB,-0.12,6.07,0.03,-0.06,0.00,90,-1.51,28.5597641,77.1173512
2.96,CLIMB,-0.11,6.47,0.03,0.01,0.01,90,-0.02,28.5597688,77.1173313
3.26,CLIMB,-0.10,6.89,0.03,0.05,0.01,90,0.00,28.5597738,77.1173101
3.56,CLIMB,-0.10,7.17,0.03,0.08,0.01,90,1.49,28.5597791,77.1172878
3.76,CLIMB,-0.10,7.45,0.03,0.09,0.01,90,2.49,28.5597827,77.1172722
4.06,CLIMB,-0.11,7.84,0.02,0.07,0.01,90,3.98,28.5597885,77.1172478
4.26,CLIMB,-0.11,8.00,0.02,0.05,0.01,90,4.97,28.5597925,77.1172309
4.56,CLIMB,-0.10,8.39,0.02,0.05,0.01,90,6.03,28.5597986,77.1172048
4.86,CLIMB,-0.10,8.67,0.02,0.15,0.01,90,7.05,28.5598049,77.1171782
5.06,CLIMB,-0.09,8.83,0.02,0.43,0.01,90,7.06,28.5598091,77.1171601
5.36,CLIMB,-0.08,9.15,0.02,1.16,0.01,90,7.06,28.5598157,77.1171323
5.66,CLIMB,-0.08,9.33,0.02,2.02,0.02,90,7.11,28.5598223,77.1171039
5.96,CLIMB,-0.05,9.47,-0.00,2.85,0.12,90,7.72,28.5598292,77.1170748
6.26,CLIMB,0.02,9.58,-0.04,3.64,0.27,90,8.61,28.5598362,77.1170451
6.56,CLIMB,0.13,9.65,-0.06,4.56,0.44,90,9.60,28.5598432,77.1170152
6.86,CLIMB,0.30,9.63,-0.06,5.66,0.61,90,10.66,28.5598501,77.1169856
7.06,CLIMB,0.44,9.67,-0.05,6.45,0.73,90,11.34,28.5598547,77.1169661
7.36,CLIMB,0.69,9.63,-0.04,7.64,0.90,90,12.35,28.5598615,77.1169371
7.66,CLIMB,0.98,9.43,-0.04,8.77,1.04,90,13.33,28.5598681,77.1169086
7.96,CLIMB,1.31,9.31,-0.04,9.80,1.15,90,14.12,28.5598747,77.1168803
8.26,CLIMB,1.67,9.22,-0.05,10.69,1.23,90,14.68,28.5598812,77.1168526
8.46,CLIMB,1.92,9.07,-0.05,11.20,1.26,90,14.90,28.5598855,77.1168344
8.76,CLIMB,2.29,8.90,-0.05,11.86,1.28,90,14.74,28.5598917,77.1168077
9.06,CLIMB,2.67,8.63,-0.04,12.29,1.25,90,14.47,28.5598977,77.1167821
9.36,CLIMB,3.03,8.29,-0.04,12.43,1.18,90,14.13,28.5599035,77.1167572
9.66,CLIMB,3.37,8.13,-0.05,12.30,1.08,90,13.97,28.5599092,77.1167328
9.86,CLIMB,3.57,7.97,-0.05,12.08,0.99,90,13.81,28.5599129,77.1167167
10.16,CLIMB,3.85,7.83,-0.05,11.58,0.85,90,13.26,28.5599185,77.1166929
10.36,CLIMB,4.00,7.71,-0.05,11.15,0.76,90,12.64,28.5599221,77.1166771
10.66,CLIMB,4.21,7.69,-0.05,10.42,0.62,90,11.60,28.5599277,77.1166533
10.96,CLIMB,4.38,7.65,-0.05,9.62,0.48,90,10.62,28.5599332,77.1166297
11.16,CLIMB,4.47,7.63,-0.05,9.09,0.40,90,10.02,28.5599368,77.1166141
11.46,CLIMB,4.57,7.68,-0.05,8.32,0.29,90,9.20,28.5599422,77.1165906
11.76,CLIMB,4.64,7.72,-0.05,7.63,0.21,90,8.57,28.5599478,77.1165668
12.06,CLIMB,4.69,7.77,-0.05,7.08,0.15,90,8.14,28.5599534,77.1165427
12.36,CLIMB,4.73,7.86,-0.05,6.69,0.13,90,7.93,28.5599591,77.1165180
12.66,CLIMB,4.76,7.96,-0.04,6.52,0.13,90,7.95,28.5599649,77.1164929
12.96,CLIMB,4.80,8.15,-0.04,6.59,0.16,90,8.16,28.5599708,77.1164675
13.16,CLIMB,4.84,8.16,-0.04,6.76,0.20,90,8.41,28.5599747,77.1164506
13.46,CLIMB,4.91,8.28,-0.04,7.16,0.27,90,8.89,28.5599806,77.1164252
13.76,CLIMB,5.01,8.37,-0.04,7.68,0.36,90,9.45,28.5599865,77.1163997
14.06,CLIMB,5.13,8.48,-0.04,8.28,0.45,90,10.03,28.5599925,77.1163740
14.37,CLIMB,5.28,8.42,-0.04,8.90,0.54,90,10.65,28.5599985,77.1163483
14.66,CLIMB,5.45,8.40,-0.05,9.51,0.61,90,11.20,28.5600044,77.1163226
14.96,CLIMB,5.65,8.23,-0.04,10.10,0.68,90,11.73,28.5600104,77.1162970
15.16,CLIMB,5.79,8.29,-0.04,10.47,0.71,90,11.93,28.5600142,77.1162803
15.46,CLIMB,6.02,8.19,-0.03,10.95,0.74,90,12.20,28.5600200,77.1162556
15.76,CLIMB,6.25,8.03,-0.04,11.28,0.75,90,12.36,28.5600257,77.1162312
16.06,CLIMB,6.47,7.90,-0.03,11.46,0.73,90,12.32,28.5600313,77.1162071
16.37,CLIMB,6.69,7.81,-0.03,11.45,0.69,90,12.09,28.5600368,77.1161831
16.66,CLIMB,6.89,7.75,-0.03,11.25,0.63,90,11.69,28.5600424,77.1161593
16.96,CLIMB,7.07,7.82,-0.03,10.92,0.56,90,11.12,28.5600479,77.1161356
17.16,CLIMB,7.17,7.78,-0.03,10.63,0.51,90,10.75,28.5600515,77.1161199
17.46,CLIMB,7.31,7.70,-0.04,10.14,0.43,90,10.18,28.5600569,77.1160966
17.76,CLIMB,7.43,7.52,-0.04,9.60,0.35,90,9.66,28.5600623,77.1160734
18.06,CLIMB,7.52,7.73,-0.04,9.06,0.28,90,9.08,28.5600678,77.1160502
18.37,CLIMB,7.60,7.72,-0.03,8.55,0.23,90,8.67,28.5600733,77.1160265
18.66,CLIMB,7.66,7.68,-0.03,8.12,0.19,90,8.40,28.5600788,77.1160026
18.96,CLIMB,7.71,7.88,-0.03,7.84,0.17,90,8.24,28.5600845,77.1159783
19.16,CLIMB,7.74,7.88,-0.03,7.74,0.17,90,8.24,28.5600882,77.1159621
19.46,CLIMB,7.79,7.97,-0.03,7.73,0.19,90,8.37,28.5600939,77.1159377
19.77,CLIMB,7.86,8.05,-0.03,7.87,0.23,90,8.61,28.5600996,77.1159132
20.06,CLIMB,7.94,8.08,-0.03,8.13,0.28,90,8.96,28.5601054,77.1158885
20.26,CLIMB,8.00,8.03,-0.03,8.35,0.32,90,9.26,28.5601092,77.1158719
20.47,CLIMB,8.07,8.17,-0.03,8.60,0.36,90,9.52,28.5601131,77.1158553
20.76,CLIMB,8.20,8.16,-0.03,9.01,0.42,90,9.98,28.5601189,77.1158302
21.06,CLIMB,8.35,8.23,-0.03,9.44,0.49,90,10.39,28.5601247,77.1158050
21.26,CLIMB,8.46,8.21,-0.03,9.73,0.52,90,10.66,28.5601286,77.1157883
21.56,CLIMB,8.64,8.10,-0.03,10.15,0.57,90,11.03,28.5601343,77.1157636
21.87,CLIMB,8.82,8.02,-0.03,10.52,0.60,90,11.29,28.5601400,77.1157392
22.16,CLIMB,9.00,7.97,-0.03,10.79,0.61,90,11.42,28.5601456,77.1157151
22.36,CLIMB,9.13,7.83,-0.03,10.92,0.61,90,11.50,28.5601493,77.1156990
22.66,CLIMB,9.32,7.78,-0.03,10.98,0.60,90,11.43,28.5601549,77.1156749
22.87,CLIMB,9.44,7.77,-0.03,10.96,0.58,90,11.30,28.5601586,77.1156590
23.16,CLIMB,9.61,7.82,-0.02,10.83,0.54,90,10.99,28.5601642,77.1156351
23.46,CLIMB,9.77,7.68,-0.03,10.62,0.50,90,10.71,28.5601696,77.1156115
23.66,CLIMB,9.86,7.74,-0.03,10.43,0.46,90,10.42,28.5601733,77.1155959
23.96,CLIMB,10.00,7.71,-0.03,10.10,0.41,90,10.04,28.5601787,77.1155726
24.27,CLIMB,10.11,7.69,-0.03,9.73,0.35,90,9.64,28.5601841,77.1155493
24.56,CLIMB,10.20,7.79,-0.02,9.36,0.31,90,9.26,28.5601895,77.1155258
24.87,CLIMB,10.29,7.78,-0.02,9.01,0.27,90,9.00,28.5601951,77.1155021
25.16,CLIMB,10.37,7.71,-0.02,8.72,0.25,90,8.84,28.5602006,77.1154782
25.46,CLIMB,10.45,7.80,-0.02,8.54,0.24,90,8.75,28.5602062,77.1154541
25.66,CLIMB,10.50,7.78,-0.03,8.48,0.24,90,8.77,28.5602099,77.1154381
25.96,CLIMB,10.58,7.92,-0.03,8.48,0.25,90,8.84,28.5602155,77.1154140
26.27,CLIMB,10.65,7.97,-0.02,8.57,0.28,90,9.01,28.5602211,77.1153898
26.56,CLIMB,10.74,8.02,-0.02,8.75,0.31,90,9.25,28.5602268,77.1153653
26.87,CLIMB,10.85,8.04,-0.02,8.98,0.36,90,9.54,28.5602325,77.1153406
27.16,CLIMB,10.96,8.07,-0.02,9.24,0.40,90,9.84,28.5602383,77.1153159
27.46,CLIMB,11.09,8.07,-0.03,9.54,0.44,90,10.14,28.5602440,77.1152911
27.67,CLIMB,11.19,8.00,-0.03,9.75,0.47,90,10.36,28.5602478,77.1152747
27.96,CLIMB,11.34,7.98,-0.02,10.06,0.50,90,10.60,28.5602534,77.1152504
28.27,CLIMB,11.50,7.93,-0.02,10.32,0.52,90,10.78,28.5602590,77.1152263
28.56,CLIMB,11.66,7.96,-0.02,10.51,0.53,90,10.85,28.5602646,77.1152023
28.87,CLIMB,11.81,7.99,-0.02,10.61,0.53,90,10.82,28.5602702,77.1151781
29.16,CLIMB,11.97,7.90,-0.03,10.62,0.52,90,10.77,28.5602757,77.1151541
29.46,CLIMB,12.13,7.89,-0.03,10.56,0.50,90,10.62,28.5602813,77.1151301
29.67,CLIMB,12.22,7.69,-0.02,10.48,0.48,90,10.56,28.5602849,77.1151143
29.96,CLIMB,12.36,7.69,-0.02,10.32,0.44,90,10.30,28.5602904,77.1150908
30.27,CLIMB,12.48,7.63,-0.02,10.11,0.40,90,10.04,28.5602958,77.1150674
30.56,CLIMB,12.60,7.59,-0.02,9.86,0.37,90,9.78,28.5603013,77.1150440
30.87,CLIMB,12.71,7.78,-0.03,9.60,0.34,90,9.47,28.5603067,77.1150204
31.16,CLIMB,12.81,7.79,-0.02,9.35,0.31,90,9.27,28.5603122,77.1149967
31.46,CLIMB,12.89,7.87,-0.02,9.13,0.29,90,9.11,28.5603178,77.1149727
