time_s,phase,alt_agl_m,airspeed,roll_deg,pitch_deg,climb_mps,throttle_pct,theta_cmd_deg,lat,lon,load_factor_nz,load_factor_total
0.06,GROUND,-0.21,1.14,0.02,0.01,0.05,0,-0.00,28.5597410,77.1174499,0.955,0.955
0.36,GROUND,-0.19,2.13,0.02,-0.03,-0.02,90,-1.57,28.5597413,77.1174485,1.004,1.106
0.66,GROUND,-0.17,3.47,0.02,-0.09,-0.00,90,-2.00,28.5597426,77.1174429,1.002,1.089
0.87,GROUND,-0.17,4.19,0.02,-0.11,-0.01,90,-2.00,28.5597440,77.1174370,0.999,1.075
1.16,GROUND,-0.16,5.48,0.02,-0.13,-0.01,90,-2.00,28.5597467,77.1174253,1.001,1.069
1.46,CLIMB,-0.16,6.45,0.02,-0.12,-0.01,90,-1.01,28.5597502,77.1174103,1.001,1.060
1.66,CLIMB,-0.15,7.12,0.02,-0.12,-0.01,90,0.01,28.5597530,77.1173986,1.001,1.055
1.96,CLIMB,-0.14,8.03,0.03,-0.04,-0.01,90,1.50,28.5597577,77.1173784,1.000,1.048
2.17,CLIMB,-0.13,8.74,0.03,0.38,-0.01,90,2.49,28.5597613,77.1173635,0.998,1.042
2.46,CLIMB,-0.12,9.66,0.03,1.38,-0.00,90,4.01,28.5597670,77.1173389,1.008,1.047
2.76,CLIMB,-0.09,10.34,-0.00,2.49,0.21,90,5.49,28.5597732,77.1173126,1.093,1.124
2.96,CLIMB,-0.01,10.82,-0.03,3.34,0.45,90,6.51,28.5597775,77.1172942,1.118,1.145
3.26,CLIMB,0.21,11.36,-0.05,4.88,0.93,90,8.00,28.5597843,77.1172654,1.164,1.187
3.57,CLIMB,0.58,11.74,-0.04,6.99,1.43,90,9.49,28.5597913,77.1172354,1.191,1.211
3.86,CLIMB,1.11,12.09,-0.04,9.33,1.99,90,11.01,28.5597985,77.1172047,1.198,1.216
4.17,CLIMB,1.80,12.31,-0.03,11.55,2.50,90,12.49,28.5598058,77.1171736,1.144,1.162
4.46,CLIMB,2.64,12.35,-0.04,13.59,3.05,90,14.01,28.5598130,77.1171426,1.179,1.197
4.76,CLIMB,3.64,12.24,-0.05,15.60,3.46,90,15.50,28.5598201,77.1171126,1.096,1.115
4.96,CLIMB,4.37,12.11,-0.05,16.88,3.69,90,16.50,28.5598246,77.1170931,1.099,1.119
5.26,CLIMB,5.53,11.88,-0.04,18.55,3.99,90,16.50,28.5598312,77.1170649,1.090,1.112
5.57,CLIMB,6.75,11.70,-0.04,19.81,4.12,90,16.50,28.5598375,77.1170377,0.981,1.005
5.86,CLIMB,7.98,11.45,-0.05,20.67,4.13,90,16.50,28.5598436,77.1170114,0.995,1.022
6.17,CLIMB,9.21,11.12,-0.05,20.96,4.07,90,16.50,28.5598496,77.1169860,0.918,0.949
